timeframe,period,flag,known_bars,legacy_bars,bars
15m,earlier,atr_denominator_sensitive,865719,420314,27723
15m,earlier,compact_converging,865719,420314,30002
15m,earlier,compact_interwoven,865719,420314,19284
15m,earlier,compact_without_cross,865719,420314,635
15m,earlier,expanding_over_50pct,865719,420314,56040
15m,earlier,mean_hides_over3,865719,420314,63287
15m,earlier,not_all_groups_connected,865719,420314,249681
15m,earlier,recent_but_not_now,865719,420314,128646
15m,earlier,relative_not_low,865719,420314,219714
15m,earlier,same_pair_repeat,865719,420314,12746
15m,earlier,wide_over_1atr,865719,420314,367113
15m,earlier,within_length_only,865719,420314,47823
15m,full,atr_denominator_sensitive,1507646,739491,51277
15m,full,compact_converging,1507646,739491,56037
15m,full,compact_interwoven,1507646,739491,36241
15m,full,compact_without_cross,1507646,739491,1139
15m,full,expanding_over_50pct,1507646,739491,101334
15m,full,mean_hides_over3,1507646,739491,109978
15m,full,not_all_groups_connected,1507646,739491,436150
15m,full,recent_but_not_now,1507646,739491,224515
15m,full,relative_not_low,1507646,739491,388740
15m,full,same_pair_repeat,1507646,739491,22013
15m,full,wide_over_1atr,1507646,739491,641054
15m,full,within_length_only,1507646,739491,81255
15m,later,atr_denominator_sensitive,641927,319177,23554
15m,later,compact_converging,641927,319177,26035
15m,later,compact_interwoven,641927,319177,16957
15m,later,compact_without_cross,641927,319177,504
15m,later,expanding_over_50pct,641927,319177,45294
15m,later,mean_hides_over3,641927,319177,46691
15m,later,not_all_groups_connected,641927,319177,186469
15m,later,recent_but_not_now,641927,319177,95869
15m,later,relative_not_low,641927,319177,169026
15m,later,same_pair_repeat,641927,319177,9267
15m,later,wide_over_1atr,641927,319177,273941
15m,later,within_length_only,641927,319177,33432
1h,earlier,atr_denominator_sensitive,214800,104496,6935
1h,earlier,compact_converging,214800,104496,7123
1h,earlier,compact_interwoven,214800,104496,4207
1h,earlier,compact_without_cross,214800,104496,89
1h,earlier,expanding_over_50pct,214800,104496,14103
1h,earlier,mean_hides_over3,214800,104496,17496
1h,earlier,not_all_groups_connected,214800,104496,60393
1h,earlier,recent_but_not_now,214800,104496,32157
1h,earlier,relative_not_low,214800,104496,55202
1h,earlier,same_pair_repeat,214800,104496,2847
1h,earlier,wide_over_1atr,214800,104496,93506
1h,earlier,within_length_only,214800,104496,10380
1h,full,atr_denominator_sensitive,374938,181901,11922
1h,full,compact_converging,374938,181901,12623
1h,full,compact_interwoven,374938,181901,7370
1h,full,compact_without_cross,374938,181901,167
1h,full,expanding_over_50pct,374938,181901,24639
1h,full,mean_hides_over3,374938,181901,29896
1h,full,not_all_groups_connected,374938,181901,105120
1h,full,recent_but_not_now,374938,181901,55688
1h,full,relative_not_low,374938,181901,95248
1h,full,same_pair_repeat,374938,181901,4997
1h,full,wide_over_1atr,374938,181901,162514
1h,full,within_length_only,374938,181901,18272
1h,later,atr_denominator_sensitive,160138,77405,4987
1h,later,compact_converging,160138,77405,5500
1h,later,compact_interwoven,160138,77405,3163
1h,later,compact_without_cross,160138,77405,78
1h,later,expanding_over_50pct,160138,77405,10536
1h,later,mean_hides_over3,160138,77405,12400
1h,later,not_all_groups_connected,160138,77405,44727
1h,later,recent_but_not_now,160138,77405,23531
1h,later,relative_not_low,160138,77405,40046
1h,later,same_pair_repeat,160138,77405,2150
1h,later,wide_over_1atr,160138,77405,69008
1h,later,within_length_only,160138,77405,7892
4h,earlier,atr_denominator_sensitive,52345,26378,2004
4h,earlier,compact_converging,52345,26378,1468
4h,earlier,compact_interwoven,52345,26378,837
4h,earlier,compact_without_cross,52345,26378,2
4h,earlier,expanding_over_50pct,52345,26378,3646
4h,earlier,mean_hides_over3,52345,26378,4700
4h,earlier,not_all_groups_connected,52345,26378,14998
4h,earlier,recent_but_not_now,52345,26378,7609
4h,earlier,relative_not_low,52345,26378,14237
4h,earlier,same_pair_repeat,52345,26378,571
4h,earlier,wide_over_1atr,52345,26378,24413
4h,earlier,within_length_only,52345,26378,2505
4h,full,atr_denominator_sensitive,91696,44229,3617
4h,full,compact_converging,91696,44229,2629
4h,full,compact_interwoven,91696,44229,1426
4h,full,compact_without_cross,91696,44229,18
4h,full,expanding_over_50pct,91696,44229,6016
4h,full,mean_hides_over3,91696,44229,7817
4h,full,not_all_groups_connected,91696,44229,25376
4h,full,recent_but_not_now,91696,44229,13317
4h,full,relative_not_low,91696,44229,22954
4h,full,same_pair_repeat,91696,44229,1101
4h,full,wide_over_1atr,91696,44229,40793
4h,full,within_length_only,91696,44229,4126
4h,later,atr_denominator_sensitive,39351,17851,1613
4h,later,compact_converging,39351,17851,1161
4h,later,compact_interwoven,39351,17851,589
4h,later,compact_without_cross,39351,17851,16
4h,later,expanding_over_50pct,39351,17851,2370
4h,later,mean_hides_over3,39351,17851,3117
4h,later,not_all_groups_connected,39351,17851,10378
4h,later,recent_but_not_now,39351,17851,5708
4h,later,relative_not_low,39351,17851,8717
4h,later,same_pair_repeat,39351,17851,530
4h,later,wide_over_1atr,39351,17851,16380
4h,later,within_length_only,39351,17851,1621
