symbol,timeframe,chart_bars,in_window_ready,shared_known,excluded_ready,v9_candidates,v9_known,partial_buckets
1000PEPEUSDT,15m,58908,57408,57408,0,120,120,0
1000PEPEUSDT,1h,15852,14352,14352,0,42,42,0
1000PEPEUSDT,4h,5088,3588,3588,0,10,10,0
AAVEUSDT,15m,58908,57408,57408,0,143,143,0
AAVEUSDT,1h,15852,14352,14352,0,43,43,0
AAVEUSDT,4h,5088,3588,3588,0,11,11,0
AEROUSDT,15m,49191,48850,48732,118,123,123,0
AEROUSDT,1h,12298,11957,11839,118,28,28,1
AEROUSDT,4h,3075,2734,2616,118,5,5,1
API3USDT,15m,58908,57408,57408,0,112,112,0
API3USDT,1h,15852,14352,14352,0,25,25,0
API3USDT,4h,5088,3588,3588,0,7,7,0
APTUSDT,15m,58908,57408,57408,0,133,133,0
APTUSDT,1h,15852,14352,14352,0,30,30,0
APTUSDT,4h,5088,3588,3588,0,16,16,0
ARBUSDT,15m,58908,57408,57408,0,121,121,0
ARBUSDT,1h,15852,14352,14352,0,47,47,0
ARBUSDT,4h,5088,3588,3588,0,13,13,0
ARUSDT,15m,58908,57408,57408,0,135,135,0
ARUSDT,1h,15852,14352,14352,0,33,33,0
ARUSDT,4h,5088,3588,3588,0,6,6,0
BOMEUSDT,15m,58908,57408,57408,0,135,135,0
BOMEUSDT,1h,15852,14352,14352,0,31,31,0
BOMEUSDT,4h,4653,3588,3588,0,13,13,1
BTCUSDT,15m,58908,57408,57408,0,97,97,0
BTCUSDT,1h,15852,14352,14352,0,47,47,0
BTCUSDT,4h,5088,3588,3588,0,10,10,0
DASHUSDT,15m,58908,57408,57408,0,140,140,0
DASHUSDT,1h,15852,14352,14352,0,33,33,0
DASHUSDT,4h,5088,3588,3588,0,9,9,0
ENAUSDT,15m,58908,57408,57408,0,122,122,0
ENAUSDT,1h,15852,14352,14352,0,36,36,0
ENAUSDT,4h,4551,3588,3588,0,13,13,1
ETHUSDT,15m,58908,57408,57408,0,115,115,0
ETHUSDT,1h,15852,14352,14352,0,37,37,0
ETHUSDT,4h,5088,3588,3588,0,11,11,0
FILUSDT,15m,58908,57408,57408,0,146,146,0
FILUSDT,1h,15852,14352,14352,0,32,32,0
FILUSDT,4h,5088,3588,3588,0,16,16,0
HYPEUSDT,15m,32214,31873,31755,118,82,82,0
HYPEUSDT,1h,8054,7713,7595,118,24,24,1
HYPEUSDT,4h,2014,1673,1555,118,3,3,1
JUPUSDT,15m,58908,57408,57408,0,101,101,0
JUPUSDT,1h,15852,14352,14352,0,46,46,0
JUPUSDT,4h,4922,3588,3588,0,9,9,1
MUBARAKUSDT,15m,39305,38964,38846,118,103,103,0
MUBARAKUSDT,1h,9827,9486,9368,118,26,26,1
MUBARAKUSDT,4h,2457,2116,1998,118,3,3,1
NEARUSDT,15m,58908,57408,57408,0,125,125,0
NEARUSDT,1h,15852,14352,14352,0,45,45,0
NEARUSDT,4h,5088,3588,3588,0,14,14,0
ONEUSDT,15m,58908,57408,57408,0,128,128,0
ONEUSDT,1h,15852,14352,14352,0,34,34,0
ONEUSDT,4h,5088,3588,3588,0,12,12,0
OPUSDT,15m,58908,57408,57408,0,107,107,0
OPUSDT,1h,15852,14352,14352,0,43,43,0
OPUSDT,4h,5088,3588,3588,0,7,7,0
PENDLEUSDT,15m,58908,57408,57408,0,118,118,0
PENDLEUSDT,1h,15852,14352,14352,0,37,37,0
PENDLEUSDT,4h,5088,3588,3588,0,13,13,0
PIEVERSEUSDT,15m,16082,15741,15623,118,41,41,0
PIEVERSEUSDT,1h,4021,3680,3562,118,12,12,1
PIEVERSEUSDT,4h,1006,665,547,118,2,2,1
PUMPUSDT,15m,29154,28277,27950,327,73,73,0
PUMPUSDT,1h,7289,6948,6733,215,22,22,1
PUMPUSDT,4h,1823,1482,1364,118,2,2,1
SOLUSDT,15m,58908,57408,57408,0,115,115,0
SOLUSDT,1h,15852,14352,14352,0,43,43,0
SOLUSDT,4h,5088,3588,3588,0,12,12,0
UNIUSDT,15m,58908,57408,57408,0,127,127,0
UNIUSDT,1h,15852,14352,14352,0,45,45,0
UNIUSDT,4h,5088,3588,3588,0,9,9,0
USELESSUSDT,15m,24815,24474,24356,118,75,75,0
USELESSUSDT,1h,6204,5863,5745,118,21,21,1
USELESSUSDT,4h,1551,1210,1092,118,3,3,1
WIFUSDT,15m,58908,57408,57408,0,124,124,0
WIFUSDT,1h,15852,14352,14352,0,34,34,0
WIFUSDT,4h,5001,3588,3588,0,13,13,1
XTZUSDT,15m,58908,57408,57408,0,114,114,0
XTZUSDT,1h,15852,14352,14352,0,29,29,0
XTZUSDT,4h,5088,3588,3588,0,9,9,0
ZECUSDT,15m,58908,57408,57408,0,136,136,0
ZECUSDT,1h,15852,14352,14352,0,28,28,0
ZECUSDT,4h,5088,3588,3588,0,7,7,0
ZENUSDT,15m,58908,57408,57408,0,149,149,0
ZENUSDT,1h,15852,14352,14352,0,32,32,0
ZENUSDT,4h,5088,3588,3588,0,13,13,0
