timeframe,period,candidates,known,no_recent12,no_current_core,max_density_age,median_width
15m,earlier,1945,1945,18,337,69.0,1.4158608825023369
15m,later,1415,1415,19,214,42.0,1.322014167503727
1h,earlier,569,569,6,93,24.0,1.5177769510371035
1h,later,416,416,7,91,47.0,1.4995370996345223
4h,earlier,152,152,3,27,19.0,1.7361731914098417
4h,later,119,119,1,20,10.0,1.5766548371578182
