timeframe,period,arm,known_bars,bars,episodes,overlap,removed,added
15m,earlier,contraction_20pct,865719,105178,14617,105178,315136,0
15m,earlier,coverage_10of12,865719,382858,15909,382858,37456,0
15m,earlier,distinct_pairs_2,865719,407568,17441,407568,12746,0
15m,earlier,group_edges_2,865719,170633,12076,170633,249681,0
15m,earlier,legacy,865719,420314,17210,420314,0,0
15m,earlier,max_width_3,865719,357027,15214,357027,63287,0
15m,earlier,memory_12,865719,541476,7493,541476,0,0
15m,earlier,memory_3,865719,452392,13124,452392,89084,0
15m,earlier,memory_6,865719,488278,10147,488278,53198,0
15m,earlier,relative_p20,865719,200600,9181,200600,219714,0
15m,earlier,stable_atr_3,865719,429354,17540,392591,27723,36763
15m,earlier,width_0.5,865719,4041,408,4041,416273,0
15m,earlier,width_1,865719,53201,3349,53201,367113,0
15m,earlier,width_1.5,865719,151808,7351,151808,268506,0
15m,earlier,width_2,865719,260073,10906,260073,160241,0
15m,full,contraction_20pct,1507646,187246,25761,187246,552245,0
15m,full,coverage_10of12,1507646,674423,27737,674423,65068,0
15m,full,distinct_pairs_2,1507646,717478,30471,717478,22013,0
15m,full,group_edges_2,1507646,303341,21280,303341,436150,0
15m,full,legacy,1507646,739491,29943,739491,0,0
15m,full,max_width_3,1507646,629513,26536,629513,109978,0
15m,full,memory_12,1507646,950874,13141,950874,0,0
15m,full,memory_3,1507646,795270,22875,795270,155604,0
15m,full,memory_6,1507646,857845,17720,857845,93029,0
15m,full,relative_p20,1507646,350751,15874,350751,388740,0
15m,full,stable_atr_3,1507646,753122,30564,688214,51277,64908
15m,full,width_0.5,1507646,7492,760,7492,731999,0
15m,full,width_1,1507646,98437,6124,98437,641054,0
15m,full,width_1.5,1507646,275530,13119,275530,463961,0
15m,full,width_2,1507646,464579,19246,464579,274912,0
15m,later,contraction_20pct,641927,82068,11144,82068,237109,0
15m,later,coverage_10of12,641927,291565,11828,291565,27612,0
15m,later,distinct_pairs_2,641927,309910,13030,309910,9267,0
15m,later,group_edges_2,641927,132708,9204,132708,186469,0
15m,later,legacy,641927,319177,12733,319177,0,0
15m,later,max_width_3,641927,272486,11322,272486,46691,0
15m,later,memory_12,641927,409398,5664,409398,0,0
15m,later,memory_3,641927,342878,9757,342878,66520,0
15m,later,memory_6,641927,369567,7580,369567,39831,0
15m,later,relative_p20,641927,150151,6693,150151,169026,0
15m,later,stable_atr_3,641927,323768,13024,295623,23554,28145
15m,later,width_0.5,641927,3451,352,3451,315726,0
15m,later,width_1,641927,45236,2775,45236,273941,0
15m,later,width_1.5,641927,123722,5768,123722,195455,0
15m,later,width_2,641927,204506,8340,204506,114671,0
1h,earlier,contraction_20pct,214800,26560,3660,26560,77936,0
1h,earlier,coverage_10of12,214800,93973,3895,93973,10523,0
1h,earlier,distinct_pairs_2,214800,101649,4329,101649,2847,0
