timeframe,period,arm,known_bars,real,identity_permuted
15m,earlier,distinct_pairs_2,865719,407568,505184
15m,earlier,group_edges_2,865719,170633,505184
15m,earlier,legacy,865719,420314,505184
15m,earlier,max_width_3,865719,357027,417063
15m,earlier,width_1,865719,53201,54177
15m,full,distinct_pairs_2,1507646,717478,887882
15m,full,group_edges_2,1507646,303341,887882
15m,full,legacy,1507646,739491,887882
15m,full,max_width_3,1507646,629513,734613
15m,full,width_1,1507646,98437,100143
15m,later,distinct_pairs_2,641927,309910,382698
15m,later,group_edges_2,641927,132708,382698
15m,later,legacy,641927,319177,382698
15m,later,max_width_3,641927,272486,317550
15m,later,width_1,641927,45236,45966
1h,earlier,distinct_pairs_2,214800,101649,123635
1h,earlier,group_edges_2,214800,44103,123635
1h,earlier,legacy,214800,104496,123635
1h,earlier,max_width_3,214800,87000,99785
1h,earlier,width_1,214800,10990,11106
1h,full,distinct_pairs_2,374938,176904,215745
1h,full,group_edges_2,374938,76781,215745
1h,full,legacy,374938,181901,215745
1h,full,max_width_3,374938,152005,174534
1h,full,width_1,374938,19387,19623
1h,later,distinct_pairs_2,160138,75255,92110
1h,later,group_edges_2,160138,32678,92110
1h,later,legacy,160138,77405,92110
1h,later,max_width_3,160138,65005,74749
1h,later,width_1,160138,8397,8517
4h,earlier,distinct_pairs_2,52345,25807,31112
4h,earlier,group_edges_2,52345,11380,31112
4h,earlier,legacy,52345,26378,31112
4h,earlier,max_width_3,52345,21678,24691
4h,earlier,width_1,52345,1965,1969
4h,full,distinct_pairs_2,91696,43128,52426
4h,full,group_edges_2,91696,18853,52426
4h,full,legacy,91696,44229,52426
4h,full,max_width_3,91696,36412,41786
4h,full,width_1,91696,3436,3475
4h,later,distinct_pairs_2,39351,17321,21314
4h,later,group_edges_2,39351,7473,21314
4h,later,legacy,39351,17851,21314
4h,later,max_width_3,39351,14734,17095
4h,later,width_1,39351,1471,1506
