diagnostic,timeframe_min,arm,feature,n,closed,auc_net_win,period,q10_cutoff,baseline_serial_closed,q10_closed,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,unconditional_pairs,unconditional_target_mean_net_bp,unconditional_random_mean_net_bp,unconditional_mean_excess_bp,same_gate_pairs,same_gate_target_mean_net_bp,same_gate_random_mean_net_bp,same_gate_mean_excess_bp,matched_draws,same_gate_draws,censored_or_missing_controls
baseline_serial_later_auc,15,v9_both,vwap,50818.0,50818.0,0.48945251248862465,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen_early_q10_baseline_serial_later,15,v9_both,vwap,,,,later,0.9263898653870482,50818.0,5563.0,1682.0,0.3023548445083588,6.395611067952122,-13.604388932047884,-0.037675935929276635,0.9486941305523271,402.0,0.0722631673557433,178.0,0.031997123854035595,38.0,0.006830846665468272,5539.0,-13.160860831684918,-28.66018685555458,15.499326023869664,2296.0,-19.550157276345193,-37.233721218911555,17.683563942566362,5539.0,2296.0,0.0
baseline_serial_later_auc,15,v9_both,twap,50818.0,50818.0,0.4900383140207279,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen_early_q10_baseline_serial_later,15,v9_both,twap,,,,later,1.0264021898788227,50818.0,5387.0,1604.0,0.2977538518656024,4.92902533007822,-15.070974669921787,-0.07835719898615574,0.8932421787092402,358.0,0.06645628364581399,152.0,0.028216075737887508,29.0,0.005383330239465379,5365.0,-14.599944543852232,-30.93824918573256,16.338304641880327,2389.0,-20.903504589017075,-32.93219408193891,12.028689492921835,5365.0,2389.0,0.0
baseline_serial_later_auc,60,v9_both,vwap,14337.0,14337.0,0.4963047423271724,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen_early_q10_baseline_serial_later,60,v9_both,vwap,,,,later,0.42874633553203334,14337.0,1504.0,426.0,0.28324468085106386,-12.807177257031315,-32.80717725703133,-0.05077056083638424,0.9279230569909008,95.0,0.06316489361702128,42.0,0.027925531914893616,9.0,0.005984042553191489,1501.0,-33.289213215356824,-7.779597932963515,-25.50961528239331,584.0,-20.48103004425222,-2.115499787346782,-18.365530256905437,1501.0,584.0,0.0
baseline_serial_later_auc,60,v9_both,twap,14337.0,14337.0,0.49251092161021676,,,,,,,,,,,,,,,,,,,,,,,,,,,
frozen_early_q10_baseline_serial_later,60,v9_both,twap,,,,later,0.5340247433041947,14337.0,1485.0,428.0,0.2882154882154882,6.767535583392257,-13.232464416607757,-0.01979648725200685,0.971740932570356,99.0,0.06666666666666667,43.0,0.028956228956228958,9.0,0.006060606060606061,1483.0,-14.310285481207467,-8.054010617203122,-6.256274864004345,692.0,-1.4889479045657745,-4.172524315206619,2.6835764106408444,1483.0,692.0,0.0
