period,timeframe_min,arm,policy,status,n
earlier,15,v9_both,twap_near,closed,13846
earlier,15,v9_both,twap_near,filtered_distance,14929
earlier,15,v9_both,twap_near,skipped_in_position,1081
later,15,v9_both,baseline,censored_boundary,76
later,15,v9_both,baseline,closed,50818
later,15,v9_both,baseline,skipped_in_position,9472
later,15,v9_both,vwap_near,censored_boundary,44
later,15,v9_both,vwap_near,closed,28549
later,15,v9_both,vwap_near,filtered_distance,29313
later,15,v9_both,vwap_near,skipped_in_position,2460
later,15,v9_both,twap_near,censored_boundary,41
later,15,v9_both,twap_near,closed,28423
later,15,v9_both,twap_near,filtered_distance,29580
later,15,v9_both,twap_near,skipped_in_position,2322
all,60,joint,baseline,censored_boundary,33
all,60,joint,baseline,closed,10460
all,60,joint,baseline,skipped_in_position,5
all,60,joint,vwap_near,censored_boundary,21
all,60,joint,vwap_near,closed,5664
all,60,joint,vwap_near,filtered_distance,4811
all,60,joint,vwap_near,skipped_in_position,2
all,60,joint,twap_near,censored_boundary,22
all,60,joint,twap_near,closed,5418
all,60,joint,twap_near,filtered_distance,5057
all,60,joint,twap_near,skipped_in_position,1
earlier,60,joint,baseline,closed,3256
earlier,60,joint,baseline,skipped_in_position,3
earlier,60,joint,vwap_near,closed,1757
earlier,60,joint,vwap_near,filtered_distance,1501
earlier,60,joint,vwap_near,skipped_in_position,1
earlier,60,joint,twap_near,closed,1685
earlier,60,joint,twap_near,filtered_distance,1574
later,60,joint,baseline,censored_boundary,33
later,60,joint,baseline,closed,7204
later,60,joint,baseline,skipped_in_position,2
later,60,joint,vwap_near,censored_boundary,21
later,60,joint,vwap_near,closed,3907
later,60,joint,vwap_near,filtered_distance,3310
later,60,joint,vwap_near,skipped_in_position,1
later,60,joint,twap_near,censored_boundary,22
later,60,joint,twap_near,closed,3733
later,60,joint,twap_near,filtered_distance,3483
later,60,joint,twap_near,skipped_in_position,1
all,60,v9_both,baseline,censored_boundary,47
all,60,v9_both,baseline,closed,21767
all,60,v9_both,baseline,skipped_in_position,4798
all,60,v9_both,vwap_near,censored_boundary,28
all,60,v9_both,vwap_near,closed,12003
all,60,v9_both,vwap_near,filtered_distance,13462
all,60,v9_both,vwap_near,skipped_in_position,1119
all,60,v9_both,twap_near,censored_boundary,28
all,60,v9_both,twap_near,closed,11947
all,60,v9_both,twap_near,filtered_distance,13480
all,60,v9_both,twap_near,skipped_in_position,1157
earlier,60,v9_both,baseline,censored_boundary,1
earlier,60,v9_both,baseline,closed,7430
earlier,60,v9_both,baseline,skipped_in_position,1556
earlier,60,v9_both,vwap_near,closed,4133
earlier,60,v9_both,vwap_near,filtered_distance,4493
earlier,60,v9_both,vwap_near,skipped_in_position,361
earlier,60,v9_both,twap_near,closed,4112
earlier,60,v9_both,twap_near,filtered_distance,4493
earlier,60,v9_both,twap_near,skipped_in_position,382
later,60,v9_both,baseline,censored_boundary,46
later,60,v9_both,baseline,closed,14337
later,60,v9_both,baseline,skipped_in_position,3242
later,60,v9_both,vwap_near,censored_boundary,28
later,60,v9_both,vwap_near,closed,7870
later,60,v9_both,vwap_near,filtered_distance,8969
later,60,v9_both,vwap_near,skipped_in_position,758
later,60,v9_both,twap_near,censored_boundary,28
later,60,v9_both,twap_near,closed,7835
later,60,v9_both,twap_near,filtered_distance,8987
later,60,v9_both,twap_near,skipped_in_position,775
