period,timeframe_min,arm,policy,bootstrap_weeks,valid_bootstrap_draws,delta_mean_net_bp,ci_low_mean_net_bp,ci_high_mean_net_bp,delta_win_rate,ci_low_win_rate,ci_high_win_rate
all,15,joint,baseline,195,2000,0.0,0.0,0.0,0.0,0.0,0.0
all,15,joint,vwap_near,195,2000,-5.412184749562328,-14.10845600196681,3.027179683626354,-0.010716578332217952,-0.01953359779753056,-0.002535596301061437
all,15,joint,twap_near,195,2000,-3.328966688502335,-13.100897991520922,5.896015283588309,-0.010948954590361826,-0.01917438846670893,-0.003359702308433107
earlier,15,joint,baseline,105,2000,0.0,0.0,0.0,0.0,0.0,0.0
earlier,15,joint,vwap_near,105,2000,-12.380988140474122,-25.999268785721046,-0.27419722185880185,-0.015516597604816218,-0.029666032821537697,-0.0013538819803823477
earlier,15,joint,twap_near,105,2000,-9.08882650333439,-22.77740127649079,2.735491047131058,-0.01308703665483879,-0.026753863670553688,0.0009234898085824214
later,15,joint,baseline,91,2000,0.0,0.0,0.0,0.0,0.0,0.0
later,15,joint,vwap_near,91,2000,-2.0668814063122802,-13.426657894611758,8.879020248970201,-0.008295877613648972,-0.018898158589406498,0.0015886585517613876
later,15,joint,twap_near,91,2000,-0.6462080474609619,-13.578187054468417,11.461930216568243,-0.01008538052162078,-0.019761952450636354,-0.0009684288255118396
all,15,v9_both,baseline,195,2000,0.0,0.0,0.0,0.0,0.0,0.0
all,15,v9_both,vwap_near,195,2000,-1.8171225722629072,-10.469743452265522,6.368541197811728,-0.005527637101974958,-0.013581685888167003,0.002215816003358938
all,15,v9_both,twap_near,195,2000,0.07716186651688198,-8.235641542362032,7.758955608325822,-0.004263706676586931,-0.011705802852667577,0.0032904777809929027
earlier,15,v9_both,baseline,105,2000,0.0,0.0,0.0,0.0,0.0,0.0
earlier,15,v9_both,vwap_near,105,2000,4.7457329807243935,-5.723764560694,15.59167737274689,-0.005507327899964276,-0.015831691953588918,0.0052532640170122
earlier,15,v9_both,twap_near,105,2000,6.1198791849974015,-4.943806521362249,18.211080590402045,-0.0033340894590749848,-0.013615504856864784,0.007570794869872372
later,15,v9_both,baseline,91,2000,0.0,0.0,0.0,0.0,0.0,0.0
later,15,v9_both,vwap_near,91,2000,-4.970411619799435,-16.149278830289596,5.674960365452308,-0.0055010139549731,-0.01638872193736916,0.005451941248715483
later,15,v9_both,twap_near,91,2000,-2.8488244343325255,-13.737064742305737,6.993883838582983,-0.004689393474348158,-0.014650799215351262,0.004726792101789821
all,60,joint,baseline,188,2000,0.0,0.0,0.0,0.0,0.0,0.0
all,60,joint,vwap_near,188,2000,18.776776454887504,-9.039687865979623,48.32837564517816,-0.001842230124332267,-0.01791694035866609,0.013589481824943758
all,60,joint,twap_near,188,2000,16.661797915956516,-12.685563773397018,45.524227355487234,-0.0032741524758376217,-0.019215196235975923,0.012343613903229057
earlier,60,joint,baseline,99,2000,0.0,0.0,0.0,0.0,0.0,0.0
earlier,60,joint,vwap_near,99,2000,-26.724835643000205,-74.08510858757002,17.434515242246857,-0.011665407707666164,-0.03935940241982897,0.015458714356841789
earlier,60,joint,twap_near,99,2000,-23.512058329592545,-69.49471839279171,21.742949207778345,-0.009584961983788609,-0.03557634706049049,0.017315619892152093
later,60,joint,baseline,90,2000,0.0,0.0,0.0,0.0,0.0,0.0
later,60,joint,vwap_near,90,2000,39.13601518911314,5.6613330157391255,73.40704372040351,0.0025570215449227662,-0.017795163860543892,0.0220237195808583
later,60,joint,twap_near,90,2000,34.68829016194192,-2.68701730171498,70.91770884928847,-0.00044465876251448266,-0.02141611901265445,0.018387697248196798
all,60,v9_both,baseline,195,2000,0.0,0.0,0.0,0.0,0.0,0.0
all,60,v9_both,vwap_near,195,2000,14.438509965708096,-8.405365644170312,36.81002073265228,-0.002107243184183205,-0.015332551502632625,0.010691475251896556
all,60,v9_both,twap_near,195,2000,12.163792364496613,-10.971074283041881,34.30531285063687,-0.0026059765035202354,-0.01692502865629118,0.01058947171084115
earlier,60,v9_both,baseline,105,2000,0.0,0.0,0.0,0.0,0.0,0.0
earlier,60,v9_both,vwap_near,105,2000,-3.5557170718910442,-36.20137729319123,31.456922232095753,-0.0024713020553888687,-0.024028195599795014,0.020952305101169147
earlier,60,v9_both,twap_near,105,2000,2.6898280711713536,-31.934208460759624,39.07920453650069,-0.0012188957815137957,-0.025680656724199256,0.023644940174826025
later,60,v9_both,baseline,91,2000,0.0,0.0,0.0,0.0,0.0,0.0
later,60,v9_both,vwap_near,91,2000,23.648069618566755,-8.063182481439934,51.55671677248908,-0.0019836980918300218,-0.01870934311206105,0.013483070962589145
later,60,v9_both,twap_near,91,2000,16.930767471538154,-15.558273055634421,44.84782417912965,-0.0033924388853079357,-0.020413394395800602,0.012405230306885444
