period,timeframe_min,arm,policy,side,year,closed,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate
all,15,joint,baseline,1,2023,4032,1094,0.27132936507936506,-14.705557133651668,-34.70555713365167,-0.21593280698281814,0.7237162748185966,214,0.053075396825396824,89,0.0220734126984127,20,0.00496031746031746
all,15,joint,baseline,1,2024,6809,2200,0.32310177705977383,23.864307046896617,3.864307046896612,-0.0057888632285748275,0.9916345336977648,448,0.0657952709648994,181,0.0265824643853723,38,0.005580848876487002
all,15,joint,baseline,1,2025,11410,3255,0.2852760736196319,-8.681048875755746,-28.681048875755756,-0.10778328994960802,0.8528319975847001,619,0.05425065731814198,269,0.02357581069237511,82,0.007186678352322524
all,15,joint,baseline,1,2026,11464,2989,0.26072923935799025,-6.6992190215292755,-26.699219021529284,-0.15320235858974318,0.7999596714800639,591,0.05155268667131891,281,0.024511514305652477,87,0.00758897418004187
all,15,joint,twap_near,1,2023,2271,611,0.26904447380008806,-16.264333797965996,-36.264333797965996,-0.22654423164880177,0.7135605765741267,120,0.052840158520475564,45,0.019815059445178335,12,0.005284015852047556
all,15,joint,twap_near,1,2024,3562,1085,0.30460415496911847,11.074547613738398,-8.925452386261616,-0.05859493014967848,0.9194724717573599,238,0.06681639528354857,89,0.02498596294216732,21,0.005895564289724873
all,15,joint,twap_near,1,2025,5884,1621,0.27549286199864037,-14.61636306678892,-34.616363066788935,-0.14542383411908594,0.8058231715690447,306,0.05200543847722638,133,0.022603670972127805,46,0.007817811012916384
all,15,joint,twap_near,1,2026,6220,1561,0.25096463022508037,-2.3910109665914976,-22.3910109665915,-0.18457861049435353,0.7634644505696807,331,0.053215434083601285,149,0.023954983922829583,44,0.00707395498392283
all,15,joint,vwap_near,1,2023,2305,612,0.26550976138828636,-21.124014428115512,-41.12401442811553,-0.24923486749293888,0.6856410597210142,119,0.051626898047722344,44,0.01908893709327549,12,0.005206073752711497
all,15,joint,vwap_near,1,2024,3539,1073,0.30319299237072617,9.032899954664787,-10.967100045335224,-0.07047164144751511,0.9030876861901826,230,0.06499011020062165,89,0.025148346990675332,18,0.005086182537439954
all,15,joint,vwap_near,1,2025,6063,1667,0.27494639617351146,-10.030716863038505,-30.03071686303851,-0.13220531850615105,0.8228054021152926,322,0.05310902193633515,146,0.024080488207158173,53,0.008741547088899885
all,15,joint,vwap_near,1,2026,6507,1660,0.25510988166589826,-9.497470651371552,-29.497470651371557,-0.16662926001030112,0.7845465813965848,351,0.05394190871369295,160,0.02458890425695405,45,0.006915629322268326
earlier,15,joint,baseline,1,2023,4032,1094,0.27132936507936506,-14.705557133651668,-34.70555713365167,-0.21593280698281814,0.7237162748185966,214,0.053075396825396824,89,0.0220734126984127,20,0.00496031746031746
earlier,15,joint,baseline,1,2024,6809,2200,0.32310177705977383,23.864307046896617,3.864307046896612,-0.0057888632285748275,0.9916345336977648,448,0.0657952709648994,181,0.0265824643853723,38,0.005580848876487002
earlier,15,joint,twap_near,1,2023,2271,611,0.26904447380008806,-16.264333797965996,-36.264333797965996,-0.22654423164880177,0.7135605765741267,120,0.052840158520475564,45,0.019815059445178335,12,0.005284015852047556
earlier,15,joint,twap_near,1,2024,3562,1085,0.30460415496911847,11.074547613738398,-8.925452386261616,-0.05859493014967848,0.9194724717573599,238,0.06681639528354857,89,0.02498596294216732,21,0.005895564289724873
earlier,15,joint,vwap_near,1,2023,2305,612,0.26550976138828636,-21.124014428115512,-41.12401442811553,-0.24923486749293888,0.6856410597210142,119,0.051626898047722344,44,0.01908893709327549,12,0.005206073752711497
earlier,15,joint,vwap_near,1,2024,3539,1073,0.30319299237072617,9.032899954664787,-10.967100045335224,-0.07047164144751511,0.9030876861901826,230,0.06499011020062165,89,0.025148346990675332,18,0.005086182537439954
later,15,joint,baseline,1,2025,11410,3255,0.2852760736196319,-8.681048875755746,-28.681048875755756,-0.10778328994960802,0.8528319975847001,619,0.05425065731814198,269,0.02357581069237511,82,0.007186678352322524
later,15,joint,baseline,1,2026,11464,2989,0.26072923935799025,-6.6992190215292755,-26.699219021529284,-0.15320235858974318,0.7999596714800639,591,0.05155268667131891,281,0.024511514305652477,87,0.00758897418004187
later,15,joint,twap_near,1,2025,5884,1621,0.27549286199864037,-14.61636306678892,-34.616363066788935,-0.14542383411908594,0.8058231715690447,306,0.05200543847722638,133,0.022603670972127805,46,0.007817811012916384
later,15,joint,twap_near,1,2026,6220,1561,0.25096463022508037,-2.3910109665914976,-22.3910109665915,-0.18457861049435353,0.7634644505696807,331,0.053215434083601285,149,0.023954983922829583,44,0.00707395498392283
later,15,joint,vwap_near,1,2025,6063,1667,0.27494639617351146,-10.030716863038505,-30.03071686303851,-0.13220531850615105,0.8228054021152926,322,0.05310902193633515,146,0.024080488207158173,53,0.008741547088899885
later,15,joint,vwap_near,1,2026,6507,1660,0.25510988166589826,-9.497470651371552,-29.497470651371557,-0.16662926001030112,0.7845465813965848,351,0.05394190871369295,160,0.02458890425695405,45,0.006915629322268326
all,15,v9_both,baseline,-1,2023,5174,1490,0.28797835330498645,1.7493943654364044,-18.250605634563602,-0.04773778993729126,0.9355011413289415,350,0.0676459219172787,166,0.03208349439505218,38,0.007344414379590259
all,15,v9_both,baseline,-1,2024,7785,2478,0.3183044315992293,30.804571139415586,10.804571139415577,0.11590721105439326,1.166275405721766,647,0.08310854206807965,303,0.03892100192678227,74,0.009505459216441876
all,15,v9_both,baseline,-1,2025,13240,4628,0.3495468277945619,61.64882719367235,41.64882719367234,0.2075795675075092,1.3132105095538693,1167,0.08814199395770393,516,0.03897280966767372,131,0.009894259818731118
all,15,v9_both,baseline,-1,2026,12321,3665,0.2974596217839461,0.35372020538317583,-19.64627979461683,-0.09264254979857994,0.8737988619381452,799,0.06484863241619998,302,0.024510997483970457,53,0.004301598896193491
all,15,v9_both,baseline,1,2023,4597,1250,0.27191646726125734,-13.608576564851262,-33.60857656485127,-0.20756157952609017,0.732642569416896,251,0.05460082662606047,110,0.023928649118990647,21,0.004568196649989123
all,15,v9_both,baseline,1,2024,7572,2432,0.32118330692023245,23.373346928876227,3.3733469288762197,-0.010472282104911334,0.9848233036520689,499,0.06590068674062335,202,0.026677231907025884,40,0.005282620179609086
all,15,v9_both,baseline,1,2025,12563,3603,0.28679455544057947,-9.8344714418131,-29.83447144181311,-0.1089428846930836,0.8499642025372316,652,0.05189843190320783,286,0.022765263074106503,82,0.006527103398869697
all,15,v9_both,baseline,1,2026,12694,3334,0.2626437687096266,-5.651153580448137,-25.65115358044815,-0.1398823774433553,0.8161112091885154,655,0.051599180715298565,303,0.023869544666771703,90,0.007089963762407437
all,15,v9_both,twap_near,-1,2023,2783,858,0.308300395256917,34.63910952503142,14.639109525031419,0.12374073740113868,1.1703634008132253,249,0.08947179302910528,128,0.045993532159540065,29,0.010420409629895796
all,15,v9_both,twap_near,-1,2024,4089,1290,0.31548055759354365,44.804443760582984,24.804443760582977,0.15809049094811187,1.2252374168430407,371,0.09073123012961604,190,0.04646612863780875,46,0.011249694301785278
