period,timeframe_min,arm,policy,candidates,filled,closed,censored,crosscut,trades_per_day,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,baseline_closed,samekey_retained,samekey_lost,samekey_new,retention_rate,baseline_ge3r,samekey_retained_ge3r,samekey_lost_ge3r,samekey_new_ge3r,retention_rate_ge3r,baseline_ge5r,samekey_retained_ge5r,samekey_lost_ge5r,samekey_new_ge5r,retention_rate_ge5r,baseline_ge10r,samekey_retained_ge10r,samekey_lost_ge10r,samekey_new_ge10r,retention_rate_ge10r
all,15,v9_both,vwap_near,90224,42408,42338,46,24,31.155626300967306,12521,0.29573905238792575,11.199912685222534,-8.800087314777475,-0.03380985496685105,0.9536668011792625,2889,0.06823657234635552,1263,0.029831357173225,300,0.007085833057773159,75946,40679,35267,1659,0.5356305796223633,5020,2792,2228,97,0.5561752988047809,2188,1221,967,42,0.5580438756855576,529,283,246,17,0.5349716446124764
all,15,v9_both,twap_near,90224,42312,42242,43,27,31.08509856740541,12546,0.2970029828133138,13.09419712400232,-6.905802875997686,-0.03433030747532709,0.9530066943220369,2885,0.06829695563657023,1247,0.02952038255764405,298,0.007054590218266181,75946,40691,35255,1551,0.5357885866273405,5020,2795,2225,90,0.5567729083665338,2188,1210,978,37,0.553016453382084,529,284,245,14,0.5368620037807184
earlier,15,v9_both,baseline,29858,25168,25128,4,36,34.42954856361149,7650,0.3044412607449857,14.457549715216011,-5.5424502847840005,-0.015047532165588925,0.979051760313492,1747,0.06952403693091372,781,0.031080865966252785,173,0.0068847500795924865,25128,25128,0,0,1.0,1747,1747,0,0,1.0,781,781,0,0,1.0,173,173,0,0,1.0
earlier,15,v9_both,vwap_near,29858,13815,13789,2,24,18.89876880984952,4122,0.2989339328450214,19.203282695940405,-0.7967173040596068,0.0018145781545681034,1.0024855637524808,1048,0.07600261077670607,487,0.035318007107114364,105,0.00761476539270433,25128,13259,11869,530,0.5276583890480738,1747,1011,736,37,0.5787063537492845,781,470,311,17,0.6017925736235595,173,99,74,6,0.5722543352601156
earlier,15,v9_both,twap_near,29858,13848,13819,2,27,18.94391244870041,4161,0.3011071712859107,20.57742890021341,0.5774289002134013,0.009480972421874633,1.012991725782752,1051,0.07605470728706853,485,0.035096606122005936,113,0.008177147405745712,25128,13325,11803,494,0.53028494110156,1747,1017,730,34,0.5821408128219805,781,469,312,16,0.6005121638924455,173,107,66,6,0.6184971098265896
later,15,v9_both,baseline,60366,50894,50818,76,0,80.76276117429252,15230,0.2996969577708686,12.30474340629386,-7.695256593706148,-0.03025329099795432,0.9579917040620409,3273,0.06440631272383801,1407,0.027687040025187924,356,0.00700539179031052,50818,50818,0,0,1.0,3273,3273,0,0,1.0,1407,1407,0,0,1.0,356,356,0,0,1.0
later,15,v9_both,vwap_near,60366,28593,28549,44,0,45.37371065855594,8399,0.2941959438158955,7.334331786494426,-12.665668213505583,-0.05101624777610002,0.9300715341669783,1841,0.06448562121265193,776,0.027181337349819607,195,0.006830361834039721,50818,27420,23398,1129,0.5395725923885237,3273,1781,1492,60,0.5441490986862206,1407,751,656,25,0.5337597725657427,356,184,172,11,0.5168539325842697
later,15,v9_both,twap_near,60366,28464,28423,41,0,45.169002909283265,8385,0.2950075642965204,9.455918971961333,-10.544081028038674,-0.05563094698908113,0.9238879549815465,1834,0.06452520845793899,762,0.026809274179361783,185,0.0065088132850156565,50818,27366,23452,1057,0.5385099767798811,3273,1778,1495,56,0.5432325084020776,1407,741,666,21,0.5266524520255863,356,177,179,8,0.49719101123595505
all,60,joint,baseline,10498,10493,10434,33,26,7.708828211093424,3109,0.29796818094690436,-1.373881788139987,-21.373881788140004,-0.005615053195950647,0.9918086134920838,670,0.0642131493195323,307,0.029423040061337932,79,0.007571401188422465,10434,10434,0,0,1.0,670,670,0,0,1.0,307,307,0,0,1.0,79,79,0,0,1.0
all,60,joint,vwap_near,10498,5685,5653,21,11,4.176564221868495,1674,0.2961259508225721,17.402894666747507,-2.597105333252502,0.02263494281600258,1.0322054008116206,408,0.07217406686715018,196,0.034671855651866264,52,0.009198655581107376,10434,5652,4782,1,0.5416906267970097,670,408,262,0,0.608955223880597,307,196,111,0,0.6384364820846905,79,52,27,0,0.6582278481012658
all,60,joint,twap_near,10498,5440,5409,22,9,3.9965715685074077,1594,0.29469402847106674,15.287916127816525,-4.712083872183489,0.0166100750456966,1.0235163280020256,387,0.07154742096505824,187,0.03457200961360695,52,0.009613606951377335,10434,5407,5027,2,0.5182096990607629,670,387,283,0,0.5776119402985075,307,187,120,0,0.6091205211726385,79,52,27,0,0.6582278481012658
earlier,60,joint,baseline,3259,3256,3230,0,26,4.454172366621067,983,0.3043343653250774,15.621585028402679,-4.378414971597332,-0.04238947936768187,0.9384878435226671,199,0.06160990712074303,84,0.026006191950464396,20,0.006191950464396285,3230,3230,0,0,1.0,199,199,0,0,1.0,84,84,0,0,1.0,20,20,0,0,1.0
earlier,60,joint,vwap_near,3259,1757,1746,0,11,2.4035567715458277,511,0.29266895761741124,-11.10325061459753,-31.10325061459754,-0.0797547426802664,0.887757465819486,111,0.06357388316151202,47,0.026918671248568157,12,0.006872852233676976,3230,1746,1484,0,0.5405572755417957,199,111,88,0,0.5577889447236181,84,47,37,0,0.5595238095238095,20,12,8,0,0.6
earlier,60,joint,twap_near,3259,1685,1676,0,9,2.305061559507524,494,0.2947494033412888,-7.890473301189866,-27.890473301189875,-0.08306621555606046,0.8831196885113781,105,0.06264916467780429,45,0.02684964200477327,11,0.0065632458233890216,3230,1675,1555,1,0.5185758513931888,199,105,94,0,0.5276381909547738,84,45,39,0,0.5357142857142857,20,11,9,0,0.55
later,60,joint,baseline,7239,7237,7204,33,0,11.484263422375033,2126,0.29511382565241534,-8.994003639532655,-28.994003639532668,0.01087320284717703,1.0158999785614116,471,0.06538034425319267,223,0.030955024986118823,59,0.008189894503053859,7204,7204,0,0,1.0,471,471,0,0,1.0,223,223,0,0,1.0,59,59,0,0,1.0
later,60,joint,vwap_near,7239,3928,3907,21,0,6.233271621264216,1163,0.2976708471973381,30.142011549580495,10.142011549580479,0.06839188954661063,1.09778963091927,297,0.0760174046583056,149,0.03813667775787049,40,0.010238034297414897,7204,3906,3298,1,0.5421987784564131,471,297,174,0,0.6305732484076433,223,149,74,0,0.6681614349775785,59,40,19,0,0.6779661016949152
later,60,joint,twap_near,7239,3755,3733,22,0,5.958741073790003,1100,0.29466916688990086,25.694286522409264,5.694286522409256,0.061361605463201234,1.0871171598246316,282,0.07554245914813823,142,0.038039110634878116,41,0.010983123493169033,7204,3732,3472,1,0.5180455302609661,471,282,189,0,0.5987261146496815,223,142,81,0,0.6367713004484304,59,41,18,0,0.6949152542372882
all,60,v9_both,baseline,26612,21814,21687,47,80,16.025958124158198,6915,0.3188546133628441,24.695678982896325,4.695678982896313,0.0432171456655245,1.0658671535694613,1498,0.06907363858532761,599,0.02762023331950016,112,0.005164384193295523,21687,21687,0,0,1.0,1498,1498,0,0,1.0,599,599,0,0,1.0,112,112,0,0,1.0
all,60,v9_both,vwap_near,26612,12031,11978,28,25,8.83874127586629,3794,0.3167473701786609,39.13418894860442,19.134188948604407,0.07875820118496538,1.1168175876740645,933,0.0778928034730339,396,0.03306061112038738,83,0.006929370512606445,21687,10843,10844,1135,0.4999769447134228,1498,853,645,80,0.5694259012016022,599,359,240,37,0.5993322203672788,112,76,36,7,0.6785714285714286
all,60,v9_both,twap_near,26612,11975,11921,28,26,8.797600097955184,3770,0.31624863685932386,36.85947134739294,16.859471347392926,0.07260429448116022,1.1074781055113363,926,0.077678047143696,390,0.03271537622682661,81,0.00679473198557168,21687,10819,10868,1102,0.4988702909577166,1498,851,647,75,0.568090787716956,599,356,243,34,0.5943238731218697,112,75,37,6,0.6696428571428571
earlier,60,v9_both,baseline,8987,7431,7350,1,80,10.165526675786595,2396,0.32598639455782313,44.33672406022656,24.336724060226555,0.07989493557488657,1.1223265439530985,581,0.07904761904761905,252,0.03428571428571429,37,0.005034013605442177,7350,7350,0,0,1.0,581,581,0,0,1.0,252,252,0,0,1.0,37,37,0,0,1.0
earlier,60,v9_both,vwap_near,8987,4133,4108,0,25,5.653898768809849,1329,0.32351509250243426,40.78100698833552,20.781006988335513,0.08467974064280354,1.1270038333744004,327,0.07960077896786757,155,0.03773125608568646,26,0.006329113924050633,7350,3717,3633,391,0.5057142857142857,581,303,278,24,0.5215146299483648,252,138,114,17,0.5476190476190477,37,24,13,2,0.6486486486486487
earlier,60,v9_both,twap_near,8987,4112,4086,0,26,5.625170998632011,1327,0.32476749877630934,47.02655213139792,27.02655213139791,0.10115028246538924,1.1515423712899957,342,0.08370044052863436,161,0.03940283896231033,25,0.006118453255017132,7350,3708,3642,378,0.5044897959183674,581,314,267,28,0.540447504302926,252,142,110,19,0.5634920634920635,37,22,15,3,0.5945945945945946
later,60,v9_both,baseline,17625,14383,14337,46,0,22.82412060301508,4519,0.31519843760898375,14.626509608663413,-5.373490391336597,0.024413926314627434,1.037122265331282,917,0.06396038222780219,347,0.024203110832112715,75,0.0052312199204854574,14337,14337,0,0,1.0,917,917,0,0,1.0,347,347,0,0,1.0,75,75,0,0,1.0
later,60,v9_both,vwap_near,17625,7898,7870,28,0,12.53319227717535,2465,0.31321473951715373,38.27457922723017,18.27457922723016,0.07566726292666814,1.1115894426797597,606,0.0770012706480305,241,0.03062261753494282,57,0.007242693773824651,14337,7126,7211,744,0.49703564204505823,917,550,367,56,0.5997818974918212,347,221,126,20,0.6368876080691642,75,52,23,5,0.6933333333333334
later,60,v9_both,twap_near,17625,7863,7835,28,0,12.477651414969586,2443,0.3118059987236758,31.55727708020157,11.557277080201558,0.05771738868619408,1.08491262796319,584,0.07453733248245054,229,0.029227823867262286,56,0.007147415443522655,14337,7111,7226,724,0.49598939806096115,917,537,380,47,0.5856052344601963,347,214,133,15,0.6167146974063401,75,53,22,3,0.7066666666666667
