period,timeframe_min,arm,policy,candidates,filled,closed,censored,crosscut,trades_per_day,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate,baseline_closed,samekey_retained,samekey_lost,samekey_new,retention_rate,baseline_ge3r,samekey_retained_ge3r,samekey_lost_ge3r,samekey_new_ge3r,retention_rate_ge3r,baseline_ge5r,samekey_retained_ge5r,samekey_lost_ge5r,samekey_new_ge5r,retention_rate_ge5r,baseline_ge10r,samekey_retained_ge10r,samekey_lost_ge10r,samekey_new_ge10r,retention_rate_ge10r
all,15,joint,baseline,33785,33774,33715,55,4,24.812538263744337,9538,0.2829007860002966,-2.1548673948019914,-22.154867394802,-0.11556211255156257,0.844148744542857,1872,0.055524247367640514,820,0.024321518611893817,227,0.006732908201097434,33715,33715,0,0,1.0,1872,1872,0,0,1.0,820,820,0,0,1.0,227,227,0,0,1.0
all,15,joint,vwap_near,33785,18441,18414,26,1,13.54793681890535,5012,0.27218420766807866,-7.567052144364326,-27.56705214436433,-0.14715449927467164,0.8058534370732634,1022,0.055501249049636145,439,0.023840556098620614,128,0.006951232757684371,33715,18414,15301,0,0.5461663947797716,1872,1022,850,0,0.5459401709401709,820,439,381,0,0.5353658536585366,227,128,99,0,0.5638766519823789
all,15,joint,twap_near,33785,17962,17937,24,1,13.196032814987143,4878,0.2719518314099348,-5.4838340833043295,-25.483834083304338,-0.1520293186429818,0.800199691967974,995,0.055471929531136756,416,0.02319228410548029,123,0.0068573340023415285,33715,17935,15780,2,0.5319590686637995,1872,995,877,0,0.531517094017094,820,416,404,0,0.5073170731707317,227,123,104,0,0.5418502202643172
earlier,15,joint,baseline,10847,10846,10841,1,4,14.837209302325581,3294,0.3038465086246656,9.519348798029293,-10.480651201970716,-0.08394589497999157,0.8842615664045355,662,0.061064477446730006,270,0.024905451526611937,58,0.00535005995756849,10841,10841,0,0,1.0,662,662,0,0,1.0,270,270,0,0,1.0,58,58,0,0,1.0
earlier,15,joint,vwap_near,10847,5846,5844,1,1,7.997264021887825,1685,0.2883299110198494,-2.8616393424448288,-22.86163934244484,-0.14097972427343947,0.8127931551061994,349,0.05971937029431896,133,0.02275838466803559,30,0.00513347022587269,10841,5844,4997,0,0.5390646619315561,662,349,313,0,0.527190332326284,270,133,137,0,0.4925925925925926,58,30,28,0,0.5172413793103449
earlier,15,joint,twap_near,10847,5835,5833,1,1,7.982216142270862,1696,0.2907594719698268,0.43052229469490716,-19.569477705305108,-0.12398372900181445,0.8351866585421311,358,0.06137493571061203,134,0.02297274129950283,33,0.005657466140922339,10841,5833,5008,0,0.5380499953878793,662,358,304,0,0.540785498489426,270,134,136,0,0.4962962962962963,58,33,25,0,0.5689655172413793
later,15,joint,baseline,22938,22928,22874,54,0,36.38402539010844,6244,0.2729736819095917,-7.687794637369271,-27.68779463736928,-0.13054643600585136,0.8257428043468379,1210,0.052898487365567896,550,0.024044766984349042,169,0.00738830112791816,22874,22874,0,0,1.0,1210,1210,0,0,1.0,550,550,0,0,1.0,169,169,0,0,1.0
later,15,joint,vwap_near,22938,12595,12570,25,0,19.986775985189105,3327,0.26467780429594273,-9.754676043681556,-29.75467604368156,-0.1500252538575834,0.8026574272685145,673,0.05354017501988862,306,0.0243436754176611,98,0.007796340493237868,22874,12570,10304,0,0.549532219987759,1210,673,537,0,0.556198347107438,550,306,244,0,0.5563636363636364,169,98,71,0,0.5798816568047337
later,15,joint,twap_near,22938,12127,12104,23,0,19.244115313409154,3182,0.2628883013879709,-8.334002684830232,-28.334002684830242,-0.16554467921609226,0.7836213595971878,637,0.05262723066754792,282,0.02329808327825512,90,0.007435558493060146,22874,12102,10772,2,0.5290723091719857,1210,637,573,0,0.5264462809917355,550,282,268,0,0.5127272727272727,169,90,79,0,0.5325443786982249
all,15,v9_both,baseline,90224,76062,75946,80,36,55.88000489775927,22880,0.3012666894899007,13.01703525748544,-6.982964742514568,-0.025222212232256618,0.9649477576792578,5020,0.0660995970821373,2188,0.028809943907513232,529,0.006965475469412477,75946,75946,0,0,1.0,5020,5020,0,0,1.0,2188,2188,0,0,1.0,529,529,0,0,1.0
