period,timeframe_min,arm,policy,feature,control_mode,target_closed,draw_assigned,matched_draws,control_gate_pass_draws,control_gate_rejected,control_censored_or_missing,paired_closed,paired_coverage,matched,weeks,mean_excess_bp,p_one_sided,ci_low_bp,ci_high_bp,minimum_p_resolution,target_mean_net_bp,random_mean_net_bp,target_win_rate,random_win_rate,win_rate_excess,holm_primary_p
all,15,joint,baseline,none,unconditional,33715,33715,33672,33672,0,2,33670,0.9986652825152009,33670,195,-1.8498806920454014,0.6055394460553944,-15.646362077690664,12.355226384618886,9.999000099990002e-05,-22.05865795455213,-20.208777262506736,0.2828927828927829,0.27264627264627267,0.010246510246510243,
all,15,joint,vwap_near,vwap,unconditional,18414,18414,18389,18389,0,1,18388,0.9985880308460954,18388,195,-3.7614415285562317,0.6952304769523048,-18.113314009276756,10.690742609120896,9.999000099990002e-05,-27.47379117654618,-23.712349647989942,0.2721883837285186,0.2656080052207962,0.0065803785077224175,
all,15,joint,vwap_near,vwap,same_gate,18414,18414,18389,13965,4424,1,13964,0.7583360486586294,13964,195,-11.801485067357595,0.918008199180082,-27.992503180115957,4.354114797496897,9.999000099990002e-05,-33.36902672213466,-21.56754165477707,0.26654253795474075,0.26596963620739045,0.0005729017473503073,
all,15,joint,twap_near,twap,unconditional,17937,17937,17912,17912,0,1,17911,0.9985504822434075,17911,195,-3.892020074112642,0.6899310068993101,-18.92350938994217,11.486714859584955,9.999000099990002e-05,-25.339840773516404,-21.447820699403763,0.2720116129752666,0.26453017698620956,0.007481435989057039,
all,15,joint,twap_near,twap,same_gate,17937,17937,17912,13799,4113,1,13798,0.7692479232870603,13798,195,-8.99241690471023,0.8483151684831517,-25.702765452854834,7.679033701389106,9.999000099990002e-05,-27.708041060384403,-18.715624155674174,0.2669227424264386,0.2630091317582258,0.003913610668212775,
earlier,15,joint,baseline,none,unconditional,10841,10841,10838,10838,0,2,10836,0.9995387879346924,10836,105,11.126153023467204,0.1703829617038296,-9.418505977144937,32.08520916897484,9.999000099990002e-05,-10.366265168035266,-21.49241819150247,0.30398671096345514,0.2766703580657069,0.027316352897748253,
earlier,15,joint,vwap_near,vwap,unconditional,5844,5844,5842,5842,0,1,5841,0.9994866529774127,5841,105,4.209932782246493,0.35156484351564843,-17.739093749992946,25.43393360248188,9.999000099990002e-05,-22.710884486407647,-26.920817268654144,0.2884780003424071,0.26690635165211435,0.021571648690292766,
earlier,15,joint,vwap_near,vwap,same_gate,5844,5844,5842,4411,1431,1,4410,0.7546201232032854,4410,105,-2.692199092712526,0.5903409659034097,-25.140461642580892,19.685069808467585,9.999000099990002e-05,-28.75767127823347,-26.065472185520942,0.2802721088435374,0.273015873015873,0.007256235827664437,
earlier,15,joint,twap_near,twap,unconditional,5833,5833,5831,5831,0,1,5830,0.9994856848962798,5830,105,7.590098685296672,0.25577442255774424,-14.298808197005657,29.844919811575984,9.999000099990002e-05,-19.41674432639865,-27.006843011695324,0.2909090909090909,0.2677530017152659,0.023156089193825002,
earlier,15,joint,twap_near,twap,same_gate,5833,5833,5831,4453,1378,1,4452,0.7632436139207954,4452,105,2.991502052745656,0.39956004399560047,-20.201587102392775,27.04665027351291,9.999000099990002e-05,-25.460442042208395,-28.45194409495405,0.2832434860736748,0.27088948787061995,0.012353998203054828,
later,15,joint,baseline,none,unconditional,22874,22874,22834,22834,0,0,22834,0.9982512896738656,22834,91,-8.007728696831887,0.798020197980202,-25.022281285113582,11.240565130882263,9.999000099990002e-05,-27.607347112592638,-19.59961841576075,0.27288254357537006,0.27073662082858896,0.0021459227467811037,
later,15,joint,vwap_near,vwap,unconditional,12570,12570,12547,12547,0,0,12547,0.9981702466189339,12547,91,-7.47235229203744,0.7664233576642335,-26.02020080950854,11.663448142688852,9.999000099990002e-05,-29.691065264144736,-22.218712972107294,0.264605084880848,0.26500358651470474,-0.0003985016338567404,
later,15,joint,vwap_near,vwap,same_gate,12570,12570,12547,9554,2993,0,9554,0.7600636435958632,9554,91,-16.006210956847312,0.9206079392060794,-36.655875226043484,4.186958811612489,9.999000099990002e-05,-35.49756738652699,-19.49135642967968,0.2602051496755286,0.2627171865187356,-0.0025120368432069995,
later,15,joint,twap_near,twap,unconditional,12104,12104,12081,12081,0,0,12081,0.9980998017184401,12081,91,-9.433014393072686,0.8082191780821918,-29.848828288125294,11.092871840395553,9.999000099990002e-05,-28.19818464295573,-18.76517024988304,0.2628921446900091,0.26297491929476036,-8.277460475125675e-05,
later,15,joint,twap_near,twap,same_gate,12104,12104,12081,9346,2735,0,9346,0.7721414408460013,9346,91,-14.700998886156157,0.8922107789221078,-36.67283915854542,8.133035230458438,9.999000099990002e-05,-28.778692764741304,-14.077693878585148,0.2591482987374278,0.25925529638347955,-0.0001069976460517652,
all,15,v9_both,baseline,none,unconditional,75946,75946,75888,75888,0,30,75858,0.9988412819635004,75858,195,7.189807272657345,0.1257874212578742,-4.738072710794389,18.839630014566872,9.999000099990002e-05,-6.920860229830731,-14.110667502488077,0.30135252709008936,0.2842152442721928,0.01713728281789656,
all,15,v9_both,vwap_near,vwap,unconditional,42338,42338,42291,42291,0,11,42280,0.9986300722754972,42280,195,9.502041821429676,0.09309069093090691,-3.776175564990573,23.210548113211075,9.999000099990002e-05,-8.690306450173315,-18.192348271602985,0.29581362346263007,0.27568590350047306,0.02012771996215701,
all,15,v9_both,vwap_near,vwap,same_gate,42338,42338,42291,32080,10211,11,32070,0.7574755538759507,32070,195,2.420111538922553,0.3558644135586441,-9.75372539195932,14.488514855203688,9.999000099990002e-05,-15.603187619965821,-18.023299158888374,0.28805737449329594,0.2727159338946056,0.015341440598690359,
all,15,v9_both,twap_near,twap,unconditional,42242,42242,42195,42195,0,13,42182,0.9985796127077317,42182,195,14.329089703587735,0.0221977802219778,0.5334166714018653,28.25276891945621,9.999000099990002e-05,-6.737481372871296,-21.06657107645903,0.2970935470105732,0.2732682186714712,0.023825328339102003,
all,15,v9_both,twap_near,twap,same_gate,42242,42242,42195,32454,9741,13,32443,0.7680270820510392,32443,195,5.116137314021988,0.2196780321967803,-6.947056808105703,17.802845632357794,9.999000099990002e-05,-15.024109077337055,-20.140246391359042,0.2863175415343834,0.2701969608235983,0.016120580710785093,
earlier,15,v9_both,baseline,none,unconditional,25128,25128,25119,25119,0,30,25089,0.998447946513849,25089,105,13.534069665328117,0.10478952104789521,-6.432038433010903,34.62708445845503,9.999000099990002e-05,-5.233972703447447,-18.768042368775564,0.3047550719438798,0.28004304675355735,0.02471202519032245,
earlier,15,v9_both,vwap_near,vwap,unconditional,13789,13789,13781,13781,0,11,13770,0.9986220900717964,13770,105,22.160244558666953,0.039996000399960006,-0.8404279758734672,47.33564469938495,9.999000099990002e-05,-0.5872672489158974,-22.747511807582846,0.2991285403050109,0.2690631808278867,0.030065359477124187,
earlier,15,v9_both,vwap_near,vwap,same_gate,13789,13789,13781,10523,3258,11,10513,0.7624193197476249,10513,105,18.388526734050433,0.055094490550944904,-2.680323920972087,41.527727390197825,9.999000099990002e-05,-4.692848902952749,-23.081375637003188,0.29316084847331875,0.2661466755445639,0.027014172928754854,
earlier,15,v9_both,twap_near,twap,unconditional,13819,13819,13811,13811,0,13,13798,0.9984803531369854,13798,105,24.591955457035095,0.025597440255974404,1.257989010757677,49.64521395681644,9.999000099990002e-05,0.8111722325016727,-23.780783224533423,0.30134802145238443,0.2669227424264386,0.03442527902594583,
earlier,15,v9_both,twap_near,twap,same_gate,13819,13819,13811,10691,3120,13,10680,0.7728489760474708,10680,105,18.054943045786544,0.055594440555944404,-2.761981129746414,40.79591525713486,9.999000099990002e-05,-4.233394699302617,-22.28833774508916,0.2932584269662921,0.26329588014981276,0.029962546816479363,
later,15,v9_both,baseline,none,unconditional,50818,50818,50769,50769,0,0,50769,0.999035774725491,50769,91,4.054602735051386,0.2999700029997,-9.235310230634447,19.381537305747486,9.999000099990002e-05,-7.754485496222233,-11.80908823127362,0.29967105911087477,0.2862770588351159,0.013394000275758877,
later,15,v9_both,vwap_near,vwap,unconditional,28549,28549,28510,28510,0,0,28510,0.998633927633192,28510,91,3.3882764165977837,0.3457654234576542,-12.637584218493158,20.587745632977857,9.999000099990002e-05,-12.603980592625598,-15.992257009223378,0.2942125569975447,0.27888460189407227,0.015327955103472457,
later,15,v9_both,vwap_near,vwap,same_gate,28549,28549,28510,21557,6953,0,21557,0.755087743878945,21557,91,-5.367426102974715,0.7643235676432357,-19.285420504595812,9.899116126164758,9.999000099990002e-05,-20.923983228443735,-15.55655712546902,0.2855684928329545,0.2759196548684882,0.009648837964466306,1.0
later,15,v9_both,twap_near,twap,unconditional,28423,28423,28384,28384,0,0,28384,0.9986278717939697,28384,91,9.340116279614135,0.13658634136586342,-6.922781119205775,26.649358723153313,9.999000099990002e-05,-10.40702486381465,-19.747141143428788,0.29502536640360766,0.27635287485907556,0.0186724915445321,
later,15,v9_both,twap_near,twap,same_gate,28423,28423,28384,21763,6621,0,21763,0.7656827217394364,21763,91,-1.2334673000130916,0.5561443855614439,-16.232309354265094,15.095611969350369,9.999000099990002e-05,-20.319556835339526,-19.086089535326437,0.28291136332307126,0.2735836052014888,0.009327758121582486,1.0
