event_key,symbol,period,month,arm,common_complete,net_usd_actual,net_usd_random,delta_usd
1000PEPEUSDT|2024-09-19T00:00:00+00:00,1000PEPEUSDT,earlier,2024-09,none,True,18.783503064000087,3.1798656386997948,15.603637425300292
1000PEPEUSDT|2024-09-19T00:00:00+00:00,1000PEPEUSDT,earlier,2024-09,two,True,18.783503064000087,3.1798656386997948,15.603637425300292
1000PEPEUSDT|2024-09-19T00:00:00+00:00,1000PEPEUSDT,earlier,2024-09,continuous,True,18.783503064000087,3.1798656386997948,15.603637425300292
1000PEPEUSDT|2024-09-19T00:00:00+00:00,1000PEPEUSDT,earlier,2024-09,continuous_unprotected,True,18.783503064000087,3.1798656386997948,15.603637425300292
1000PEPEUSDT|2024-10-14T06:00:00+00:00,1000PEPEUSDT,earlier,2024-10,none,True,17.387104806399975,93.46578039240009,-76.07867558600012
1000PEPEUSDT|2024-10-14T06:00:00+00:00,1000PEPEUSDT,earlier,2024-10,two,True,17.387104806399975,67.5508668743993,-50.16376206799933
1000PEPEUSDT|2024-10-14T06:00:00+00:00,1000PEPEUSDT,earlier,2024-10,continuous,True,17.387104806399975,67.5508668743993,-50.16376206799933
1000PEPEUSDT|2024-10-14T06:00:00+00:00,1000PEPEUSDT,earlier,2024-10,continuous_unprotected,False,17.387104806399975,,
1000PEPEUSDT|2024-10-21T00:00:00+00:00,1000PEPEUSDT,earlier,2024-10,none,True,-37.455209790612024,14.485905738499923,-51.94111552911195
1000PEPEUSDT|2024-10-21T00:00:00+00:00,1000PEPEUSDT,earlier,2024-10,two,True,-37.455209790612024,14.485905738499923,-51.94111552911195
1000PEPEUSDT|2024-10-21T00:00:00+00:00,1000PEPEUSDT,earlier,2024-10,continuous,True,-37.455209790612024,14.485905738499923,-51.94111552911195
1000PEPEUSDT|2024-10-21T00:00:00+00:00,1000PEPEUSDT,earlier,2024-10,continuous_unprotected,True,-37.455209790612024,14.485905738499923,-51.94111552911195
1000PEPEUSDT|2024-12-07T10:00:00+00:00,1000PEPEUSDT,earlier,2024-12,none,True,71.72837727439992,-46.38533182320014,118.11370909760006
1000PEPEUSDT|2024-12-07T10:00:00+00:00,1000PEPEUSDT,earlier,2024-12,two,True,32.40486056500012,-46.38533182320014,78.79019238820027
1000PEPEUSDT|2024-12-07T10:00:00+00:00,1000PEPEUSDT,earlier,2024-12,continuous,True,32.40486056500012,-46.38533182320014,78.79019238820027
1000PEPEUSDT|2024-12-07T10:00:00+00:00,1000PEPEUSDT,earlier,2024-12,continuous_unprotected,True,32.40486056500012,-46.38533182320014,78.79019238820027
1000PEPEUSDT|2024-12-28T17:00:00+00:00,1000PEPEUSDT,earlier,2024-12,none,True,-30.966708528000126,-15.789665628000122,-15.177042900000004
1000PEPEUSDT|2024-12-28T17:00:00+00:00,1000PEPEUSDT,earlier,2024-12,two,True,-30.966708528000126,-15.789665628000122,-15.177042900000004
