symbol,period,arm,entries,complete,net_profit_sum_independent_accounts,win_rate,mean_final_balance,max_adds
1000PEPEUSDT,earlier,continuous,14.0,14.0,-94.23694717551763,0.42857142857142855,93.26878948746302,2.0
1000PEPEUSDT,earlier,continuous_unprotected,14.0,13.0,-135.6303346857181,0.38461538461538464,89.56689733186785,2.0
1000PEPEUSDT,earlier,none,14.0,14.0,-22.12093726811831,0.42857142857142855,98.41993305227724,0.0
1000PEPEUSDT,earlier,two,14.0,14.0,-94.23694717551763,0.42857142857142855,93.26878948746302,2.0
1000PEPEUSDT,later,continuous,6.0,6.0,-22.392431754536922,0.5,96.26792804091052,1.0
1000PEPEUSDT,later,continuous_unprotected,6.0,6.0,-22.392431754536922,0.5,96.26792804091052,1.0
1000PEPEUSDT,later,none,6.0,6.0,31.238148022863065,0.5,105.20635800381052,0.0
1000PEPEUSDT,later,two,6.0,6.0,-22.392431754536922,0.5,96.26792804091052,1.0
AAVEUSDT,earlier,continuous,12.0,12.0,55.86825600000055,0.5833333333333334,104.65568800000005,3.0
AAVEUSDT,earlier,continuous_unprotected,12.0,11.0,-17.300405999999633,0.5454545454545454,98.42723581818186,2.0
AAVEUSDT,earlier,none,12.0,12.0,142.56317400000012,0.5833333333333334,111.8802645,0.0
AAVEUSDT,earlier,two,12.0,12.0,61.06046400000046,0.5833333333333334,105.08837200000005,2.0
AAVEUSDT,later,continuous,5.0,5.0,-48.93166499999985,0.2,90.21366700000003,0.0
AAVEUSDT,later,continuous_unprotected,5.0,5.0,-48.93166499999985,0.2,90.21366700000003,0.0
AAVEUSDT,later,none,5.0,5.0,-48.93166499999985,0.2,90.21366700000003,0.0
AAVEUSDT,later,two,5.0,5.0,-48.93166499999985,0.2,90.21366700000003,0.0
AEROUSDT,earlier,continuous,11.0,11.0,810.2800713599996,0.36363636363636365,173.66182466909083,8.0
AEROUSDT,earlier,continuous_unprotected,11.0,10.0,-245.84440034999983,0.3,75.41555996500003,6.0
AEROUSDT,earlier,none,11.0,11.0,221.10006229000015,0.36363636363636365,120.10000566272726,0.0
AEROUSDT,earlier,two,11.0,11.0,682.2653252700002,0.36363636363636365,162.0241204790909,2.0
AEROUSDT,later,continuous,5.0,5.0,-115.79713258999969,0.2,76.84057348200007,1.0
AEROUSDT,later,continuous_unprotected,5.0,5.0,-115.79713258999969,0.2,76.84057348200007,1.0
