event_key,month,period,comparison,common_complete,delta_usd
1000PEPEUSDT|2024-09-19T00:00:00+00:00,2024-09,earlier,continuous-none,True,0.0
1000PEPEUSDT|2024-10-14T06:00:00+00:00,2024-10,earlier,continuous-none,True,0.0
1000PEPEUSDT|2024-10-21T00:00:00+00:00,2024-10,earlier,continuous-none,True,0.0
1000PEPEUSDT|2024-12-07T10:00:00+00:00,2024-12,earlier,continuous-none,True,-39.3235167093998
1000PEPEUSDT|2024-12-28T17:00:00+00:00,2024-12,earlier,continuous-none,True,0.0
1000PEPEUSDT|2024-12-31T09:00:00+00:00,2024-12,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-02-17T13:00:00+00:00,2025-02,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-03-19T05:00:00+00:00,2025-03,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-04-19T22:00:00+00:00,2025-04,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-05-29T03:00:00+00:00,2025-05,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-08-07T10:00:00+00:00,2025-08,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-08-22T15:00:00+00:00,2025-08,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-09-03T15:00:00+00:00,2025-09,earlier,continuous-none,True,0.0
1000PEPEUSDT|2025-09-08T03:00:00+00:00,2025-09,earlier,continuous-none,True,-32.79249319799953
AAVEUSDT|2024-09-19T00:00:00+00:00,2024-09,earlier,continuous-none,True,-27.608162999999934
AAVEUSDT|2024-11-21T13:00:00+00:00,2024-11,earlier,continuous-none,True,0.0
AAVEUSDT|2024-11-23T00:00:00+00:00,2024-11,earlier,continuous-none,True,0.0
AAVEUSDT|2024-11-23T14:00:00+00:00,2024-11,earlier,continuous-none,True,0.0
AAVEUSDT|2025-01-02T08:00:00+00:00,2025-01,earlier,continuous-none,True,0.0
AAVEUSDT|2025-01-03T14:00:00+00:00,2025-01,earlier,continuous-none,True,0.0
AAVEUSDT|2025-02-17T10:00:00+00:00,2025-02,earlier,continuous-none,True,0.0
AAVEUSDT|2025-03-17T22:00:00+00:00,2025-03,earlier,continuous-none,True,0.0
AAVEUSDT|2025-04-19T17:00:00+00:00,2025-04,earlier,continuous-none,True,0.0
AAVEUSDT|2025-04-22T07:00:00+00:00,2025-04,earlier,continuous-none,True,-35.13621299999983
AAVEUSDT|2025-07-02T15:00:00+00:00,2025-07,earlier,continuous-none,True,0.0
AAVEUSDT|2025-07-08T12:00:00+00:00,2025-07,earlier,continuous-none,True,-23.950541999999814
AEROUSDT|2025-01-30T07:00:00+00:00,2025-01,earlier,continuous-none,True,0.0
AEROUSDT|2025-01-31T13:00:00+00:00,2025-01,earlier,continuous-none,True,0.0
AEROUSDT|2025-02-14T17:00:00+00:00,2025-02,earlier,continuous-none,True,0.0
AEROUSDT|2025-03-19T17:00:00+00:00,2025-03,earlier,continuous-none,True,0.0
AEROUSDT|2025-04-21T00:00:00+00:00,2025-04,earlier,continuous-none,True,0.0
AEROUSDT|2025-04-22T15:00:00+00:00,2025-04,earlier,continuous-none,True,614.6432777099994
AEROUSDT|2025-06-09T11:00:00+00:00,2025-06,earlier,continuous-none,True,-25.463268640000024
AEROUSDT|2025-07-28T05:00:00+00:00,2025-07,earlier,continuous-none,True,0.0
AEROUSDT|2025-08-22T15:00:00+00:00,2025-08,earlier,continuous-none,True,0.0
AEROUSDT|2025-09-05T08:00:00+00:00,2025-09,earlier,continuous-none,True,0.0
AEROUSDT|2025-09-09T06:00:00+00:00,2025-09,earlier,continuous-none,True,0.0
API3USDT|2024-09-23T03:00:00+00:00,2024-09,earlier,continuous-none,True,0.0
