period,scope,arm,entries,complete,censored,ambiguous,other_unfilled,net_profit_sum_independent_accounts,mean_final_balance,median_final_balance,win_rate,pf,max_adds,total_adds,initial_clipped
earlier,actual,continuous,291,289,2,0,0,1888.2469203040923,106.53372636783425,94.70291200000015,0.43944636678200694,1.353753368535227,8,95,291
earlier,actual,continuous_unprotected,291,267,2,22,0,-2446.0824738039137,90.83864242021005,91.25440150000016,0.39325842696629215,0.5417390037719421,7,85,291
earlier,actual,none,291,289,2,0,0,2162.6894115393866,107.48335436518819,94.70291200000015,0.43944636678200694,1.4051687606112007,0,0,291
earlier,actual,two,291,289,2,0,0,2514.1967730984875,108.69964281348958,94.70291200000015,0.43944636678200694,1.4710218605841832,2,64,291
earlier,random,continuous,291,286,5,0,0,719.5737831657924,102.51599224883145,85.42466824499994,0.3986013986013986,1.133708952322721,7,100,291
earlier,random,continuous_unprotected,291,261,4,26,0,-3427.860149852312,86.8664362074624,79.92472060000011,0.34099616858237547,0.3630457361452315,5,81,291
earlier,random,none,291,286,5,0,0,577.9182377141906,102.0206931388608,85.42466824499994,0.3986013986013986,1.1073869614217917,0,0,291
earlier,random,two,291,286,5,0,0,1287.6901843577903,104.50241323202026,85.42466824499994,0.3986013986013986,1.2392745671044854,2,71,291
later,actual,continuous,160,160,0,0,0,-573.5181624049619,96.41551148496897,88.7541519325,0.3625,0.8194188151371076,6,47,160
later,actual,continuous_unprotected,160,151,0,9,0,-2043.697328481866,86.46558060608035,84.24825400000002,0.32450331125827814,0.3565098557109086,6,46,160
later,actual,none,160,160,0,0,0,-221.41223064016515,98.61617355849896,88.7541519325,0.3625,0.9302848879545944,0,0,160
later,actual,two,160,160,0,0,0,-493.31356602696394,96.91679021233148,88.7541519325,0.3625,0.8446724897280826,2,34,160
later,random,continuous,160,160,0,0,0,-2064.251213113962,87.09842991803774,82.70198112000011,0.30625,0.34888327175085226,3,30,160
later,random,continuous_unprotected,160,155,0,5,0,-2288.373609996963,85.23629929034217,82.14733840000008,0.2838709677419355,0.27818943329808055,3,30,160
later,random,none,160,160,0,0,0,-1508.8301563434625,90.56981152285337,82.70198112000011,0.30625,0.5240770364378281,0,0,160
later,random,two,160,160,0,0,0,-1998.2833411539625,87.51072911778775,82.70198112000011,0.30625,0.36969119701076214,2,28,160
