actual_trade_id,actual_decision_index,actual_decision_time,month,volbin,side,score,actual_gross_bp,actual_net_bp,control_number,control_decision_index,control_decision_time,control_entry_index,control_entry_time,control_entry_price,control_exit_decision_index,control_exit_decision_time,control_exit_index,control_exit_time,control_exit_price,control_exit_kind,control_gross_bp,control_net_bp,gross_excess_bp,excess_bp
0,2571,2020-04-07 05:00:00+00:00,2020-04,5,1,0.06670235905409146,1268.1244569140783,1248.1244569140788,1,2568,2020-04-03 05:00:00+00:00,2916248,2020-04-03 05:00:00+00:00,1613.088,2766,2020-11-21 05:00:00+00:00,3142782,2020-11-22 23:00:00+00:00,1869.943,signal,1592.318583983019,1572.318583983019,-324.1941270689406,-324.19412706894013
0,2571,2020-04-07 05:00:00+00:00,2020-04,5,1,0.06670235905409146,1268.1244569140783,1248.1244569140788,2,2584,2020-04-23 05:00:00+00:00,2934185,2020-04-23 05:00:00+00:00,1710.158,2766,2020-11-21 05:00:00+00:00,3142782,2020-11-22 23:00:00+00:00,1869.943,signal,934.3288748758894,914.3288748758894,333.79558203818897,333.7955820381894
0,2571,2020-04-07 05:00:00+00:00,2020-04,5,1,0.06670235905409146,1268.1244569140783,1248.1244569140788,3,2585,2020-04-24 05:00:00+00:00,2935565,2020-04-24 05:00:00+00:00,1723.498,2766,2020-11-21 05:00:00+00:00,3142782,2020-11-22 23:00:00+00:00,1869.943,signal,849.6963733059149,829.6963733059149,418.42808360816343,418.4280836081639
1,2766,2020-11-21 05:00:00+00:00,2020-11,2,-1,0.02320814449553753,-399.12981304777736,-419.1298130477763,1,2751,2020-11-04 05:00:00+00:00,3125204,2020-11-04 05:00:00+00:00,1898.678,2803,2021-01-06 05:00:00+00:00,3182821,2021-01-06 05:00:00+00:00,1944.578,signal,-241.7471524924175,-261.7471524924175,-157.38266055535985,-157.38266055535877
1,2766,2020-11-21 05:00:00+00:00,2020-11,2,-1,0.02320814449553753,-399.12981304777736,-419.1298130477763,2,2771,2020-11-27 05:00:00+00:00,3148422,2020-11-27 05:00:00+00:00,1807.72,2803,2021-01-06 05:00:00+00:00,3182821,2021-01-06 05:00:00+00:00,1944.578,signal,-757.0752107627277,-777.0752107627277,357.94539771495033,357.9453977149514
1,2766,2020-11-21 05:00:00+00:00,2020-11,2,-1,0.02320814449553753,-399.12981304777736,-419.1298130477763,3,2750,2020-11-03 05:00:00+00:00,3123824,2020-11-03 05:00:00+00:00,1891.668,2803,2021-01-06 05:00:00+00:00,3182821,2021-01-06 05:00:00+00:00,1944.578,signal,-279.70024338308974,-299.70024338308974,-119.42956966468762,-119.42956966468654
2,2828,2021-02-04 05:00:00+00:00,2021-02,3,-1,0.07933609120277496,-61.5459756395384,-81.54597563953635,1,2825,2021-02-01 05:00:00+00:00,3207420,2021-02-01 05:00:00+00:00,1860.267,2907,2021-05-08 05:00:00+00:00,3301972,2021-05-09 23:00:00+00:00,1833.43,signal,144.2642373379732,124.26423733797321,-205.8102129775116,-205.81021297750956
2,2828,2021-02-04 05:00:00+00:00,2021-02,3,-1,0.07933609120277496,-61.5459756395384,-81.54597563953635,2,2847,2021-02-26 05:00:00+00:00,3233399,2021-02-26 05:00:00+00:00,1767.825,2907,2021-05-08 05:00:00+00:00,3301972,2021-05-09 23:00:00+00:00,1833.43,signal,-371.1057372760318,-391.1057372760318,309.55976163649336,309.5597616364954
2,2828,2021-02-04 05:00:00+00:00,2021-02,3,-1,0.07933609120277496,-61.5459756395384,-81.54597563953635,3,2827,2021-02-03 05:00:00+00:00,3210180,2021-02-03 05:00:00+00:00,1840.458,2907,2021-05-08 05:00:00+00:00,3301972,2021-05-09 23:00:00+00:00,1833.43,signal,38.186147143809414,18.186147143809414,-99.73212278334782,-99.73212278334577
3,3022,2021-09-20 05:00:00+00:00,2021-09,2,-1,0.052825899878084066,-458.6489244608557,-478.64892446085673,1,3024,2021-09-22 05:00:00+00:00,3434555,2021-09-22 05:00:00+00:00,1777.514,3066,2021-11-10 05:00:00+00:00,3482849,2021-11-10 05:00:00+00:00,1826.283,signal,-274.366334104823,-294.366334104823,-184.2825903560327,-184.28259035603372
