candidate,timeframe,name,return_pct,max_drawdown_pct,trades,winrate,winrate_pct,PF,gross_trade_mean_bp,net_trade_mean_bp,exposure_time,exposure_fraction,bankrupt,final_equity,observed_minutes,cost_bp,price_model,ledger_checks,actual_n,matched_n,unmatched_n,controls_n,n_controls,seed,scope,matching,actual_mean_gross_bp,actual_mean_net_bp,matched_actual_mean_gross_bp,matched_actual_mean_net_bp,control_mean_gross_bp,control_mean_net_bp,excess_bp,actual_bankruptcy_n,actual_floor_adjustment_n,score_n,score_auc,score_auc_status,score_top_decile_n,score_top_decile_gross_bp,score_top_decile_net_bp,score_top_decile_win_pct,months,monthly_mean_excess_bp,p,ci_low,ci_high,inference_status,inference_estimand,inference_draws,p_method,paired_p,top_decile_gross_bp,top_decile_net_bp,holm_p
F01,1440,零轴12根·反向才退,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
F02,1440,长零轴＋密集,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
F03,1440,长零轴＋密集＋高周期许可,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
F04,1440,长零轴＋严格高周期同向,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
N00,1440,近零12根释放,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
N01,1440,近零释放＋密集,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
N02,1440,近零释放＋密集＋高周期许可,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
N03,1440,近零共振＋离开均线带,107.24376830253162,11.272219641289693,1,1.0,100.0,inf,10755.101207083413,10735.101207083413,57689880.0,0.9134157926736586,False,2.072437683025316,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,0,1,0,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,10755.101207083413,10735.101207083413,,,,,,0,0,1,,single_profit_class,1,10755.101207083413,10735.101207083413,100.0,0,,,,,no_complete_pairs,equal-weight monthly mean of per-trade net excess,1999,,,10755.101207083413,10735.101207083413,
T00,1440,EMA20/60趋势交叉,101.40534730025914,11.272219641289706,4,0.5,50.0,26.672594532260504,2200.7127441210546,2180.7127441210537,59158680.0,0.936671606627147,False,2.0140534730025914,709543,20.0,BID plus fixed round-trip cost; no swap,44,4,4,0,12,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,2200.7127441210546,2180.7127441210537,2200.7127441210546,2180.7127441210537,1897.9645436596281,1877.9645436596281,302.7482004614258,0,0,4,0.5,ok,1,-126.17698218398968,-146.17698218398897,0.0,3,237.86126167122097,0.25,-46.362476305750334,497.4090168320402,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.25,-126.17698218398968,-146.17698218398897,1.0
F00,1440,精确零轴12根,101.31603316703229,11.272219641289706,2,1.0,100.0,inf,4303.147233603764,4283.147233603764,54061080.0,0.8559602523179815,False,2.013160331670323,709543,20.0,BID plus fixed round-trip cost; no swap,22,2,1,1,3,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,4303.147233603764,4283.147233603764,5907.887490491287,5887.887490491289,3789.314823710958,3769.314823710958,2118.5726667803315,0,0,2,,single_profit_class,1,2698.4069767162405,2678.40697671624,100.0,1,2118.5726667803315,0.5,,,one_month_no_bootstrap_ci,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,2698.4069767162405,2678.40697671624,1.0
C01,1440,离零即入场,93.24370322349907,11.272219641289693,3,0.6666666666666666,66.66666666666666,19.34534782890373,2741.6384979139475,2721.638497913947,54665880.0,0.8655361757105943,False,1.9324370322349906,709543,20.0,BID plus fixed round-trip cost; no swap,33,3,2,1,6,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,2741.6384979139475,2721.638497913947,2763.2542585128017,2743.2542585128003,1847.1050941673616,1827.1050941673616,916.149164345439,0,0,3,1.0,ok,1,2698.4069767162405,2678.40697671624,100.0,2,916.149164345439,0.5,-286.2743380894498,2118.572666780328,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,2698.4069767162405,2678.40697671624,1.0
C02,1440,现有密集启动,93.24370322349907,11.272219641289693,3,0.6666666666666666,66.66666666666666,19.34534782890373,2741.6384979139475,2721.638497913947,54665880.0,0.8655361757105943,False,1.9324370322349906,709543,20.0,BID plus fixed round-trip cost; no swap,33,3,2,1,6,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,2741.6384979139475,2721.638497913947,2763.2542585128017,2743.2542585128003,1847.1050941673616,1827.1050941673616,916.149164345439,0,0,3,1.0,ok,1,2698.4069767162405,2678.40697671624,100.0,2,916.149164345439,0.5,-286.2743380894498,2118.572666780328,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,2698.4069767162405,2678.40697671624,1.0
C03,1440,现有密集共振,93.24370322349907,11.272219641289693,3,0.6666666666666666,66.66666666666666,19.34534782890373,2741.6384979139475,2721.638497913947,54665880.0,0.8655361757105943,False,1.9324370322349906,709543,20.0,BID plus fixed round-trip cost; no swap,33,3,2,1,6,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,2741.6384979139475,2721.638497913947,2763.2542585128017,2743.2542585128003,1847.1050941673616,1827.1050941673616,916.149164345439,0,0,3,1.0,ok,1,2698.4069767162405,2678.40697671624,100.0,2,916.149164345439,0.5,-286.2743380894498,2118.572666780328,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,2698.4069767162405,2678.40697671624,1.0
T03,1440,EMA120趋势＋SMA20影线回踩,78.78121609319531,12.668049656548664,11,0.36363636363636365,36.36363636363637,9.91710520474468,607.2983127556905,587.2983127556914,51274680.0,0.811842605259158,False,1.787812160931953,709543,20.0,BID plus fixed round-trip cost; no swap,121,11,11,0,33,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,607.2983127556905,587.2983127556914,607.2983127556905,587.2983127556914,232.4767134875574,212.4767134875574,374.82159926813404,0,0,11,0.17857142857142858,ok,2,-124.10383293373332,-144.10383293373178,0.0,8,351.9177273174473,0.0078125,131.59653387352424,600.9598037766915,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.0078125,-124.10383293373332,-144.10383293373178,1.0
W00,1440,蓄势内影线提前入场,63.432131456111264,11.272219641289693,1,1.0,100.0,inf,6369.556358756736,6349.556358756736,30992280.0,0.49070717434260525,False,1.6343213145611126,709543,20.0,BID plus fixed round-trip cost; no swap,11,1,1,0,3,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,6369.556358756736,6349.556358756736,6369.556358756736,6349.556358756736,5883.26291054496,5863.26291054496,486.2934482117768,0,0,1,,single_profit_class,1,6369.556358756736,6349.556358756736,100.0,1,486.2934482117768,0.5,,,one_month_no_bootstrap_ci,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.5,6369.556358756736,6349.556358756736,1.0
C02,720,现有密集启动,59.07839187111974,12.92541268886086,12,0.3333333333333333,33.33333333333333,4.203659778600033,459.09589317311674,439.09589317311674,48704280.0,0.7711449308405532,False,1.5907839187111974,709543,20.0,BID plus fixed round-trip cost; no swap,132,12,12,0,36,3,20260908,event_level_not_portfolio,XAUUSD / decision UTC month / causal volbin / actual direction; no bar-side reuse,459.09589317311674,439.09589317311674,459.09589317311674,439.09589317311674,215.54291990456807,195.54291990456807,243.5529732685487,0,0,12,0.6875,ok,2,902.015272103195,882.0152721031959,50.0,9,266.35547800023096,0.11328125,-42.413879024946375,624.7203865364023,ok,equal-weight monthly mean of per-trade net excess,1999,exact_monthly_sign_flip,0.11328125,902.015272103195,882.0152721031959,1.0
