timeframe,arm,period,direction,entries,closed,censored,win_rate,net_r,gross_r,mean_net_r,net_bp,mean_net_bp,pf,pf_nominal,event_drawdown_r,realized_10r,gross_bp,cost_r,winners_10r,winners_10r_positive_profit_share,realized_top10pct_net_r_concentration,max_underwater_days,random_pairs,control_unmatched,control_censored,closed_without_eligible_control,random_mean_r,paired_strategy_mean_r,random_net_r,random_net_bp,random_excess_r,random_excess_sum_r,random_unique_control_timestamps
15m,v9,full,both,2883,2882,1,0.3240804996530187,204.19318899963332,521.6987874734289,0.07085121061749942,27301.84591498263,9.473228978134154,1.1024497196914724,1.060255438877995,118.58547336056813,25,84941.84591498267,317.50559847379554,25,0.14981214194628523,0.6717675206909919,166.58333333333334,2878,4,4,4,-0.11057806361631559,0.07111846222307099,-318.24366708775625,-46935.55046624869,0.1816965258393866,522.9226013657546,2875
15m,v9,full,long,1397,1397,0,0.30851825340014316,-48.44728669738914,103.86028839613503,-0.03467951803678535,-17361.615829707454,-12.42778513221722,0.9505539056682359,0.9236232891876655,112.903591988008,10,10578.384170292555,152.30757509352418,10,0.1408011668778314,0.6859371832863088,228.02083333333334,1393,4,4,4,-0.17122415983335676,-0.0344303958499814,-238.51525464786596,-29342.559900901684,0.13679376398337537,190.5537132288419,1393
15m,v9,full,short,1486,1485,1,0.3387205387205387,252.64047569702245,417.8384990772938,0.17012826646264137,44663.46174469009,30.07640521527952,1.249322910118584,1.1978130761127457,93.614478261505,15,74363.4617446901,165.19802338027134,15,0.1564414859830819,0.6564211843110503,163.53125,1485,0,0,0,-0.05368916662618873,0.17012826646264137,-79.72841243989026,-17592.990565347,0.22381743308883012,332.36888813691274,1482
15m,v9,earlier,both,1686,1686,0,0.330367734282325,153.0765175126537,330.5783885666393,0.09079271501343636,10450.676801640566,6.198503441067952,1.1333681075779158,1.038572017872862,73.4957550487745,20,44170.676801640584,177.50187105398555,20,0.20805409788843687,0.6695564738954629,120.76041666666667,1683,0,0,3,-0.044886693854228936,0.08799690960875738,-75.5443057566673,-857.880060687356,0.13288360346298628,223.6431046282059,1682
15m,v9,earlier,long,836,836,0,0.3253588516746411,22.462358791257216,110.18931391347593,0.026868850228776574,-4813.808659426387,-5.758144329457401,1.039421251258084,0.9639769831815249,112.903591988008,8,11906.19134057362,87.7269551222187,8,0.18227850839234208,0.6682108052302655,228.02083333333334,834,0,0,2,-0.07305336328419144,0.02164957708992726,-60.92650497901566,-2766.6264111265004,0.09470294037411875,78.98225227201503,834
15m,v9,earlier,short,850,850,0,0.3352941176470588,130.61415872139648,220.3890746531633,0.15366371614281937,15264.485461066957,17.958218189490537,1.2259872975273192,1.1111697830693157,78.92496245670137,12,32264.485461066968,89.77491593176686,12,0.22959842597307897,0.669035163421081,126.0625,849,0,0,1,-0.0172176687604848,0.15317202777213113,-14.617800777651595,1908.7463504391444,0.17038969653261596,144.66085235619096,848
15m,v9,later,both,1196,1195,1,0.31548117154811717,51.765202736979596,191.61258640678955,0.0433181612861754,16934.131336008475,14.170821201680731,1.0612835631926427,1.0930040660324876,118.58547336056776,5,40834.13133600848,139.84738366980994,5,0.06529628976008042,0.6749757215689051,166.58333333333334,1191,4,4,4,-0.20454466826277012,0.04387149287602405,-243.61269990095923,-46191.21483704849,0.2484161611387942,295.8636479163039,1189
15m,v9,later,long,561,561,0,0.28342245989304815,-70.90964548864638,-6.329025517340892,-0.12639865505997572,-12547.807170281068,-22.366857701035773,0.8270482855555257,0.8660625808795045,107.02758204287676,2,-1327.807170281069,64.58061997130548,2,0.0683548767098746,0.7216827024224052,173.41666666666666,557,4,4,4,-0.3185845603487117,-0.1264342912213309,-177.4516001142324,-26530.913057784528,0.1921502691273808,107.02769990395112,557
15m,v9,later,short,635,634,1,0.3438485804416404,122.67484822562598,197.94161192413043,0.19349345145997787,29481.938506289538,46.501480293832074,1.2822145158302702,1.3335235656295983,57.52951007608239,3,42161.938506289545,75.26676369850446,3,0.0634355087334406,0.6372091379280856,61.125,634,0,0,0,-0.10435504698221887,0.19349345145997787,-66.16109978672677,-19660.301779263966,0.2978484984421968,188.83594801235276,632
15m,v9,cross_split,both,1,1,0,0.0,-0.6485312499999961,-0.4921874999999979,-0.6485312499999961,-82.96222266640001,-82.96222266640001,0.0,0.0,0.6485312499999961,0,-62.962222666399995,0.15634374999999823,0,,,598.0,1,0,0,0,0.592972972972959,-0.6485312499999961,0.592972972972959,65.232903865212,-1.2415042229729552,-1.2415042229729552,1
