primary_loss_reason,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
cost_flip,28,-11.180051236396697,-12.026716497030003,-313.0414346191075,0.0,False,0.0,28,0
early_reversal,25,-50.45080633941066,-41.52026822228148,-1261.2701584852664,0.0,False,0.0,25,0
giveback,14,-38.58993637271814,-30.59031662127674,-540.259109218054,0.0,False,0.0,14,0
hard_stop,11,-74.64389245241398,-71.36567468406072,-821.0828169765537,0.0,False,0.0,11,0
other_loss,111,-58.9471087674396,-48.42727336432205,-6543.129073185796,0.0,False,0.0,111,0
