fold,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023H1,55,-12.357960299017137,-34.05593907906844,-679.6878164459424,0.6955200109797229,False,0.2727272727272727,40,0
2023H2,66,-24.59003227868438,-28.277787796459602,-1622.942130393169,0.23366638966912484,False,0.18181818181818182,54,0
2024H1,55,-9.851332113658316,-38.21853650152416,-541.8232662512073,0.759368182197135,False,0.2909090909090909,39,0
2024H2,75,-8.757578526608377,-37.35990126072284,-656.8183894956284,0.771701967458253,False,0.25333333333333335,56,0
