direction,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
-1,121,-22.02669601162462,-33.85041551246413,-2665.230217406579,0.4256280011311266,False,0.19834710743801653,97,0
1,130,-6.431087578302837,-33.79591175681261,-836.0413851793688,0.8272117559297563,False,0.2923076923076923,92,0
