period,name,n,months,controls_per_trade,attempts,rejected_invalid,rejected_boundary,raw_signal_controls,signal_mean_net_r,random_mean_net_r,mean_excess_net_r,sum_excess_cash,one_sided_month_signflip_p
development,primary,751,17,9,6760,0,1,101,-0.6926484590752033,-0.7757911660585909,0.0831427069833875,62.44017294452402,0.1278
development,same_exit_fixed_1u,751,17,9,6760,0,1,101,-0.6926484590752033,-0.7757911660585909,0.0831427069833875,62.44017294452402,0.1278
development,original_v8_fixed_1u,744,17,9,6697,0,1,106,-0.759496737905429,-0.8198101461214023,0.0603134082159732,44.87317571268411,0.2376
validation,primary,526,12,9,4734,0,0,83,-0.4333539076741902,-0.5166602741604508,0.0833063664862606,43.81914877177307,0.1634
validation,same_exit_fixed_1u,526,12,9,4734,0,0,83,-0.4333539076741902,-0.5166602741604508,0.0833063664862606,43.81914877177307,0.1634
validation,original_v8_fixed_1u,525,12,9,4727,0,2,83,-0.4817296100926433,-0.4933400732584513,0.011610463165808,6.095493162049205,0.4655
preholdout,primary,189,4,9,1703,0,2,28,-0.6353475349360286,-0.6523545256348071,0.0170069906987784,3.2143212420691345,0.3711
preholdout,same_exit_fixed_1u,189,4,9,1703,0,2,28,-0.6353475349360286,-0.6523545256348071,0.0170069906987784,3.2143212420691345,0.3711
preholdout,original_v8_fixed_1u,185,4,9,1668,0,3,28,-0.4598820556243135,-0.6329614044924845,0.1730793488681709,32.01967954061163,0.2439
development,closest_streak,625,17,9,5627,0,2,110,-0.7037686323038741,-0.7884794977644898,0.08471086546061571,158.15711008711645,0.1173
development,best_escalation,821,17,9,7389,0,0,125,-0.6866899797868157,-0.7579609407317144,0.07127096094489872,97.92348466204312,0.0501
development,user_reference_factorial,710,17,9,6392,0,2,113,-0.6688017479484704,-0.780605439270077,0.11180369132160653,138.19736437296308,0.0248
development,user_reference_debt,578,17,9,5202,0,0,94,-0.6220160806054651,-0.7403254211359025,0.1183093405304374,125.22922001668108,0.0409
development,user_reference_double,528,17,9,4752,0,0,81,-0.6683281341010239,-0.7593573729776375,0.09102923887661364,157.0693168772989,0.0723
development,best_escalation_exit_fixed_1u,821,17,9,7389,0,0,125,-0.6866899797868157,-0.7579609407317144,0.07127096094489872,58.513458935761854,0.0501
validation,closest_streak,523,12,9,4707,0,0,62,-0.42308935747889076,-0.4522902594167355,0.029200901937844706,-97.8882920960979,0.3809
validation,best_escalation,584,12,9,5257,0,1,85,-0.46339007611760624,-0.5191694005908393,0.05577932447323305,57.2591564521191,0.122
validation,user_reference_factorial,529,12,9,4761,0,0,80,-0.4543589744419563,-0.5329315682682114,0.07857259382625519,160.55655136778984,0.1083
validation,user_reference_debt,479,12,9,4311,0,0,71,-0.47086738275361045,-0.5196906016031523,0.04882321884954173,264.39930826380663,0.1868
validation,user_reference_double,533,12,9,4797,0,0,79,-0.47774796488587357,-0.5381046202574734,0.060356655371599725,1013.8176498300893,0.1253
validation,best_escalation_exit_fixed_1u,584,12,9,5257,0,1,85,-0.46339007611760624,-0.5191694005908393,0.05577932447323305,32.5751254923681,0.122
preholdout,closest_streak,184,4,9,1658,0,2,20,-0.5612094627858475,-0.5133181739120676,-0.0478912888737797,-329.4103099124253,0.6226
preholdout,best_escalation,207,4,9,1863,0,0,32,-0.6302922888523655,-0.6543699443050095,0.024077655452643905,-6.856699268681525,0.4325
preholdout,user_reference_factorial,190,4,9,1710,0,0,24,-0.6531557783067038,-0.6169470164437916,-0.0362087618629121,30.696573582979237,0.811
preholdout,user_reference_debt,175,4,9,1575,0,0,26,-0.7149494248968161,-0.5862770699258251,-0.12867235497099117,156.43617427113068,0.9375
preholdout,user_reference_double,184,4,9,1656,0,0,37,-0.6787547337982135,-0.6734008433450182,-0.005353890453195303,-100.64300030443545,0.562
preholdout,best_escalation_exit_fixed_1u,207,4,9,1863,0,0,32,-0.6302922888523655,-0.6543699443050095,0.024077655452643905,4.984074678697288,0.4325
continuous_pre,primary,1466,33,9,13194,0,0,210,-0.5922263521862287,-0.6736568351019894,0.0814304829157607,119.37708795450519,0.0413
continuous_pre,closest_streak,692,29,9,6228,0,0,117,-0.6459727275724437,-0.7457949689691956,0.0998222413967518,173.330904236155,0.0742
continuous_pre,best_escalation,1335,33,9,12015,0,0,189,-0.5658537958793798,-0.6537479493509308,0.08789415347155102,171.6591388621065,0.0008
continuous_pre,same_exit_fixed_1u,1466,33,9,13194,0,0,210,-0.5922263521862287,-0.6736568351019894,0.0814304829157607,119.37708795450519,0.0413
continuous_pre,original_v8_fixed_1u,1455,33,9,13098,0,3,200,-0.6224028099622443,-0.66638563549459,0.043982825532345664,63.99501114956294,0.2314
continuous_pre,user_reference_factorial,796,24,9,7164,0,0,125,-0.6461373652644725,-0.7598896910302374,0.11375232576576479,157.59596921916506,0.0186
continuous_pre,user_reference_debt,656,27,9,5904,0,0,105,-0.575855773415276,-0.695123970264974,0.11926819684969794,132.7857089546283,0.0253
continuous_pre,user_reference_double,581,24,9,5229,0,0,87,-0.6293866934994672,-0.7199623577449406,0.09057566424547328,159.98919295841705,0.0659
continuous_pre,best_escalation_exit_fixed_1u,1605,33,9,14445,0,0,232,-0.5901655680604353,-0.6461587023317474,0.055993134271312146,89.868980505456,0.0166
