period,name,mean_net_r,median_cost_r,median_initial_stop_pct,price_be_exits,price_be_net_losses,net_3r,gross_3r,tp_exits,losing_cycles
development,primary,-0.6926484590752033,0.5769125748502967,0.34667297736038244,0,0,0,154,154,75
development,closest_streak,-0.7037686323038741,0.5429638989169636,0.3683486147033573,0,0,16,25,0,181
development,best_escalation,-0.6866899797868157,0.5826525423728677,0.343257748752787,348,348,0,0,156,377
development,same_exit_fixed_1u,-0.6926484590752033,0.5769125748502967,0.34667297736038244,0,0,0,154,154,75
development,original_v8_fixed_1u,-0.759496737905429,0.5808428917806131,0.34432816452030734,0,0,32,42,0,84
development,user_reference_factorial,-0.6688017479484704,0.5702002700177117,0.3507553533716915,210,210,0,110,110,311
development,user_reference_debt,-0.6220160806054651,0.5223619875341419,0.3828779804349874,174,174,0,89,89,189
development,user_reference_double,-0.6683281341010239,0.5260827416202409,0.38016836940508586,158,158,0,76,76,159
development,best_escalation_exit_fixed_1u,-0.6866899797868157,0.5826525423728677,0.343257748752787,348,348,0,0,156,102
validation,primary,-0.43335390767419024,0.4112484906506023,0.4863240851417665,0,0,0,104,104,52
validation,closest_streak,-0.42308935747889076,0.4063437727603567,0.49219408148267707,0,0,21,25,0,106
validation,best_escalation,-0.46339007611760624,0.41040824500108763,0.4873208407847511,267,267,0,0,102,280
validation,same_exit_fixed_1u,-0.43335390767419024,0.4112484906506023,0.4863240851417665,0,0,0,104,104,52
validation,original_v8_fixed_1u,-0.48172961009264337,0.4114456790123435,0.48609089899810715,0,0,24,29,0,55
validation,user_reference_factorial,-0.4543589744419563,0.40649487179488464,0.4920111270208698,130,130,0,77,77,177
validation,user_reference_debt,-0.47086738275361045,0.3980299212598335,0.5024747872395251,115,115,0,66,66,83
validation,user_reference_double,-0.47774796488587357,0.40522245762711506,0.49355606096254173,131,131,0,74,74,56
validation,best_escalation_exit_fixed_1u,-0.46339007611760624,0.41040824500108763,0.4873208407847511,267,267,0,0,102,68
preholdout,primary,-0.6353475349360286,0.47867357512955255,0.41782126775199563,0,0,0,38,38,19
preholdout,closest_streak,-0.5612094627858475,0.4671067836812145,0.42817261073455953,0,0,8,9,0,37
preholdout,best_escalation,-0.6302922888523655,0.4923325183374182,0.40622951470967184,105,105,0,0,34,109
preholdout,same_exit_fixed_1u,-0.6353475349360286,0.47867357512955255,0.41782126775199563,0,0,0,38,38,19
preholdout,original_v8_fixed_1u,-0.4598820556243135,0.4956622734761189,0.40350055007694,0,0,13,15,0,20
preholdout,user_reference_factorial,-0.6531557783067038,0.4647504225080417,0.4303396565266922,53,53,0,26,26,64
preholdout,user_reference_debt,-0.7149494248968161,0.4637442557442406,0.43127218832937897,49,49,0,21,21,32
preholdout,user_reference_double,-0.6787547337982135,0.4623897637520106,0.4325355272910779,52,52,0,24,24,24
preholdout,best_escalation_exit_fixed_1u,-0.6302922888523655,0.4923325183374182,0.40622951470967184,105,105,0,0,34,25
continuous_pre,primary,-0.5922263521862287,0.49126286698181254,0.40711418527551196,0,0,0,296,296,147
continuous_pre,closest_streak,-0.6459727275724437,0.4941923802795215,0.40470104510961713,0,0,19,28,0,213
continuous_pre,best_escalation,-0.5658537958793798,0.4778216027874595,0.4185662574342882,588,588,0,0,249,656
continuous_pre,same_exit_fixed_1u,-0.5922263521862287,0.49126286698181254,0.40711418527551196,0,0,0,296,296,147
continuous_pre,original_v8_fixed_1u,-0.6224028099622443,0.4927820804859666,0.4058589139498861,0,0,69,86,0,161
continuous_pre,user_reference_factorial,-0.6461373652644725,0.5241005878576456,0.38160668483110266,223,223,0,120,120,365
continuous_pre,user_reference_debt,-0.575855773415276,0.46667311287923996,0.42856551131019005,190,190,0,98,98,234
continuous_pre,user_reference_double,-0.6293866934994672,0.4751309613928664,0.42093657591517836,167,167,0,82,82,190
continuous_pre,best_escalation_exit_fixed_1u,-0.5901655680604353,0.49254022988507873,0.40605820167557566,717,717,0,0,292,198
