symbol,tf,signal_time,conf,status,outcome,entry,tp,sl,held_bars,gross,net_taker,png,in_distribution
BTC_USDT_SWAP,15m,2026-07-27 13:15:00+00:00,0.374,closed,SL,64913.4,64263.554688558055,65173.33812457678,0,-0.004,-0.005,BTC_USDT_SWAP_15m_0727_1315.png,True
BTC_USDT_SWAP,15m,2026-07-27 18:30:00+00:00,0.321,closed,TP,64807.4,63860.50753974989,65186.156984100046,16,0.01461,0.01361,BTC_USDT_SWAP_15m_0727_1830.png,True
BTC_USDT_SWAP,15m,2026-07-27 21:15:00+00:00,0.358,closed,TP,64803.3,64103.93892238378,65083.044431046495,5,0.01079,0.00979,BTC_USDT_SWAP_15m_0727_2115.png,True
BTC_USDT_SWAP,3m,2026-07-27 11:21:00+00:00,0.33,closed,TP,65182.6,65002.20650061403,65254.75739975438,19,0.00277,0.00177,BTC_USDT_SWAP_3m_0727_1121.png,False
BTC_USDT_SWAP,3m,2026-07-27 14:18:00+00:00,0.355,closed,TIMEOUT,64981.6,64224.599748170884,65284.40010073164,71,-0.00023,-0.00123,BTC_USDT_SWAP_3m_0727_1418.png,False
BTC_USDT_SWAP,3m,2026-07-27 18:45:00+00:00,0.311,closed,SL,64749.1,64444.43481166234,64870.96607533506,6,-0.00188,-0.00288,BTC_USDT_SWAP_3m_0727_1845.png,False
BTC_USDT_SWAP,3m,2026-07-27 21:27:00+00:00,0.341,closed,TP,64803.3,64627.56305957997,64873.594776168015,18,0.00271,0.00171,BTC_USDT_SWAP_3m_0727_2127.png,False
BTC_USDT_SWAP,3m,2026-07-27 22:00:00+00:00,0.321,closed,SL,64634.4,64409.92903606536,64724.188385573856,4,-0.00139,-0.00239,BTC_USDT_SWAP_3m_0727_2200.png,False
BTC_USDT_SWAP,5m,2026-07-27 11:20:00+00:00,0.35,closed,TP,65151.9,64888.898700856524,65257.10051965739,13,0.00404,0.00304,BTC_USDT_SWAP_5m_0727_1120.png,False
BTC_USDT_SWAP,5m,2026-07-27 14:20:00+00:00,0.343,closed,TIMEOUT,65011.7,64139.216466979065,65360.69341320837,71,0.001,0.0,BTC_USDT_SWAP_5m_0727_1420.png,False
BTC_USDT_SWAP,5m,2026-07-27 18:15:00+00:00,0.337,closed,SL,64828.4,64407.0810701137,64996.92757195452,10,-0.0026,-0.0036,BTC_USDT_SWAP_5m_0727_1815.png,False
BTC_USDT_SWAP,5m,2026-07-27 21:25:00+00:00,0.368,closed,TP,64803.3,64549.94610556077,64904.6415577757,11,0.00391,0.00291,BTC_USDT_SWAP_5m_0727_2125.png,False
ETH_USDT_SWAP,15m,2026-07-27 14:30:00+00:00,0.321,closed,SL,1920.2,1864.8720191753696,1942.3311923298522,7,-0.01153,-0.01253,ETH_USDT_SWAP_15m_0727_1430.png,True
ETH_USDT_SWAP,15m,2026-07-27 18:30:00+00:00,0.344,closed,SL,1934.49,1890.8594502905771,1951.9422198837692,3,-0.00902,-0.01002,ETH_USDT_SWAP_15m_0727_1830.png,True
ETH_USDT_SWAP,15m,2026-07-27 22:00:00+00:00,0.371,closed,TP,1937.48,1904.720988750668,1950.583604499733,2,0.01691,0.01591,ETH_USDT_SWAP_15m_0727_2200.png,True
ETH_USDT_SWAP,3m,2026-07-27 09:00:00+00:00,0.307,closed,SL,1959.01,1945.2881745164866,1964.4987301934052,11,-0.0028,-0.0038,ETH_USDT_SWAP_3m_0727_0900.png,False
ETH_USDT_SWAP,3m,2026-07-27 11:24:00+00:00,0.327,closed,TP,1960.7,1950.9886249449987,1964.5845500220005,17,0.00495,0.00395,ETH_USDT_SWAP_3m_0727_1124.png,False
ETH_USDT_SWAP,3m,2026-07-27 13:24:00+00:00,0.335,closed,SL,1951.49,1937.1605025192628,1957.221798992295,2,-0.00294,-0.00394,ETH_USDT_SWAP_3m_0727_1324.png,False
ETH_USDT_SWAP,3m,2026-07-27 14:18:00+00:00,0.384,closed,TIMEOUT,1947.65,1916.1700394590557,1960.241984216378,71,0.00224,0.00124,ETH_USDT_SWAP_3m_0727_1418.png,False
ETH_USDT_SWAP,3m,2026-07-27 18:30:00+00:00,0.325,closed,SL,1935.87,1922.6582802561709,1941.1546878975314,11,-0.00273,-0.00373,ETH_USDT_SWAP_3m_0727_1830.png,False
ETH_USDT_SWAP,3m,2026-07-27 22:00:00+00:00,0.314,closed,TP,1934.44,1922.5355697466073,1939.2017721013572,12,0.00615,0.00515,ETH_USDT_SWAP_3m_0727_2200.png,False
ETH_USDT_SWAP,5m,2026-07-27 12:10:00+00:00,0.349,closed,SL,1954.28,1938.7014105763217,1960.5114357694713,16,-0.00319,-0.00419,ETH_USDT_SWAP_5m_0727_1210.png,False
ETH_USDT_SWAP,5m,2026-07-27 13:25:00+00:00,0.301,closed,SL,1951.11,1933.8830217844875,1958.000791286205,1,-0.00353,-0.00453,ETH_USDT_SWAP_5m_0727_1325.png,False
ETH_USDT_SWAP,5m,2026-07-27 14:15:00+00:00,0.344,closed,TP,1955.67,1923.2620505939783,1968.6331797624089,3,0.01657,0.01557,ETH_USDT_SWAP_5m_0727_1415.png,False
ETH_USDT_SWAP,5m,2026-07-27 18:15:00+00:00,0.335,closed,SL,1936.33,1917.2082558650336,1943.9786976539865,9,-0.00395,-0.00495,ETH_USDT_SWAP_5m_0727_1815.png,False
ETH_USDT_SWAP,5m,2026-07-27 21:35:00+00:00,0.337,closed,TP,1941.41,1928.4933033053942,1946.5766786778424,9,0.00665,0.00565,ETH_USDT_SWAP_5m_0727_2135.png,False
