fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,banked_events,banked_to_nonpositive_events,banked_to_nonpositive_share,runner_armed_events,runner_armed_to_nonpositive_events,runner_armed_to_nonpositive_share,actual_mfe_2atr_events,actual_mfe_2atr_to_nonpositive_share,median_giveback_atr,p95_net_bp,mean_banked_gross_bp,profit_floor_gap_breaches,policy
2025H1,54,-3.3964210900851155,-23.396421090085127,-100.72065600454658,0.25925925925925924,0.7224254230662837,-0.14544995796152949,-0.2063775995896766,19.5,98.38866330699096,1413.6535714629624,0.3307732237861991,20,6,0.3,20,6,0.3,24,0.4166666666666667,3.1131043238636926,285.80587726361364,11.688023149220355,0,positive_strength_v13
2025H2,47,51.68950386221109,31.68950386221108,-75.43877181291901,0.2765957446808511,1.4612211639330352,0.1970336027733297,-0.07379073919844159,28.0,423.13417987711045,746.1711758609644,0.4742060786347279,20,7,0.35,20,7,0.35,24,0.4583333333333333,3.413654765296808,473.74630371297735,16.66230497046002,0,positive_strength_v13
2026P1,13,4.593466169637743,-15.406533830362253,-103.69100593279776,0.38461538461538464,0.8179182070333809,-0.043359675689012,-0.0554900218212423,35.0,116.43431040669104,697.4332592311214,0.2650704608248432,6,1,0.16666666666666666,5,0,0.0,8,0.375,3.71082532228572,355.8221686972375,17.28082361168275,0,positive_strength_v13
