period,timeframe,arm,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
full,all,v8,323,321,2,0.22741433021806853,0.06565683965017992,21.075845527707756,1.0842788989032044,0.9827727555495495,8,111.75977775103635,-3.1764366184533337,323,321,2,0.06565683965017992,0.043368007429940604,0.02228883222023941,0.22741433021806853,-4.786698832363208e-05,25,-0.22899932255276037,0.26168561730363465,0.43728135932033985
full,all,v9,285,283,2,0.24381625441696114,0.1853790150499565,52.46226125913769,1.2483647798191317,1.0641022628801975,8,88.66963406501519,28.2099791129766,285,283,2,0.18537901504995646,0.08956620012802816,0.09581281492192828,0.24028268551236748,0.0007416573710386174,25,-0.1933447705698899,0.3920339857744947,0.2593703148425787
full,30,v8,191,189,2,0.2328042328042328,-0.11525244247967066,-21.782711628657754,0.8502652382363937,0.8747779040151054,2,59.332971754189074,-46.034993774818844,191,189,2,-0.11525244247967069,-0.0052761992549928355,-0.10997624322467786,0.2222222222222222,0.0005486788936841519,25,-0.39629966070420175,0.17869379167694951,0.7646176911544228
full,30,v9,164,162,2,0.24691358024691357,-0.009847426185429917,-1.5952830420396467,0.9864614177927836,0.9668735415395187,2,42.25322607279708,-25.847565188200736,164,162,2,-0.009847426185429902,-0.012997640012211783,0.0031502138267818884,0.22839506172839505,0.002232880457352096,25,-0.31308936138451354,0.34099735189619157,0.504247876061969
full,60,v8,91,91,0,0.13186813186813187,-0.06708183467491795,-6.104446955417533,0.9248633257198442,0.6544174353305482,3,52.111538044562344,-24.269342043826153,91,91,0,-0.06708183467491795,-0.6345788393098885,0.5674970046349705,0.18681318681318682,0.004730043121732676,18,-0.2225702220115986,1.6718955988103423,0.15592203898050974
full,60,v9,82,82,0,0.14634146341463414,0.03587264811783957,2.941557145662845,1.0407425967681487,0.7048746481969136,3,46.058520887844054,-15.223337942745776,82,82,0,0.03587264811783946,-0.5774329660430261,0.6133056141608657,0.2073170731707317,0.004935824632900846,18,-0.2646764968066626,1.8142866842741197,0.1664167916041979
full,240,v8,41,41,0,0.4146341463414634,1.1942196124825133,48.96300411178304,3.0966707718044457,1.7085703422603182,3,7.650242562538969,33.29787046504024,41,41,0,1.1942196124825133,1.7723172297903511,-0.5780976173078379,0.34146341463414637,-0.013402427761850333,10,-1.191560493911281,0.0589221320992725,0.9115442278860569
full,240,v9,39,39,0,0.4358974358974359,1.3106663373208842,51.11598715551449,3.41115929026306,1.7853979693108544,3,7.65024256253897,35.45085350877169,39,39,0,1.3106663373208844,1.9180091162497035,-0.6073427789288192,0.358974358974359,-0.014271159435512298,10,-1.2425081082557263,0.06822511561373973,0.9115442278860569
earlier,all,v8,164,164,0,0.18292682926829268,-0.460195254574347,-75.47202175019291,0.4266153061561754,0.5507785275474163,0,75.4720217501929,-80.43533566536246,164,161,3,-0.45821124043760825,-0.24789429699077467,-0.2103169434468335,0.19254658385093168,-0.003683011346985079,13,-0.44324829272493604,0.060882584592707074,0.9395302348825587
earlier,all,v9,148,148,0,0.1891891891891892,-0.423485541646769,-62.67586016372181,0.4624263303236334,0.5889790095491914,0,62.675860163721815,-67.63917407889136,148,145,3,-0.4205230905102332,-0.2579379220512596,-0.16258516845897347,0.2,-0.0032922748604123984,13,-0.4246646292539441,0.11437662453434058,0.8810594702648675
earlier,30,v8,93,93,0,0.1827956989247312,-0.3533685488819245,-32.86327504601898,0.5303201037351772,0.5260892564578761,0,32.863275046018956,-37.82658896118853,93,91,2,-0.35502120398911213,-0.11288122608098775,-0.24213997790812444,0.23076923076923078,-0.0033765433041662474,13,-0.6470543953013832,0.3140714439499649,0.8205897051474262
earlier,30,v9,84,84,0,0.17857142857142858,-0.33020014316782004,-27.736812026096885,0.5569484602809406,0.551701951587883,0,27.736812026096874,-32.700125941266435,84,82,2,-0.3314691041839892,-0.18712999623844256,-0.14433910794554672,0.23170731707317074,-0.0019708531217303214,13,-0.5538891344357461,0.40753257819536415,0.711144427786107
earlier,60,v8,51,51,0,0.09803921568627451,-0.843697271659451,-43.028560854632,0.12573315628331513,0.1824467181922529,0,43.028560854632,-44.49133908346977,51,50,1,-0.8376978859580754,-0.7549645311928304,-0.08273335476524497,0.12,-0.0033089262771663717,10,-0.46958778039487087,0.27267614134600177,0.671664167916042
earlier,60,v9,46,46,0,0.10869565217391304,-0.815474898517705,-37.511845331814435,0.14160578151124026,0.1981356766782811,0,37.51184533181444,-38.974623560652205,46,45,1,-0.8081817505574711,-0.7178472096824684,-0.09033454087500267,0.13333333333333333,-0.004187581037814317,10,-0.5059508471353917,0.305775508610687,0.6691654172913544
earlier,240,v8,20,20,0,0.4,0.02099070752290279,0.4198141504580558,1.0337492793694338,1.2049123496865688,0,6.915334058166499,-2.3626337134820155,20,20,0,0.020990707522902753,0.405471815874834,-0.3844811083519312,0.2,-0.006012653616357536,5,-1.151719702503327,0.4702815347183894,0.670664667666167
earlier,240,v9,18,18,0,0.4444444444444444,0.14293317745497253,2.5727971941895054,1.250120754438734,1.2928549713729645,0,4.762351014435049,-0.209650669750566,18,18,0,0.14293317745497253,0.5692658572128177,-0.4263326797578453,0.2222222222222222,-0.007073819559792612,5,-1.2470449305703788,0.5758635078552546,0.670664667666167
later,all,v8,158,156,2,0.27564102564102566,0.6259163624067278,97.64295253544952,1.8320512844775811,1.6964264541845433,8,41.21972401852593,73.39067038928843,158,156,2,0.6259163624067275,0.35370699245090564,0.27220936995582207,0.2564102564102564,0.003968172947609299,12,-0.11821393375979593,0.6179931616488822,0.11144427786106946
later,all,v9,136,134,2,0.30597014925373134,0.867411990152301,116.23320668040833,2.2425335992469515,1.8704131961603472,8,39.36050511936736,91.98092453424724,136,134,2,0.8674119901523011,0.47831650713044965,0.3890954830218512,0.27611940298507465,0.00543809214162735,12,-0.0928148026816217,0.8749403936012913,0.08195902048975512
later,30,v8,98,96,2,0.28125,0.11542253559751266,11.080563417361216,1.1467511579051783,1.3399793958424682,2,31.589848599371393,-13.171718728799874,98,96,2,0.11542253559751266,0.11973341903295909,-0.004310883435446611,0.21875,0.004173141556094258,12,-0.4013674911526371,0.37815544738445805,0.5167416291854073
later,30,v9,80,78,2,0.32051282051282054,0.33514780748791334,26.14152898405724,1.4733355308949863,1.582537655575251,2,25.528009005088514,1.889246837896149,80,78,2,0.3351478074879133,0.19818538875079258,0.1369624187371208,0.23076923076923078,0.0065768259983659165,12,-0.3263345421439824,0.6400086021435376,0.2993503248375812
later,60,v8,39,39,0,0.1794871794871795,0.9748512604298287,38.01919915676332,2.229092099131152,1.6300457992069435,3,14.983498990327316,19.8543040683547,39,39,0,0.9748512604298287,-0.5351714745828339,1.5100227350126627,0.23076923076923078,0.016606662983351665,8,-0.12232341992743337,3.824207849574054,0.12093953023488256
