phase,policy,events,symbols,mean_net_bp,median_net_bp,profit_factor,win_rate,mean_net_r,robust_score_r,positive_folds,total_folds,minimum_fold_events,positive_symbol_share,runner_armed_share,p95_raw_net_r,top_score_decile_events,top_score_decile_mean_net_bp,week_cluster_signflip_p
development_seen_52,baseline,71,37,-267.9622908627759,-864.4203116727556,0.6690172797681904,0.23943661971830985,-0.21059450500937973,-0.7183143400048604,3,8,5,0.32432432432432434,0.2535211267605634,2.167566172069545,8,81.91126843984792,0.9329006709932901
development_seen_52,candidate,39,26,-239.0625060039952,-841.1444701052085,0.6887485009973985,0.3076923076923077,-0.14801123136056543,-0.5036458729882627,2,8,3,0.38461538461538464,0.3076923076923077,2.0935864899494874,4,207.41236974774216,0.8506614933850661
confirmation_a_disjoint,baseline,22,20,-140.1577317021068,-813.1272377270699,0.8412574318968046,0.36363636363636365,-0.12144990157396206,-0.15742655781366766,2,4,2,0.4,0.2727272727272727,1.4920830204649185,3,-733.4910345107835,0.4853829722306988
confirmation_a_disjoint,candidate,17,17,277.27282625071575,-729.4386181369528,1.4053963035434163,0.47058823529411764,0.07119018151442974,-0.20447106679473095,3,4,1,0.47058823529411764,0.35294117647058826,1.5300935141912242,2,605.7965951391906,0.2776964372864812
