direction,k1_body_atr,k1_range_atr,k1_close_location,k1_signed_slow_side_atr,k1_range_release,k1_volume_release,vote_k1_range_release,vote_k1_volume_release,vote_k1_slow_break,symbol,segment_id,episode_id,neutral_end_i,neutral_to_k1_bars,k1_i,k1_time,k2_touch_depth_atr,k2_body_side_atr,k2_close_side_atr,k2_wick_share,k2_body_ratio,k2_signed_spread_atr,k2_signed_fast_slope3_atr,vote_k2_trend_acceptance,attempt_status,setup_id,k2_i,signal_i,k1_k2_gap,signal_time,signal_atr,k2_low,k2_high,transition_votes,accepted_by_votes,signal_score,ma_profile,entry_i,entry_time,entry_price,available_phase_bars,context_available,context_breadth_constituents,context_cross_section_count,context_breadth_level,context_breadth_change5,context_breadth_score,context_major_alignment,context_major_momentum_atr,context_major_score,context_relative_return_rank,context_relative_efficiency_rank,context_relative_score,context_mean,context_floor,source_cohort,resolved,policy,bank_schedule,outcome,exit_i,exit_time,exit_price,hold_bars,structure_level,hard_stop,risk_distance,risk_atr,risk_fraction,gross_return,net_return,gross_return_r,net_return_r,capped_net_return_r,bank_hits,banked_fraction,banked_gross_return,remaining_fraction,runner_armed,runner_arm_i,trail_reference,runner_buffer_atr,final_runner_level,final_intraday_stop,mfe_at_exit_r,mae_at_exit_r,horizon_mfe_r,horizon_mae_r,captured_gross_r,gave_back_r,net_bp
1,0.9945636979626068,1.2534790408206409,0.981420765027322,0.1343732755106655,1.414219474497684,1.0504694067718217,True,False,True,CELO,1,4,304,1,305,2022-07-27 00:00:00+00:00,0.191829741482536,0.0139420858794911,0.8034065477194265,0.1663043478260868,0.6380434782608695,0.1062892615382101,-0.0689755100120386,False,k2_accepted,214b782672caffcd,306,306,1,2022-07-28 00:00:00+00:00,0.0743542019145397,0.907,0.999,2,True,0.6766404121778056,ema13_sma34,307,2022-07-29 00:00:00+00:00,0.981,89,True,19,19,0.5789473684210527,-0.3157894736842105,0.4342105263157895,1.0,3.610883814767466,0.98540814305378,0.1578947368421052,0.1578947368421052,0.1578947368421052,0.5258378020337638,0.1578947368421052,legacy_and_current,True,two_close_all_hard_2_0,v1_tail80,structure_2close_next_open,330,2022-08-21 00:00:00+00:00,0.9,23,0.8995645798085461,0.8322915961709205,0.1487084038290794,2.0,0.1515885869817323,-0.0825688073394494,-0.0845688073394494,-0.5446901312524254,-0.557883736653873,-0.557883736653873,0,0.0,0.0,1.0,False,,slow,1.25,,0.8322915961709205,1.3785367519351517,0.9078168854207104,1.3785367519351517,2.138413107879894,-0.5446901312524254,1.923226883187577,-845.6880733944939
-1,1.6872458781799111,1.998494429496139,0.8442584844258485,1.3609267758495562,3.7969991173874695,6.799578742843312,True,True,True,JELLYJELLY,1,1,217,8,225,2026-01-15 00:00:00+00:00,0.1642837101151752,-0.0324600861604762,0.375916595041842,0.2237871674491396,0.6932707355242558,0.5355426329476924,0.0181602574155945,True,k2_accepted,f52e97322ecffd05,227,227,2,2026-01-17 00:00:00+00:00,0.0108478280076067,0.06342,0.06981,4,True,2.0620689859031853,ema13_sma34,228,2026-01-18 00:00:00+00:00,0.06396,103,True,71,71,0.0985915492957746,-0.056338028169014,0.1285211267605633,0.0,-3.3977492197772667,0.0225844042583524,0.943661971830986,0.8873239436619718,0.9154929577464788,0.3555328296444608,0.0225844042583524,current_only,True,two_close_all_hard_2_0,v1_tail80,hard_disaster_stop,258,2026-02-18 00:00:00+00:00,0.0856556560152134,31,0.0708947828007606,0.0856556560152134,0.0216956560152134,2.0,0.3392066293810732,-0.3392066293810731,-0.3412066293810731,-1.0,-1.0058961111805191,-1.0058961111805191,0,0.0,0.0,1.0,False,,slow,1.25,,0.0856556560152134,0.7817233084866068,1.2274346524173547,1.236653087658942,2.357153891273883,-1.0,1.7817233084866066,-3412.066293810731
-1,1.3708897919730951,1.5550391670142587,0.986842105263157,1.6090502990728983,1.7471264367816124,1.793645141568854,True,True,True,LPT,1,8,360,10,370,2022-09-06 00:00:00+00:00,0.4499058474984018,0.0993075415112766,0.373914236016113,0.5400000000000009,0.2699999999999978,0.6528695100490911,0.0415307825969332,True,k2_accepted,921ad9cb78cc50f5,372,372,2,2022-09-08 00:00:00+00:00,0.9832243911127316,9.73,10.73,4,True,1.0734210826380974,ema13_sma34,373,2022-09-09 00:00:00+00:00,9.91,47,True,19,19,0.8421052631578947,-0.0526315789473684,0.6907894736842104,0.5,0.7137659920447941,0.5267662247016798,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.5111150573371677,0.3157894736842105,legacy_and_current,True,two_close_all_hard_2_0,v1_tail80,structure_2close_next_open,376,2022-09-12 00:00:00+00:00,11.24,3,10.828322439111274,11.876448782225465,1.9664487822254637,2.0,0.1984307550177056,-0.1342078708375378,-0.1362078708375378,-0.6763461179471028,-0.6864252006972619,-0.6864252006972619,0,0.0,0.0,1.0,False,,slow,1.25,,11.876448782225465,0.0050853091574969,0.7882229194120375,1.0374030681293909,0.8289053926720127,-0.6763461179471028,0.6814314271045997,-1362.078708375378
1,0.3129339239593358,0.707502784603712,0.8942307692307702,0.7968410180102626,0.8559670781892993,0.6664000281163761,False,False,True,PEOPLE,5,1,669,6,675,2025-09-16 00:00:00+00:00,0.1428660665132953,0.2084943499312481,0.6949933880852306,0.322981366459627,0.4472049689440983,0.5797811544959488,0.0400333432407,True,k2_accepted,d2d15015b0375bb6,676,676,1,2025-09-17 00:00:00+00:00,0.0014799618160233,0.02025,0.02186,2,True,0.5558095177770036,ema13_sma34,677,2025-09-18 00:00:00+00:00,0.0215,225,True,62,62,0.3064516129032258,-0.0483870967741935,0.2943548387096774,1.0,1.0266006510045378,0.88849752441267,0.7903225806451613,0.7741935483870968,0.782258064516129,0.6550368092255475,0.2943548387096774,legacy_and_current,True,two_close_all_hard_2_0,v1_tail80,hard_disaster_stop,681,2025-09-23 00:00:00+00:00,0.0185400763679532,5,0.0201020038183976,0.0185400763679532,0.0029599236320467,2.0,0.1376708666068266,-0.1376708666068266,-0.1396708666068266,-0.9999999999999998,-1.0145274018337649,-1.0145274018337649,0,0.0,0.0,1.0,False,,slow,1.25,,0.0185400763679532,0.0709477763974565,1.5777434084577096,0.0709477763974565,4.986615141078331,-0.9999999999999998,1.0709477763974564,-1396.708666068266
1,1.435261247063185,1.9136816627509128,0.8759398496240601,0.0071413927596014,2.4045197740113005,4.086718574349363,True,True,True,QTUM,5,3,960,4,964,2026-03-31 00:00:00+00:00,0.07654099142769,0.4172800385596443,1.1367993399844885,0.2847358121330723,0.4148727984344419,-0.4022068678444441,-0.0011869431028047,False,k2_accepted,c580b51b28bc88fa,965,965,1,2026-04-01 00:00:00+00:00,0.0589282315513099,0.8601,0.9623,3,True,1.3893767399278123,ema13_sma34,966,2026-04-02 00:00:00+00:00,0.9322,29,True,71,71,0.1126760563380281,0.0,0.2095070422535211,0.0,-0.1205782123250935,0.1454783170378089,0.8591549295774648,0.8450704225352113,0.852112676056338,0.4023660118275307,0.1454783170378089,legacy_and_current,True,two_close_all_hard_2_0,v1_tail80,phase_end_timeout,994,2026-05-01 00:00:00+00:00,0.8613,29,0.854207176844869,0.8143435368973801,0.1178564631026199,2.0,0.1264283019766358,-0.0760566402059644,-0.0780566402059644,-0.6015792272526123,-0.617398470007052,-0.617398470007052,0,0.0,0.0,1.0,False,,slow,1.25,,0.8143435368973801,0.6066701657060893,0.6236399605510149,0.6066701657060893,0.6236399605510149,-0.6015792272526123,1.2082493929587017,-780.5664020596439
