phase,feature,events,positive_trade_auc,runner_armed_auc,spearman_net_r
development_seen_52,context_breadth_change5,71,0.5408496732026143,0.5550314465408805,0.14567959735581315
development_seen_52,context_breadth_level,71,0.3877995642701525,0.4224318658280922,-0.09383569387997724
development_seen_52,context_major_score,71,0.5185185185185185,0.5628930817610063,-0.01596699325255336
development_seen_52,context_relative_score,71,0.39324618736383443,0.38155136268343814,-0.1620583846368762
development_seen_52,context_mean,71,0.4084967320261438,0.44339622641509435,-0.13982343916855539
development_seen_52,signal_score,71,0.5446623093681917,0.5660377358490566,0.1038900067069081
confirmation_a_disjoint,context_breadth_change5,22,0.6696428571428571,0.6354166666666666,0.21996063821213838
confirmation_a_disjoint,context_breadth_level,22,0.39732142857142855,0.5104166666666666,-0.11977403041495738
confirmation_a_disjoint,context_major_score,22,0.25,0.359375,-0.4079096696207511
confirmation_a_disjoint,context_relative_score,22,0.5669642857142857,0.5260416666666666,-0.016944366673989356
confirmation_a_disjoint,context_mean,22,0.35714285714285715,0.4375,-0.4025974025974026
confirmation_a_disjoint,signal_score,22,0.5357142857142857,0.4270833333333333,0.02766798418972332
