removed_top_winners,removed_return_sum,share_of_total_net_return,remaining_events,remaining_mean_net_bp
1,0.5368882043744087,1.1390102487825753,16,-40.95274984261984
2,0.8070558936677004,1.7121719693935369,15,-223.79472602765554
3,1.0505616864698963,2.228770381092313,14,-413.71277274548527
5,1.4300222457609,3.03379731690447,12,-798.8820342789026
