runner_group,events,mean_net_bp,median_net_r,win_rate,mean_mfe_r,mean_giveback_r
not armed,11,-582.9809980263011,-0.6562019721130621,0.2727272727272727,0.8676289175258578,1.2504825906803865
runner armed,6,1854.4048374252473,1.3184159450485433,0.8333333333333334,2.7825678862438767,1.842076008864111
