symbol,minutes,policy,n,worst_year_mean_bp,mean_net_bp,basis
BTC,120,P16_wait_zero_ltf,104,21.652902783629326,69.55846663628623,2023/2024 only
BTC,360,P15_wait_zero,35,315.92108195425726,332.96063195935494,2023/2024 only
BTC,720,P14_zero_ltf,16,534.5897980393454,541.4241689412663,2023/2024 only
