symbol,minutes,fold,policy,parent,base_n,available,higher_minutes,lower_minutes,n,mean_net_bp,median_net_bp,win_pct,pf,p90_net_bp,best_net_bp,worst_net_bp,top_realized_decile_sum_bp,rest_realized_mean_bp,top5_positive_share_pct,ma_strength_auc,ma_score_top_decile_n,ma_score_top_decile_gross_bp,ma_score_top_decile_net_bp,ma_score_top_decile_win_pct,ma_score_top_decile_excess_bp,excess_bp,p,ci_low,ci_high,months,mean_gross_bp,matched_n,matched_case_mean_net_bp,controls_mean_net_bp,median_hold_bars,mean_delay_bars,anchor_profit_retained_pct,baseline_loss_filtered_pct,actual_profit_on_prior_winners_bp,boundary_marks,portfolio_n,portfolio_mean_net_bp,portfolio_median_net_bp,portfolio_win_pct,portfolio_pf,portfolio_p90_net_bp,portfolio_best_net_bp,portfolio_worst_net_bp,portfolio_top_realized_decile_sum_bp,portfolio_rest_realized_mean_bp,portfolio_top5_positive_share_pct,portfolio_trades,portfolio_blocked,portfolio_fixed_notional_return_pct,portfolio_close_marked_drawdown_pct,nominated_on_discovery,p_holm_replication
BTC,15,discovery,P00_base,,1091,True,60,,1091,-12.073932379498347,-49.019527115361484,23.556370302474793,0.8041256164595626,134.90214265837966,1789.7388220589016,-852.6279957294247,46443.62807161795,-60.77093608323207,14.024083684811872,0.524097453554666,110.0,14.005406663195227,-5.994593336804774,32.72727272727273,29.15311352101801,8.48976355959551,0.074,-3.204726743944509,18.599256815597226,24.0,7.926067620501653,1090,-11.979583267130044,-20.469346826725555,34.0,0.0,99.99999999999997,0.0,54077.89080538003,1.0,1091.0,-12.073932379498347,-49.019527115361484,23.556370302474793,0.8041256164595626,134.90214265837966,1789.7388220589016,-852.6279957294247,46443.62807161795,-60.77093608323207,14.024083684811872,1091.0,0.0,-131.72660226032698,125.09854816115687,False,
BTC,15,discovery,P04_release,P03_dense_recent,1091,True,60,,948,-6.5045468200077385,-48.523382414876735,24.47257383966245,0.890049135824885,138.66377254734496,1789.7388220589016,-384.9218881866445,42439.85075899579,-56.982603920707085,15.19334928007263,0.516988537853978,95.0,20.117827136004845,0.11782713600484652,35.78947368421053,32.26347173428686,12.03409348264834,0.0235,0.17964506103541267,23.21251367837559,24.0,13.495453179992262,947,-6.390069609827234,-18.424163092475577,36.0,0.0,92.30409586650947,16.606752365857087,49916.108171584325,1.0,948.0,-6.5045468200077385,-48.523382414876735,24.47257383966245,0.890049135824885,138.66377254734496,1789.7388220589016,-384.9218881866445,42439.85075899579,-56.982603920707085,15.19334928007263,948.0,0.0,-61.66310385367333,78.25944541723312,False,
BTC,15,discovery,P08_htf_either,P04_release,1091,True,60,,788,-11.931115128700746,-49.30088039662549,23.604060913705585,0.8021448297468047,124.96629465011009,1789.7388220589016,-384.9218881866445,32565.546682774155,-59.19219379998637,18.22177750912944,0.5003750937734434,79.0,-4.2823573553092755,-24.282357355309273,29.11392405063291,20.498329029033723,11.898562746280069,0.023,0.31374698557454356,22.417545008809377,24.0,8.068884871299254,787,-11.800259538189632,-23.6988222844697,34.0,0.0,70.48438171125906,29.341566768899234,38116.46697666192,0.0,788.0,-11.931115128700746,-49.30088039662549,23.604060913705585,0.8021448297468047,124.96629465011009,1789.7388220589016,-384.9218881866445,32565.546682774155,-59.19219379998637,18.22177750912944,788.0,0.0,-94.01718721416184,99.48883104306941,False,
BTC,15,discovery,P10_htf_ltf,P08_htf_either,1091,False,60,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,False,
BTC,15,discovery,P11_wait_htf,P08_htf_either,1091,True,60,,858,-9.350092655868192,-49.218030103481674,24.00932400932401,0.8444845505251936,130.8599178814942,1789.7388220589016,-384.9218881866445,37105.71220724445,-58.4560773393515,16.98191460493868,0.5023825123592829,86.0,2.4559494730336393,-17.544050526966362,30.23255813953488,9.900310141785775,12.791142936077241,0.0175,0.7049567517421149,24.085862605283587,24.0,10.649907344131808,856,-9.188135330889837,-21.979278266967075,35.5,0.36247086247086246,82.62542825675092,24.815694397554257,43022.81350231967,0.0,858.0,-9.350092655868192,-49.218030103481674,24.00932400932401,0.8444845505251936,130.8599178814942,1789.7388220589016,-384.9218881866445,37105.71220724445,-58.4560773393515,16.98191460493868,858.0,0.0,-80.22379498734914,88.05237129806488,False,
BTC,15,discovery,P12_wait_ltf,P11_wait_htf,1091,False,60,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,False,
BTC,15,discovery,P13_htf_zero,P08_htf_either,1091,True,60,,945,-6.654548885037924,-48.621951996994355,24.444444444444443,0.8878053972601451,138.0583851448112,1789.7388220589016,-384.9218881866445,42423.93294737099,-57.30880193380216,15.240457180412296,0.5154486036838978,95.0,20.117827136004845,0.11782713600484652,35.78947368421053,32.26347173428686,12.290799470362177,0.024,0.14406844868671523,23.693657849454855,24.0,13.345451114962078,944,-6.539866770656662,-18.83066624101884,35.0,0.0,92.0187860429557,16.6544117877553,49761.818636745884,1.0,945.0,-6.654548885037924,-48.621951996994355,24.444444444444443,0.8878053972601451,138.0583851448112,1789.7388220589016,-384.9218881866445,42423.93294737099,-57.30880193380216,15.240457180412296,945.0,0.0,-62.88548696360833,78.02419895085757,False,
BTC,15,discovery,P14_zero_ltf,P13_htf_zero,1091,False,60,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,False,
BTC,15,discovery,P15_wait_zero,P13_htf_zero,1091,True,60,,983,-7.435235916847996,-48.54902762864153,24.211597151576804,0.8745894435984651,138.60207125631078,1789.7388220589016,-384.9218881866445,43433.75187207352,-57.40111852752839,14.879071538579977,0.5163611753426203,99.0,17.675214277886298,-2.3247857221137074,35.35353535353536,31.228785863913785,13.188990123624498,0.0185,1.145230900592024,24.740349400111842,24.0,12.564764083152006,981,-7.29001146867316,-20.479001592297656,35.0,0.09460834181078331,94.28084498234197,14.05937168407392,50923.0663814298,1.0,983.0,-7.435235916847996,-48.54902762864153,24.211597151576804,0.8745894435984651,138.60207125631078,1789.7388220589016,-384.9218881866445,43433.75187207352,-57.40111852752839,14.879071538579977,983.0,0.0,-73.08836906261583,85.30280269002044,False,
BTC,15,discovery,P16_wait_zero_ltf,P15_wait_zero,1091,False,60,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,False,
