stream_key,symbol,timeframe,asset,tick,bars,bars_in_window,first_bar,last_bar,gaps,ready_in_window,v9_long_in_window,v9_any_in_window,breaks_in_window,lines_born_in_window,joint_in_window,pivot_ties,store_codes,pair_refusals,serial,partial_buckets
binance_um:0GUSDT:5m,0GUSDT,5m,0G,0.0001,64899,64898,2025-09-17 15:45:00+00:00,2026-04-30 23:55:00+00:00,0,64558,101,200,294,276,24,515,"{'0': 282, '1': 403, '2': 4526, '3': 483, '4': 0, '5': 16}","{'gate': 2, 'parent_not_recovered': 1, 'momentum': 1}","{'joint': {'candidates': 24, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 101, 'skipped_in_position': 10, 'invalid_initial': 0}}",0
binance_um:0GUSDT:15m,0GUSDT,15m,0G,0.0001,21633,21632,2025-09-17 15:45:00+00:00,2026-04-30 23:45:00+00:00,0,21292,26,51,107,104,3,82,"{'0': 103, '1': 162, '2': 1519, '3': 246, '4': 0, '5': 4}",{},"{'joint': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 26, 'skipped_in_position': 7, 'invalid_initial': 0}}",0
binance_um:0GUSDT:30m,0GUSDT,30m,0G,0.0001,10817,10816,2025-09-17 15:30:00+00:00,2026-04-30 23:30:00+00:00,0,10476,13,25,57,58,2,43,"{'0': 44, '1': 86, '2': 803, '3': 88, '4': 0, '5': 1}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 13, 'skipped_in_position': 3, 'invalid_initial': 0}}",1
binance_um:0GUSDT:1h,0GUSDT,1h,0G,0.0001,5409,5408,2025-09-17 15:00:00+00:00,2026-04-30 23:00:00+00:00,0,5068,9,23,28,22,0,15,"{'0': 22, '1': 29, '2': 411, '3': 67, '4': 0, '5': 0}",{'gate': 1},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 9, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:0GUSDT:4h,0GUSDT,4h,0G,0.0001,1353,1352,2025-09-17 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,1012,1,2,7,9,0,0,"{'0': 1, '1': 11, '2': 72, '3': 4, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:0GUSDT:1d,0GUSDT,1d,0G,0.0001,226,225,2025-09-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:1000000BOBUSDT:5m,1000000BOBUSDT,5m,1000000BOB,1e-05,94938,94937,2025-06-05 08:30:00+00:00,2026-04-30 23:55:00+00:00,0,94597,92,208,353,345,15,2227,"{'0': 289, '1': 471, '2': 5114, '3': 526, '4': 0, '5': 15}","{'gate': 1, 'momentum': 1}","{'joint': {'candidates': 15, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 92, 'skipped_in_position': 9, 'invalid_initial': 0}}",0
binance_um:1000000BOBUSDT:15m,1000000BOBUSDT,15m,1000000BOB,1e-05,31646,31645,2025-06-05 08:30:00+00:00,2026-04-30 23:45:00+00:00,0,31305,36,62,140,143,17,427,"{'0': 142, '1': 191, '2': 1912, '3': 255, '4': 0, '5': 11}",{'gate': 1},"{'joint': {'candidates': 17, 'skipped_in_position': 2, 'invalid_initial': 0}, 'v9_long': {'candidates': 36, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:1000000BOBUSDT:30m,1000000BOBUSDT,30m,1000000BOB,1e-05,15823,15822,2025-06-05 08:30:00+00:00,2026-04-30 23:30:00+00:00,0,15482,11,29,75,78,0,138,"{'0': 60, '1': 110, '2': 903, '3': 137, '4': 0, '5': 8}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 11, 'skipped_in_position': 1, 'invalid_initial': 0}}",0
binance_um:1000000BOBUSDT:1h,1000000BOBUSDT,1h,1000000BOB,1e-05,7912,7911,2025-06-05 08:00:00+00:00,2026-04-30 23:00:00+00:00,0,7571,4,23,52,43,0,51,"{'0': 51, '1': 71, '2': 394, '3': 91, '4': 0, '5': 4}",{'gate': 1},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 4, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
