period,name,policy_id,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf
development,primary,fe47d0350b83,923,751,751,172,0,0,191,560,17,13,1.0,2.7725627582683625,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
development,closest_streak,837eaef04fea,923,625,625,139,159,0,240,383,9,9,29.265962050121573,9.803888587920321,0.9840752304733649,150,181,91,0,-439.85539518992107,355.8589523939122,-1334.169321034241,0,0.0,1000.0,21.689631359671854,-978.3103686403282,21.689631359671854,0.384,17,False,0.26672697894001357
development,best_escalation,62ee4a3e50a6,923,821,821,102,0,0,156,665,28,28,7.59375,8.022463480554906,0.7510469120641908,128,377,0,1,-563.7724734049762,288.03817965342245,-1038.5607181391563,0,0.0,1000.0,249.47746151426577,-750.5225384857342,249.47746151426577,0.1900121802679659,17,False,0.27734361084782366
development,same_exit_fixed_1u,e0cc9e3c851d,923,751,751,172,0,0,191,560,17,13,1.0,2.7725627582683625,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
development,original_v8_fixed_1u,7f6318b135c7,923,744,744,179,0,0,167,577,27,13,1.0,2.793734586269323,0.5650655730016393,62,84,0,84,-565.065573001639,338.7189133297584,-903.784486331398,0,0.0,1000.0,434.9344269983607,-565.0655730016392,434.9344269983607,0.22446236559139784,17,False,0.3747784106194068
development,user_reference_factorial,7b85d5849e51,923,710,710,137,76,0,133,577,42,15,24.0,9.715407859939704,0.957509029326134,123,311,76,0,-474.849241043414,488.9247183884501,-1441.7017131260625,0,0.0,1000.0,47.223005262390075,-952.7769947376099,47.223005262390075,0.18732394366197183,17,False,0.33913028883645263
development,user_reference_debt,d86ce25949d4,923,578,578,112,233,0,111,467,40,16,19.637488102720795,9.77928069060355,0.9797419659425782,106,189,189,0,-359.52529458995883,482.24903125412175,-1453.2583829969046,0,0.0,1000.0,28.990648257215177,-971.0093517427848,28.990648257215177,0.19204152249134948,17,False,0.3318398413499115
development,user_reference_double,0713eb5431f4,923,528,528,105,290,0,96,432,24,14,16.0,9.80369238142339,0.9882320586527648,88,159,151,0,-352.8772548053405,462.11070328467565,-1440.6752799519713,0,0.0,1000.0,21.435423332704342,-978.5645766672957,21.435423332704342,0.18181818181818182,17,False,0.32075979210254885
validation,primary,fe47d0350b83,653,526,526,127,0,0,149,377,16,11,1.0,1.526650067230157,0.23201685902607472,73,52,0,52,-227.9441554366239,283.32713742298506,-511.27129285960973,0,0.0,1000.0,772.0558445633753,-227.94415543662467,772.0558445633753,0.2832699619771863,12,False,0.5541620297871565
validation,closest_streak,837eaef04fea,653,523,523,109,21,0,207,316,11,7,46.825235754183495,9.490372435651302,0.748592846810437,126,106,21,4,-221.27573396145974,493.93961741622536,-1241.9583796590086,0,0.0,1000.0,251.98123775721638,-748.0187622427836,251.98123775721638,0.39579349904397704,12,False,0.397710282007873
validation,best_escalation,62ee4a3e50a6,653,584,584,69,0,0,103,481,28,20,7.59375,4.09764784640946,0.365714232877699,90,280,0,0,-270.6198044526822,217.91415391122314,-582.0516771819356,0,0.0,1000.0,635.8624767292876,-364.13752327071245,635.8624767292876,0.17636986301369864,12,False,0.3743897019011739
validation,same_exit_fixed_1u,e0cc9e3c851d,653,526,526,127,0,0,149,377,16,11,1.0,1.526650067230157,0.23201685902607472,73,52,0,52,-227.9441554366239,283.32713742298506,-511.27129285960973,0,0.0,1000.0,772.0558445633753,-227.94415543662467,772.0558445633753,0.2832699619771863,12,False,0.5541620297871565
validation,original_v8_fixed_1u,7f6318b135c7,653,525,525,128,0,0,138,387,25,11,1.0,1.573532720037198,0.25362768764328036,50,55,0,55,-252.90804529863775,264.1869342127038,-517.0949795113424,0,0.0,1000.0,747.0919547013614,-252.90804529863863,747.0919547013614,0.26285714285714284,12,False,0.5109060127838834
validation,user_reference_factorial,7b85d5849e51,653,529,529,99,25,0,114,415,24,14,24.0,9.635403598781533,0.6772480048003664,100,177,25,0,-240.35589747979483,621.95691494826,-1299.1382412016837,0,0.0,1000.0,322.8186737465753,-677.1813262534247,322.8186737465753,0.21550094517958412,12,False,0.4787457525482115
