entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-01-03,2,-28.022511175608816,-28.022511175608816,-56.04502235121763,0.0,False,0.0,2,0
2023-01-09,1,40.77093269662992,40.77093269662992,40.77093269662992,inf,True,1.0,0,0
2023-01-10,1,-39.876798618475576,-39.876798618475576,-39.876798618475576,0.0,False,0.0,1,0
2023-01-11,1,-78.61177773675452,-78.61177773675452,-78.61177773675452,0.0,False,0.0,1,0
2023-01-15,1,-86.14648245226729,-86.14648245226729,-86.14648245226729,0.0,False,0.0,1,0
2023-01-16,1,-115.67712901872527,-115.67712901872527,-115.67712901872527,0.0,False,0.0,1,0
2023-01-21,1,-98.43033812092504,-98.43033812092504,-98.43033812092504,0.0,False,0.0,1,0
2023-01-31,1,-82.76961115052937,-82.76961115052937,-82.76961115052937,0.0,False,0.0,1,0
2023-02-02,1,-70.85777880435849,-70.85777880435849,-70.85777880435849,0.0,False,0.0,1,0
2023-02-05,1,138.97209746406736,138.97209746406736,138.97209746406736,inf,True,1.0,0,0
2023-02-06,1,-77.1607005004815,-77.1607005004815,-77.1607005004815,0.0,False,0.0,1,0
2023-02-07,1,-47.68947669069322,-47.68947669069322,-47.68947669069322,0.0,False,0.0,1,0
2023-02-09,1,-109.07083929063032,-109.07083929063032,-109.07083929063032,0.0,False,0.0,1,0
2023-02-12,1,-63.60625574977073,-63.60625574977073,-63.60625574977073,0.0,False,0.0,1,0
2023-02-15,1,1087.4974401075365,1087.4974401075365,1087.4974401075365,inf,True,1.0,0,0
2023-02-16,1,80.09375976664292,80.09375976664292,80.09375976664292,inf,True,1.0,0,0
2023-02-20,1,-58.325412480263445,-58.325412480263445,-58.325412480263445,0.0,False,0.0,1,0
2023-02-21,1,16.489412698149646,16.489412698149646,16.489412698149646,inf,True,1.0,0,0
2023-02-22,1,-40.97425848475609,-40.97425848475609,-40.97425848475609,0.0,False,0.0,1,0
2023-02-23,1,99.06869506144946,99.06869506144946,99.06869506144946,inf,True,1.0,0,0
2023-02-26,1,-73.26941004128338,-73.26941004128338,-73.26941004128338,0.0,False,0.0,1,0
2023-02-28,1,-90.10280884612197,-90.10280884612197,-90.10280884612197,0.0,False,0.0,1,0
2023-03-01,1,-138.2213277955002,-138.2213277955002,-138.2213277955002,0.0,False,0.0,1,0
2023-03-03,1,-110.55615745756418,-110.55615745756418,-110.55615745756418,0.0,False,0.0,1,0
2023-03-11,1,-180.2083060527604,-180.2083060527604,-180.2083060527604,0.0,False,0.0,1,0
2023-03-14,1,43.497271257781925,43.497271257781925,43.497271257781925,inf,True,1.0,0,0
2023-03-18,1,-144.47592994558664,-144.47592994558664,-144.47592994558664,0.0,False,0.0,1,0
2023-03-20,1,-121.33610590651764,-121.33610590651764,-121.33610590651764,0.0,False,0.0,1,0
2023-03-23,1,-73.4695473370217,-73.4695473370217,-73.4695473370217,0.0,False,0.0,1,0
2023-03-26,1,-105.90562861951922,-105.90562861951922,-105.90562861951922,0.0,False,0.0,1,0
2023-03-28,1,331.10556934901723,331.10556934901723,331.10556934901723,inf,True,1.0,0,0
2023-03-29,2,77.02466141157439,77.02466141157439,154.04932282314877,2.6284222446382444,False,0.5,1,0
2023-03-30,1,-237.22246576666439,-237.22246576666439,-237.22246576666439,0.0,False,0.0,1,0
2023-04-03,2,-86.75328938882785,-86.75328938882785,-173.5065787776557,0.0,False,0.0,2,0
2023-04-09,1,54.38140357886924,54.38140357886924,54.38140357886924,inf,True,1.0,0,0
2023-04-12,1,-55.399117529082424,-55.399117529082424,-55.399117529082424,0.0,False,0.0,1,0
2023-04-13,1,-87.05103566090109,-87.05103566090109,-87.05103566090109,0.0,False,0.0,1,0
2023-04-15,1,-35.58073654390868,-35.58073654390868,-35.58073654390868,0.0,False,0.0,1,0
2023-04-18,1,-87.92256827216958,-87.92256827216958,-87.92256827216958,0.0,False,0.0,1,0
2023-04-22,1,-6.751206586543805,-6.751206586543805,-6.751206586543805,0.0,False,0.0,1,0
2023-04-24,2,-97.81019347824991,-97.81019347824991,-195.62038695649983,0.0,False,0.0,2,0
2023-04-26,2,-231.2385360977498,-231.2385360977498,-462.4770721954996,0.18148874573289786,False,0.5,1,0
2023-05-01,1,-47.18334905875475,-47.18334905875475,-47.18334905875475,0.0,False,0.0,1,0
2023-05-03,1,-60.13866082831497,-60.13866082831497,-60.13866082831497,0.0,False,0.0,1,0
2023-05-05,1,-108.44066224804381,-108.44066224804381,-108.44066224804381,0.0,False,0.0,1,0
2023-05-07,1,276.2394100926424,276.2394100926424,276.2394100926424,inf,True,1.0,0,0
2023-05-08,1,-78.7777713155746,-78.7777713155746,-78.7777713155746,0.0,False,0.0,1,0
2023-05-16,1,-80.07405586116566,-80.07405586116566,-80.07405586116566,0.0,False,0.0,1,0
2023-05-27,1,-41.8700998596999,-41.8700998596999,-41.8700998596999,0.0,False,0.0,1,0
2023-05-28,1,226.4065708418883,226.4065708418883,226.4065708418883,inf,True,1.0,0,0
2023-05-31,1,54.064563462949984,54.064563462949984,54.064563462949984,inf,True,1.0,0,0
2023-06-02,2,-27.892693606044165,-27.892693606044165,-55.78538721208833,0.2099880163337721,False,0.5,1,0
2023-06-03,1,-84.36368964759298,-84.36368964759298,-84.36368964759298,0.0,False,0.0,1,0
2023-06-05,1,96.71860306455505,96.71860306455505,96.71860306455505,inf,True,1.0,0,0
2023-06-07,1,-145.33977650256656,-145.33977650256656,-145.33977650256656,0.0,False,0.0,1,0
2023-06-10,1,-271.6151099735209,-271.6151099735209,-271.6151099735209,0.0,False,0.0,1,0
2023-06-12,1,-41.24345539645578,-41.24345539645578,-41.24345539645578,0.0,False,0.0,1,0
2023-06-17,1,-36.67050113336677,-36.67050113336677,-36.67050113336677,0.0,False,0.0,1,0
2023-06-21,1,203.5113461866578,203.5113461866578,203.5113461866578,inf,True,1.0,0,0
2023-06-22,1,-145.5624218516693,-145.5624218516693,-145.5624218516693,0.0,False,0.0,1,0
2023-06-24,2,-98.65089380454715,-98.65089380454715,-197.3017876090943,0.0,False,0.0,2,0
2023-06-25,1,-34.2764227642278,-34.2764227642278,-34.2764227642278,0.0,False,0.0,1,0
2023-07-04,1,-64.69099046570557,-64.69099046570557,-64.69099046570557,0.0,False,0.0,1,0
2023-07-07,1,-111.12562222341137,-111.12562222341137,-111.12562222341137,0.0,False,0.0,1,0
2023-07-11,1,-77.03539981913086,-77.03539981913086,-77.03539981913086,0.0,False,0.0,1,0
2023-07-12,1,31.9270335084987,31.9270335084987,31.9270335084987,inf,True,1.0,0,0
2023-07-19,1,-42.49277136896377,-42.49277136896377,-42.49277136896377,0.0,False,0.0,1,0
2023-07-22,1,-46.212756875013675,-46.212756875013675,-46.212756875013675,0.0,False,0.0,1,0
2023-07-24,2,78.84881575736469,78.84881575736469,157.69763151472938,4.246551579732859,False,0.5,1,0
2023-08-09,1,-52.66067105271886,-52.66067105271886,-52.66067105271886,0.0,False,0.0,1,0
2023-08-11,1,-46.44629224344275,-46.44629224344275,-46.44629224344275,0.0,False,0.0,1,0
2023-08-13,1,-28.50487669629807,-28.50487669629807,-28.50487669629807,0.0,False,0.0,1,0
2023-08-19,1,-77.54407387621119,-77.54407387621119,-77.54407387621119,0.0,False,0.0,1,0
2023-08-23,1,-49.30383183220364,-49.30383183220364,-49.30383183220364,0.0,False,0.0,1,0
2023-08-29,1,-34.10827621467714,-34.10827621467714,-34.10827621467714,0.0,False,0.0,1,0
2023-08-30,1,-73.77295861916265,-73.77295861916265,-73.77295861916265,0.0,False,0.0,1,0
2023-09-03,1,-50.44970992037599,-50.44970992037599,-50.44970992037599,0.0,False,0.0,1,0
2023-09-04,1,-85.83304117486755,-85.83304117486755,-85.83304117486755,0.0,False,0.0,1,0
2023-09-08,1,42.686658835632294,42.686658835632294,42.686658835632294,inf,True,1.0,0,0
2023-09-11,1,-69.72953772379275,-69.72953772379275,-69.72953772379275,0.0,False,0.0,1,0
2023-09-12,1,71.31747551366142,71.31747551366142,71.31747551366142,inf,True,1.0,0,0
2023-09-14,1,-149.60966304503495,-149.60966304503495,-149.60966304503495,0.0,False,0.0,1,0
2023-09-18,1,-43.80578663736755,-43.80578663736755,-43.80578663736755,0.0,False,0.0,1,0
2023-09-19,1,-14.753468437678201,-14.753468437678201,-14.753468437678201,0.0,False,0.0,1,0
2023-10-02,1,-116.96129599098269,-116.96129599098269,-116.96129599098269,0.0,False,0.0,1,0
2023-10-09,1,-56.413176321730134,-56.413176321730134,-56.413176321730134,0.0,False,0.0,1,0
2023-10-10,1,-46.87938957773417,-46.87938957773417,-46.87938957773417,0.0,False,0.0,1,0
2023-10-11,2,-60.9061477219419,-60.9061477219419,-121.8122954438838,0.0,False,0.0,2,0
2023-10-15,1,-35.48984781969409,-35.48984781969409,-35.48984781969409,0.0,False,0.0,1,0
2023-10-16,2,-11.127921184462247,-11.127921184462247,-22.255842368924494,0.8315606297496311,False,0.5,1,0
2023-10-19,2,3.544010258433889,3.544010258433889,7.088020516867778,1.1252241162355539,False,0.5,1,0
2023-10-27,1,-58.78388804796407,-58.78388804796407,-58.78388804796407,0.0,False,0.0,1,0
