state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,640,640,-23.528617246311388,-3.528617246311384,125,515,1,71,202.5,284.1015625,115,0,41,78,-0.4853016795955112,0
opposite,209,209,-14.329970691807015,5.670029308192992,47,162,0,17,165.0,283.32535885167465,54,0,39,14,-0.38039309086369294,48
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
