outcome,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
hard_stop,86,-102.80464171934518,-83.02186196435355,-8841.199187863687,0.0,False,0.0,86,0
transition_colour_exit,200,15.739665932761804,-34.192349489452475,3147.933186552361,1.3490157233661717,False,0.335,133,0
