state,requests,closed,net_mean_bp,gross_mean_bp,wins,losses,exit_5min,exit_le_30min,hold_median_minutes,hold_mean_minutes,hard_stops,time_exits,fee_flips,loser_mfe_ge_1r,mae_median_r,never_armed_executed
aligned,282,282,-19.390593099077165,0.6094069009228461,67,215,0,9,360.0,397.4645390070922,84,0,17,56,-0.7289101687186395,0
opposite,4,4,-56.27968684289107,-36.27968684289107,0,4,0,2,60.0,165.0,2,0,0,2,-0.9157127991675287,0
unknown,0,0,,,0,0,0,0,,,0,0,0,0,,0
