symbol,minutes,status,bars,start,end_close,gap_count,up,down,signals,zero_bar_pct,cross_at_zero,cross_opposite,cross_aligned,zero_cross_pct,opposite_cross_pct,churn_count,churn_eligible,churn3_pct,macd_signals,signals_per_day,holdout_bars,available_bars
BTC,1,missing_source,0,,,,,,,,,,,,,,,,,,,
BTC,3,ok,43680,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1229.0,1225.0,2454.0,17.399267399267398,59.0,1314.0,1081.0,2.404237978810106,53.54523227383863,282.0,2454.0,11.491442542787286,3463.0,26.967032967032967,27840.0,
BTC,5,ok,52128,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1482.0,1474.0,2956.0,17.466620626151013,76.0,1575.0,1305.0,2.571041948579161,53.28146143437077,356.0,2956.0,12.043301759133964,4021.0,16.331491712707184,16704.0,
BTC,15,ok,122592,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,3299.0,3279.0,6578.0,19.726409553641346,157.0,3446.0,2975.0,2.3867436910915174,52.38674369109152,751.0,6578.0,11.416844025539678,9761.0,5.15113547376664,5568.0,
BTC,30,ok,61296,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1608.0,1615.0,3223.0,19.262268337248763,86.0,1684.0,1453.0,2.6683214396524977,52.24945702761402,399.0,3223.0,12.379770400248216,4705.0,2.523884103367267,2784.0,
BTC,60,ok,30648,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,796.0,782.0,1578.0,17.72056904202558,24.0,846.0,708.0,1.520912547528517,53.61216730038023,183.0,1578.0,11.596958174904943,2337.0,1.235708692247455,1392.0,
BTC,120,ok,15324,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,394.0,403.0,797.0,17.482380579483163,10.0,431.0,356.0,1.2547051442910917,54.077791718946045,87.0,797.0,10.915934755332497,1123.0,0.6241190289741582,696.0,
BTC,240,ok,7662,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,206.0,208.0,414.0,14.891673192377969,6.0,222.0,186.0,1.4492753623188406,53.62318840579711,50.0,413.0,12.106537530266344,567.0,0.3241973375097886,348.0,
BTC,360,ok,5108,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,124.0,127.0,251.0,14.193422083007048,4.0,137.0,110.0,1.593625498007968,54.581673306772906,23.0,250.0,9.2,385.0,0.19655442443226312,232.0,
BTC,720,ok,2554,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,64.0,66.0,130.0,14.917776037588096,1.0,71.0,58.0,0.7692307692307693,54.61538461538461,5.0,130.0,3.8461538461538463,168.0,0.10180109631949882,116.0,
BTC,1440,ok,1277,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,26.0,28.0,54.0,13.782302270947532,0.0,31.0,23.0,0.0,57.407407407407405,6.0,54.0,11.11111111111111,96.0,0.042286609240407204,58.0,
BTC,10080,insufficient_warmup,0,,,,,,,,,,,,,,,,,,,233.0
ETH,1,ok,102240,2026-04-21T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,2904.0,2915.0,5819.0,16.560054773082943,125.0,3172.0,2522.0,2.14813541845678,54.511084378759236,676.0,5819.0,11.617116343014263,8475.0,81.95774647887323,83520.0,
ETH,3,ok,43680,2026-04-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1221.0,1213.0,2434.0,19.03617216117216,52.0,1300.0,1082.0,2.1364009860312243,53.410024650780606,289.0,2434.0,11.873459326211997,3562.0,26.747252747252748,27840.0,
ETH,5,ok,52128,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1420.0,1417.0,2837.0,19.762891344383057,69.0,1488.0,1280.0,2.4321466337680646,52.449770884737404,308.0,2837.0,10.856538597109623,4109.0,15.67403314917127,16704.0,
ETH,15,ok,122592,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,3257.0,3240.0,6497.0,19.91239232576351,152.0,3419.0,2926.0,2.3395413267661995,52.624288132984454,774.0,6497.0,11.91319070340157,9710.0,5.08770555990603,5568.0,
ETH,30,ok,61296,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,1627.0,1595.0,3222.0,20.293330723048815,83.0,1682.0,1457.0,2.576039726877716,52.20360024829298,341.0,3221.0,10.586774293697609,4651.0,2.523101018010963,2784.0,
ETH,60,ok,30648,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,772.0,768.0,1540.0,18.627642913077523,34.0,822.0,684.0,2.207792207792208,53.37662337662338,147.0,1540.0,9.545454545454547,2314.0,1.2059514487079093,1392.0,
ETH,120,ok,15324,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,396.0,390.0,786.0,19.864265204907337,18.0,419.0,349.0,2.2900763358778624,53.30788804071247,82.0,786.0,10.432569974554708,1119.0,0.615505090054816,696.0,
ETH,240,ok,7662,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,200.0,197.0,397.0,17.54111198120595,6.0,216.0,175.0,1.5113350125944585,54.40806045340051,52.0,397.0,13.09823677581864,580.0,0.31088488645262335,348.0,
ETH,360,ok,5108,2023-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,0.0,128.0,131.0,259.0,14.976507439310884,5.0,139.0,115.0,1.9305019305019304,53.66795366795367,25.0,259.0,9.652509652509652,388.0,0.2028191072826938,232.0,
