variant,period,assignment_seed_index,status,candidate_minus_control_bp_per_trade
v14r_dense_release,confirmation_2024,0,complete,181.87981056268308
v14r_dense_release,confirmation_2024,1,complete,256.58550714563086
v14r_dense_release,confirmation_2024,2,complete,212.07185430812558
v14r_dense_release,confirmation_2024,3,complete,286.434300535798
v14r_dense_release,confirmation_2024,4,complete,226.32567376042553
v14r_dense_release,confirmation_2024,5,complete,76.59095966051241
v14r_dense_release,confirmation_2024,6,complete,324.4740676706331
v14r_dense_release,confirmation_2024,7,complete,203.65079200988214
v14r_dense_release,discovery_2023,0,complete,326.1805496515346
v14r_dense_release,discovery_2023,1,complete,546.343043393046
v14r_dense_release,discovery_2023,2,complete,549.3539673820683
v14r_dense_release,discovery_2023,3,complete,516.072205318436
v14r_dense_release,discovery_2023,4,complete,523.6524216515859
v14r_dense_release,discovery_2023,5,complete,517.7542323701041
v14r_dense_release,discovery_2023,6,complete,447.98684664484125
v14r_dense_release,discovery_2023,7,complete,408.67164707776294
v14r_dense_release,final_preholdout_2025_202602,0,complete,-49.566764254615336
v14r_dense_release,final_preholdout_2025_202602,1,complete,-61.16694380240657
v14r_dense_release,final_preholdout_2025_202602,2,complete,-81.2339183202446
v14r_dense_release,final_preholdout_2025_202602,3,complete,-3.4474965598453498
v14r_dense_release,final_preholdout_2025_202602,4,complete,-134.7393021808519
v14r_dense_release,final_preholdout_2025_202602,5,complete,-104.2343951853526
v14r_dense_release,final_preholdout_2025_202602,6,complete,-90.04481035104436
v14r_dense_release,final_preholdout_2025_202602,7,complete,-81.6257398320127
