signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included,true_range_atr_ratio,prior_distance_atr,breakout_expansion_atr,v14r_gate_pass
327,2022-01-07 01:15:00+00:00,short,1.0,1.0,5.279230578915384,5.8027794989966655,1.0279034865370908,1.0255699129525326,1.0,10.0,0.6500224216483541,0.980327672359963,0.8333333333333334,0.11290206666951402,0.5043599197714205,1.0,0.0,False,False,False,False,False,dense_l1,False,False,1.0176878751523033,1.096409487408458,-0.11608181504849502,False
841,2022-01-12 09:45:00+00:00,long,5.0,3.0,4.49508359084938,5.4968653901365006,1.2286550375587986,0.25954842746378587,-1.0,11.0,0.41381685030363385,1.537519695370336,1.0,0.08251527524311994,0.64532204702695,1.0,2.0,False,False,False,False,False,dense_l1,False,False,1.306463213008516,0.8195266606718277,0.7179930346985084,False
939,2022-01-13 10:15:00+00:00,long,1.0,1.0,3.491177015636083,4.125072513231139,1.1020558644826686,0.30258867499567854,1.0,10.0,0.6500224216483541,0.7323511610080127,0.8333333333333334,0.07020014569571396,0.529122756407983,1.0,0.0,False,True,False,False,False,dense_l1,False,False,1.3276414451231155,1.2155654803112572,-0.48321431930324454,False
1151,2022-01-15 15:15:00+00:00,long,7.0,4.0,1.8201630397745516,3.1600547989007968,1.1299537177985552,0.9890250498269252,0.0,12.0,0.0,1.5504770772587635,1.0,0.062014921649802546,0.7890544044512413,3.0,3.0,False,True,True,True,True,dense_l1,True,False,0.7159443628930247,1.5762963601660456,-0.025819282907282082,False
1276,2022-01-16 22:30:00+00:00,long,2.0,2.0,1.142447565719268,1.5573670748651898,0.8883255096745627,0.3049333953598687,1.0,12.0,0.0,0.7705069090611666,0.6666666666666666,0.0158067357557931,0.6814437645432335,1.0,0.0,False,True,True,False,False,dense_l1,True,False,0.4898170789907482,0.9774253450029027,-0.2069184359417361,False
1391,2022-01-18 03:15:00+00:00,short,1.0,1.0,3.7137313554897395,3.9132577030883726,0.9319517293041605,0.45257320205547247,0.0,12.0,0.0,1.3985384923743212,0.8333333333333334,0.014120863798899846,0.34941812119331206,0.0,0.0,False,False,False,False,False,dense_l1,False,False,1.5570479189991449,0.037033694546246686,1.3615047978280745,False
1492,2022-01-19 04:30:00+00:00,short,3.0,2.0,1.9641747588204028,2.1957177180998784,1.0730574354980265,1.6353453273070588,1.0,11.0,0.41381685030363385,1.8889618010999671,1.0,0.10619412332853606,0.7428209685369581,2.0,1.0,False,True,True,True,True,dense_l1,True,False,0.48980150781178944,1.8027089324549168,0.08625286864505033,False
1975,2022-01-24 05:15:00+00:00,short,6.0,6.0,1.2366547476722218,1.570900667695211,0.956055375290792,0.17428499631984196,6.0,9.0,0.8112781244591328,1.0228096514016156,0.8333333333333334,0.07799754684311483,0.8291745307699525,6.0,0.0,False,True,True,True,True,dense_l1,True,False,0.629967430359265,0.9473242505378934,0.07548540086372224,False
2077,2022-01-25 06:45:00+00:00,short,4.0,3.0,1.8390291443095759,2.6964080141190707,0.9489119112762923,0.259471886744346,-1.0,1.0,0.41381685030363374,0.05304427339752785,0.8333333333333334,0.030961018206687535,0.5526788009967519,0.0,1.0,False,False,False,False,False,dense_l1,False,False,0.5165446513689591,0.053877445626597124,-0.0008331722290692775,False
2320,2022-01-27 19:30:00+00:00,short,2.0,2.0,1.9227052977245085,2.3331899715162017,1.0143266957602155,0.44552011237592826,2.0,9.0,0.8112781244591328,1.1586865685639443,0.8333333333333334,0.06711405653464404,0.6635990837722378,2.0,0.0,False,True,True,True,False,dense_l1,True,False,1.156313241598452,1.2582283544799173,-0.09954178591597307,False
2869,2022-02-02 12:45:00+00:00,long,3.0,3.0,1.6021733254238095,1.7259822205920203,1.1505659121091432,0.19217181689334362,1.0,10.0,0.6500224216483541,1.8708991005993059,1.0,0.07821115816736167,0.7535220647826666,2.0,1.0,False,True,True,True,True,dense_l1,True,False,1.3245155513513256,1.976903139024162,-0.10600403842485617,False
3296,2022-02-06 23:30:00+00:00,long,3.0,2.0,1.2189675188892743,1.3586762424972703,1.4160046139504725,0.5703312417772385,1.0,6.0,1.0,3.5317627497026285,1.0,0.0795373196360228,0.7860253548419347,1.0,0.0,False,True,True,False,False,dense_l1,True,False,2.571534838596699,1.390289024958932,2.1414737247436966,True
3481,2022-02-08 21:45:00+00:00,long,2.0,2.0,2.873349208272362,3.15759324313663,0.9689435489456738,0.9851674319431551,-1.0,0.0,0.0,-0.2830371118435342,0.8333333333333334,0.05300714074536603,0.307025900304926,0.0,1.0,False,False,False,False,False,dense_l1,False,False,0.5144754882534697,0.11378498849457187,-0.39682210033810605,False
3628,2022-02-10 10:30:00+00:00,long,1.0,1.0,2.9292454986866,3.6420808168062506,1.135607961534452,0.766198715409825,1.0,9.0,0.8112781244591328,2.6389438722575447,1.0,0.15021756420881152,0.5881109003218457,1.0,0.0,False,True,False,False,False,dense_l1,False,False,0.6766240391578968,2.697886323777555,-0.05894245152001032,False
3654,2022-02-10 17:00:00+00:00,long,12.0,9.0,0.7070536770946526,1.237928552154458,0.9831121181871749,1.3456107750228767,-5.0,7.0,0.9798687566511528,0.8352220430276742,0.6666666666666666,0.00924494805621027,0.6950596172945728,2.0,7.0,False,False,False,False,False,dense_l1,False,False,0.8935319288044589,0.6030469492942352,0.23217509373343903,False
