bar,arm_id,feature,operator,quantile,threshold,kind,events,retention,2023H1_events,2023H2_events,2023H1_net_bp,2023H2_net_bp,2023H1_improvement_bp,2023H2_improvement_bp,stable_improvement_bp,combined_net_bp,eligible
5m,k2_atr_release_24__le_q25,k2_atr_release_24,<=,0.25,0.8952412339967241,continuous,63,0.2150170648464164,45,18,-21.647892936765448,-16.7592339068632,-0.5797507121175229,-0.7078244459846594,,-20.251133213936235,False
5m,k2_atr_release_24__le_q50,k2_atr_release_24,<=,0.5,1.0096111886319648,continuous,138,0.4709897610921502,90,48,-18.717321304572497,-17.26902537899781,2.350820920075428,-1.217615918119268,-1.217615918119268,-18.21356620002478,True
5m,k2_atr_release_24__ge_q50,k2_atr_release_24,>=,0.5,1.0096111886319648,continuous,155,0.5290102389078498,90,65,-23.418963144723357,-15.15224693672893,-2.3508209200754315,0.8991625241496113,-2.3508209200754315,-19.95227570266118,True
5m,k2_atr_release_24__ge_q75,k2_atr_release_24,>=,0.75,1.2521541131293774,continuous,75,0.25597269624573377,45,30,-22.48177950589626,-16.98848983158006,-1.4136372812483344,-0.9370803707015192,-1.4136372812483344,-20.284463636169782,True
5m,k2_atr_release_96__le_q25,k2_atr_release_96,<=,0.25,0.817107412692534,continuous,68,0.23208191126279865,45,23,-20.627445284748536,-13.329618215721343,0.4406969398993894,2.721791245157199,,-18.1590625996364,False
5m,k2_atr_release_96__le_q50,k2_atr_release_96,<=,0.5,1.0396417741514612,continuous,136,0.4641638225255973,90,46,-19.063557590948953,-15.501924509468756,2.004584633698972,0.5494849514097861,0.5494849514097861,-17.85888757809536,True
5m,k2_atr_release_96__ge_q50,k2_atr_release_96,>=,0.5,1.0396417741514612,continuous,157,0.5358361774744027,90,67,-23.072726858346893,-16.428667785727058,-2.0045846336989683,-0.3772583248485155,-2.0045846336989683,-20.237364069394477,True
5m,k2_atr_release_96__ge_q75,k2_atr_release_96,>=,0.75,1.4595153635357576,continuous,79,0.2696245733788396,45,34,-17.399522354201924,-21.03690640625451,3.668619870446001,-4.985496945375967,-4.985496945375967,-18.964978781667586,True
5m,ma_shift_osc_dir__le_q25,ma_shift_osc_dir,<=,0.25,-0.07973173362006052,continuous,79,0.2696245733788396,45,34,-26.46022901639955,-17.807716239058415,-5.392086791751623,-1.756306778179873,-5.392086791751623,-22.73636275779704,True
5m,ma_shift_osc_dir__le_q50,ma_shift_osc_dir,<=,0.5,0.07124322440409653,continuous,146,0.49829351535836175,90,56,-23.587937989458972,-17.822027511226075,-2.5197957648110467,-1.770618050347533,-2.5197957648110467,-21.376355888218956,True
5m,ma_shift_osc_dir__ge_q50,ma_shift_osc_dir,>=,0.5,0.07124322440409653,continuous,147,0.5017064846416383,90,57,-18.54834645983687,-14.311854885098514,2.519795764811054,1.7395545757800281,1.7395545757800281,-16.90562523697914,True
5m,ma_shift_osc_dir__ge_q75,ma_shift_osc_dir,>=,0.75,0.21254137555874136,continuous,77,0.2627986348122867,45,32,-22.6317861067064,-20.7835679068266,-1.563643882058475,-4.732158445948059,-4.732158445948059,-21.863695426236877,True
5m,ma_shift_osc_delta_dir__le_q25,ma_shift_osc_delta_dir,<=,0.25,-0.05627661614225625,continuous,82,0.27986348122866894,45,37,-18.293155310618936,-19.084087833269827,2.7749869140289896,-3.0326783723912847,-3.0326783723912847,-18.650039497668725,True
5m,ma_shift_osc_delta_dir__le_q50,ma_shift_osc_delta_dir,<=,0.5,-0.013844069597328368,continuous,143,0.4880546075085324,90,53,-17.465355971800008,-14.685545720993396,3.602786252847917,1.365863739885146,1.365863739885146,-16.43507664807448,True
5m,ma_shift_osc_delta_dir__ge_q50,ma_shift_osc_delta_dir,>=,0.5,-0.013844069597328368,continuous,150,0.5119453924914675,90,60,-24.67092847749585,-17.257922431110426,-3.602786252847924,-1.2065129702318842,-3.602786252847924,-21.70572605894167,True
5m,ma_shift_osc_delta_dir__ge_q75,ma_shift_osc_delta_dir,>=,0.75,0.03015195702922778,continuous,84,0.28668941979522183,45,39,-15.02867818668101,-20.06101869508062,6.0394640379669156,-4.0096092342020775,-4.0096092342020775,-17.365121994152254,True
5m,k2_range_atr__le_q25,k2_range_atr,<=,0.25,1.0485240443510861,continuous,73,0.24914675767918087,45,28,-16.259071391496743,-22.167133997816517,4.809070833151182,-6.115724536937975,-6.115724536937975,-18.52517759666049,True
5m,k2_range_atr__le_q50,k2_range_atr,<=,0.5,1.340820826518021,continuous,143,0.4880546075085324,90,53,-18.143134274804254,-19.696731985998138,2.925007949843671,-3.645322525119596,-3.645322525119596,-18.718943216715275,True
5m,k2_range_atr__ge_q50,k2_range_atr,>=,0.5,1.340820826518021,continuous,150,0.5119453924914675,90,60,-23.9931501744916,-12.831374563689566,-2.9250079498436747,3.2200348971889756,-2.9250079498436747,-19.528439930170787,True
5m,k2_range_atr__ge_q75,k2_range_atr,>=,0.75,1.7459301726436363,continuous,78,0.26621160409556316,45,33,-21.808928254396275,-3.6237591053371303,-0.7407860297483495,12.427650355541411,-0.7407860297483495,-14.115202845178946,True
5m,prior_ma_side_share_12_dir__le_q25,prior_ma_side_share_12_dir,<=,0.25,0.4166666666666667,continuous,72,0.24573378839590443,50,22,-16.975500741835916,-13.417103481296657,4.0926414828120095,2.6343059795818853,,-15.88821269000448,False
5m,prior_ma_side_share_12_dir__le_q50,prior_ma_side_share_12_dir,<=,0.5,0.75,continuous,152,0.5187713310580204,96,56,-20.443832733379704,-20.38762836519286,0.624309491268221,-4.336218904314318,-4.336218904314318,-20.42312586088981,True
5m,prior_ma_side_share_12_dir__ge_q50,prior_ma_side_share_12_dir,>=,0.5,0.75,continuous,157,0.5358361774744027,94,63,-23.79183617951825,-12.464175273814,-2.723693954870324,3.587234187064542,-2.723693954870324,-19.2463416759554,True
5m,prior_ma_side_share_12_dir__ge_q75,prior_ma_side_share_12_dir,>=,0.75,1.0,continuous,82,0.27986348122866894,51,31,-21.647593963693854,-21.42646601457141,-0.5794517390459291,-5.375056553692868,-5.375056553692868,-21.563996812196343,True
5m,prior_ma_side_share_48_dir__le_q25,prior_ma_side_share_48_dir,<=,0.25,0.30729166666666663,continuous,76,0.2593856655290102,45,31,-19.551744164069756,-6.040651253382984,1.5163980605781688,10.010758207495558,1.5163980605781688,-14.04064047681594,True
5m,prior_ma_side_share_48_dir__le_q50,prior_ma_side_share_48_dir,<=,0.5,0.4583333333333333,continuous,149,0.5085324232081911,91,58,-20.482760007381,-12.003766566520234,0.5853822172669254,4.047642894358308,0.5853822172669254,-17.182212225032515,True
5m,prior_ma_side_share_48_dir__ge_q50,prior_ma_side_share_48_dir,>=,0.5,0.4583333333333333,continuous,155,0.5290102389078498,96,59,-21.24106580461867,-18.051734627897368,-0.17292357997074603,-2.0003251670188256,-2.0003251670188256,-20.027062324447336,True
5m,prior_ma_side_share_48_dir__ge_q75,prior_ma_side_share_48_dir,>=,0.75,0.671875,continuous,70,0.23890784982935154,45,25,-23.487180232933998,-15.484221329932197,-2.4190380082860727,0.5671881309463451,,-20.62898062471907,False
5m,prior_native_colour_share_12_dir__le_q25,prior_native_colour_share_12_dir,<=,0.25,0.5,continuous,156,0.5324232081911263,105,51,-21.32036654602809,-16.634125240594884,-0.25222432138016515,-0.5827157797163416,-0.5827157797163416,-19.78832611925185,True
