changed_field,value,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf
leverage_cap,3.0,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
leverage_cap,5.0,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
leverage_cap,10.0,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
leverage_cap,20.0,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
max_losses,3,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,135,159,0,159,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
max_losses,4,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,104,122,0,122,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
max_losses,5,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,83,94,0,94,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
max_losses,6,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
loss_trigger,any_net_loss,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,78,75,0,75,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
loss_trigger,losing_stop,923,751,751,172,0,0,191,560,17,13,1.0,2.772562758268635,0.5201789927654781,67,67,0,67,-520.1789927654778,374.07400584872227,-894.2529986142006,0,0.0,1000.0,479.82100723452197,-520.178992765478,479.82100723452197,0.25432756324900135,17,False,0.4183089197670173
