policy_id,exit_id,take_profit_r,protection_mode,trigger_r,schedule,factor,reset_mode,max_losses,leverage_cap,n_candidates,n_accepted,n_natural,n_blocked,n_rejected_capacity,n_rejected_ruined,net_wins,net_losses,max_consecutive_net_loss,max_consecutive_losing_stop,max_risk,max_effective_leverage,max_realized_drawdown,recovered_cycles,abandoned_cycles,capacity_failed_cycles,capped_cycles,natural_sum_net_r,natural_positive_cash,natural_negative_cash,n_boundary_marks,boundary_mark_pnl,initial_balance,final_balance,profit,final_cash_excluding_boundary,win_rate,active_months,ruined,cash_pf,coverage_pass,hard_target_pass
494543f90a82,64ccd4209904,,none,,fixed,1.0,recovery,6,10.0,923,744,744,179,0,0,167,577,27,13,1.0,2.793734586269323,0.5650655730016393,62,84,0,84,-565.065573001639,338.7189133297584,-903.784486331398,0,0.0,1000.0,434.9344269983607,-565.0655730016392,434.9344269983607,0.22446236559139784,17,False,0.3747784106194068,True,False
72b3ee1ce34e,64ccd4209904,,none,,double,1.5,recovery,6,10.0,923,550,550,133,240,0,111,439,26,12,7.59375,9.792758858355468,0.9913789889151461,70,112,87,25,-416.1681729615091,607.5076361109333,-1595.0180649541478,0,0.0,1000.0,12.489571156785178,-987.5104288432149,12.489571156785178,0.2018181818181818,17,False,0.38087821665417776,True,False
e9a35e5826b5,64ccd4209904,,none,,double,1.5,net_win,6,10.0,923,497,497,120,306,0,100,397,26,12,7.59375,9.69512833953345,0.9916582861158931,66,132,78,20,-389.5319624812472,384.1403577100428,-1373.3772283672956,0,0.0,1000.0,10.763129342747177,-989.2368706572528,10.763129342747177,0.2012072434607646,17,False,0.2797049126602443,True,False
5799c91eb350,64ccd4209904,,none,,double,1.5,be_or_win,6,10.0,923,497,497,120,306,0,100,397,26,12,7.59375,9.69512833953345,0.9916582861158931,66,132,78,20,-389.5319624812472,384.1403577100428,-1373.3772283672956,0,0.0,1000.0,10.763129342747177,-989.2368706572528,10.763129342747177,0.2012072434607646,17,False,0.2797049126602443,True,False
0e9fc4056f4e,64ccd4209904,,none,,double,2.0,recovery,6,10.0,923,454,454,113,356,0,93,361,24,12,32.0,9.730103250217304,0.9899491938130219,76,146,145,1,-327.4672096559077,446.0560049254985,-1436.0051987385211,0,0.0,1000.0,10.05080618697807,-989.9491938130219,10.05080618697807,0.20484581497797358,17,False,0.3106228343165767,True,False
44108065dd4e,64ccd4209904,,none,,double,2.0,net_win,6,10.0,923,433,433,106,384,0,83,350,24,12,32.0,9.793974419336395,0.9914555894208149,64,147,127,1,-329.8723921474305,436.1280249201107,-1425.1621988822865,0,0.0,1000.0,10.965826037825327,-989.0341739621747,10.965826037825327,0.19168591224018475,17,False,0.3060199219865313,True,False
f99cd6f77eb7,64ccd4209904,,none,,double,2.0,be_or_win,6,10.0,923,433,433,106,384,0,83,350,24,12,32.0,9.793974419336395,0.9914555894208149,64,147,127,1,-329.8723921474305,436.1280249201107,-1425.1621988822865,0,0.0,1000.0,10.965826037825327,-989.0341739621747,10.965826037825327,0.19168591224018475,17,False,0.3060199219865313,True,False
20c68f3b459d,64ccd4209904,,none,,debt,1.0,recovery,6,10.0,923,624,624,154,145,0,144,480,21,10,32.30988623821338,9.721308837016792,0.9791622351689048,107,132,130,2,-409.17639990610667,885.8170540580188,-1860.2041888075887,0,0.0,1000.0,25.612865250429998,-974.38713474957,25.612865250429998,0.23076923076923078,17,False,0.4761934519811168,True,False
c2490afceedd,64ccd4209904,,none,,debt,1.0,net_win,6,10.0,923,586,586,145,192,0,132,454,21,10,21.239915384465405,9.77100062706159,0.9840687161860505,98,165,131,0,-391.1500748501334,602.9394516778466,-1583.1274835500903,0,0.0,1000.0,19.811968127755165,-980.1880318722449,19.811968127755165,0.22525597269624573,17,False,0.38085337911371653,True,False
b8d321d53204,64ccd4209904,,none,,debt,1.0,be_or_win,6,10.0,923,586,586,145,192,0,132,454,21,10,21.239915384465405,9.77100062706159,0.9840687161860505,98,165,131,0,-391.1500748501334,602.9394516778466,-1583.1274835500903,0,0.0,1000.0,19.811968127755165,-980.1880318722449,19.811968127755165,0.22525597269624573,17,False,0.38085337911371653,True,False
fa42c8df286c,64ccd4209904,,none,,debt,1.5,recovery,6,10.0,923,612,612,150,161,0,144,468,21,14,29.40689514222933,9.772234748918443,0.9644748325153821,121,157,156,1,-402.84552122774346,893.6435623312329,-1856.9794904104149,0,0.0,1000.0,36.66407192081795,-963.335928079182,36.66407192081795,0.23529411764705882,17,False,0.48123502006676816,True,False
8df4c665a689,64ccd4209904,,none,,debt,1.5,net_win,6,10.0,923,596,596,141,186,0,137,459,21,14,29.848359347687378,9.77692583371864,0.9738998445645805,118,187,168,0,-391.52437476887707,697.5797741141741,-1665.3397700370915,0,0.0,1000.0,32.24000407708215,-967.7599959229178,32.24000407708215,0.22986577181208054,17,False,0.4188813518208583,True,False
e950a5a53c65,64ccd4209904,,none,,debt,1.5,be_or_win,6,10.0,923,596,596,141,186,0,137,459,21,14,29.848359347687378,9.77692583371864,0.9738998445645805,118,187,168,0,-391.52437476887707,697.5797741141741,-1665.3397700370915,0,0.0,1000.0,32.24000407708215,-967.7599959229178,32.24000407708215,0.22986577181208054,17,False,0.4188813518208583,True,False
4e96ae2d1b55,64ccd4209904,,none,,debt,2.0,recovery,6,10.0,923,512,512,117,294,0,110,402,21,12,22.706162439937543,9.76084501022613,0.986468172363827,100,196,196,0,-341.0806831957996,464.9098711787889,-1450.5844880968568,0,0.0,1000.0,14.325383081932205,-985.6746169180678,14.325383081932205,0.21484375,17,False,0.3204983060233486,True,False
9e98bb0c05bb,64ccd4209904,,none,,debt,2.0,net_win,6,10.0,923,608,608,146,169,0,143,465,20,12,59.10671798411522,9.745489627839804,0.9334852893832822,128,184,169,0,-403.48858664151584,933.5334983367616,-1863.9559344701486,0,0.0,1000.0,69.57756386661251,-930.4224361333875,69.57756386661251,0.23519736842105263,17,False,0.5008345321222035,True,False
2803f4647700,64ccd4209904,,none,,debt,2.0,be_or_win,6,10.0,923,608,608,146,169,0,143,465,20,12,59.10671798411522,9.745489627839804,0.9334852893832822,128,184,169,0,-403.48858664151584,933.5334983367616,-1863.9559344701486,0,0.0,1000.0,69.57756386661251,-930.4224361333875,69.57756386661251,0.23519736842105263,17,False,0.5008345321222035,True,False
da2d949370f8,64ccd4209904,,none,,factorial,2.0,recovery,6,10.0,923,459,459,117,347,0,99,360,21,10,24.0,9.76786692995518,0.9897807882062999,79,155,155,0,-316.7529204992109,346.07013751179284,-1335.8509257180917,0,0.0,1000.0,10.219211793700103,-989.7807882062999,10.219211793700103,0.21568627450980393,17,False,0.2590634410241259,True,False
bc7f927acad2,64ccd4209904,,none,,factorial,2.0,net_win,6,10.0,923,583,583,139,201,0,130,453,21,11,24.0,9.724497833809135,0.9807061211905906,107,190,167,0,-391.4657986173988,632.5983727120806,-1607.546734578137,0,0.0,1000.0,25.0516381339442,-974.9483618660558,25.0516381339442,0.22298456260720412,17,False,0.3935178736051436,True,False
7fb867e236d5,64ccd4209904,,none,,factorial,2.0,be_or_win,6,10.0,923,583,583,139,201,0,130,453,21,11,24.0,9.724497833809135,0.9807061211905906,107,190,167,0,-391.4657986173988,632.5983727120806,-1607.546734578137,0,0.0,1000.0,25.0516381339442,-974.9483618660558,25.0516381339442,0.22298456260720412,17,False,0.3935178736051436,True,False
2c27e8b87142,391a05cf416c,,entry,0.5,fixed,1.0,recovery,6,10.0,923,811,811,112,0,0,102,709,32,32,1.0,2.8096639845772726,0.6046957646882285,45,107,0,107,-604.6957646882285,197.5709915443906,-802.2667562326185,0,0.0,1000.0,395.30423531177144,-604.6957646882286,395.30423531177144,0.12577065351418001,17,False,0.24626595831063527,True,False
c9c5f09872d6,391a05cf416c,,entry,0.5,double,1.5,recovery,6,10.0,923,448,448,68,407,0,47,401,32,31,7.59375,9.785105450775905,0.9923152208819254,32,109,82,27,-385.3655090138222,178.72025113614384,-1168.6140565594276,0,0.0,1000.0,10.106194576714868,-989.8938054232851,10.106194576714868,0.10491071428571429,15,False,0.1529335113958176,True,False
fe20f04264cc,391a05cf416c,,entry,0.5,double,1.5,net_win,6,10.0,923,525,525,75,323,0,63,462,31,31,7.59375,9.779403914819195,0.98699820348263,49,152,109,29,-380.4833373378258,262.5970023596166,-1247.0445979137594,0,0.0,1000.0,15.55240444585757,-984.4475955541425,15.55240444585757,0.12,17,False,0.21057547003445404,True,False
ab435b9096bc,391a05cf416c,,entry,0.5,double,1.5,be_or_win,6,10.0,923,810,810,112,1,0,101,709,32,32,7.59375,9.437893294175296,0.8329758849853,83,416,1,1,-605.0110948769078,244.56019520943016,-1074.3655298746128,0,0.0,1000.0,170.19466533481727,-829.8053346651827,170.19466533481727,0.12469135802469136,17,False,0.22763220562183556,True,False
f8dda3ed7c56,391a05cf416c,,entry,0.5,double,2.0,recovery,6,10.0,923,484,484,75,364,0,65,419,30,30,16.0,9.778286015563062,0.9849594824920354,58,178,178,0,-320.47499079490206,294.7085984098954,-1273.3267205081227,0,0.0,1000.0,21.381877901771816,-978.6181220982282,21.381877901771816,0.13429752066115702,17,False,0.23144774523563877,True,False
4c4c528017e4,391a05cf416c,,entry,0.5,double,2.0,net_win,6,10.0,923,497,497,72,354,0,66,431,26,26,16.0,9.79280893793329,0.9851295795134248,58,183,175,0,-331.9196638078004,342.32549750323363,-1321.1137166228507,0,0.0,1000.0,21.211780880382264,-978.7882191196177,21.211780880382264,0.13279678068410464,17,False,0.2591188731113297,True,False
d863cd7f7785,391a05cf416c,,entry,0.5,double,2.0,be_or_win,6,10.0,923,766,766,106,51,0,99,667,32,32,16.0,9.748526007692012,0.9721315176299904,85,422,36,0,-553.1767424659943,261.2942341408183,-1230.0837299070338,0,0.0,1000.0,31.21050423378592,-968.789495766214,31.21050423378592,0.12924281984334204,17,False,0.21241987662137937,True,False
71d779c80068,391a05cf416c,,entry,0.5,debt,1.0,recovery,6,10.0,923,520,520,74,329,0,63,457,35,35,20.986158364932294,9.750748223029419,0.9893730134488781,50,137,120,17,-368.530004273739,233.74240813310524,-1219.126385022166,0,0.0,1000.0,14.616023110940235,-985.3839768890598,14.616023110940235,0.12115384615384615,17,False,0.1917294310128932,True,False
1373fe2bc343,391a05cf416c,,entry,0.5,debt,1.0,net_win,6,10.0,923,539,539,81,303,0,66,473,35,35,20.986158364932294,9.700038397167464,0.9885107425005735,53,146,118,15,-388.10680540076356,296.06471787873494,-1281.734463657717,0,0.0,1000.0,14.330254221017555,-985.6697457789825,14.330254221017555,0.12244897959183673,17,False,0.2309875612097125,True,False
10d530b8292c,391a05cf416c,,entry,0.5,debt,1.0,be_or_win,6,10.0,923,790,790,110,23,0,100,690,31,31,22.288343996390722,8.8211514012116,0.9211947016544731,83,426,22,0,-562.2984816690246,251.84204789699191,-1173.0367495514638,0,0.0,1000.0,78.80529834552682,-921.1947016544732,78.80529834552682,0.12658227848101267,17,False,0.21469237685288992,True,False
9db11e1f1f1d,391a05cf416c,,entry,0.5,debt,1.5,recovery,6,10.0,923,513,513,77,333,0,66,447,53,36,24.665349908134203,9.802534210159196,0.9886383006700691,55,166,163,3,-354.93106704357064,228.24067289404258,-1214.037976842522,0,0.0,1000.0,14.202696051521965,-985.7973039484781,14.202696051521965,0.1286549707602339,17,False,0.18800126293219624,True,False
152e7da7a389,391a05cf416c,,entry,0.5,debt,1.5,net_win,6,10.0,923,532,532,79,312,0,64,468,53,36,24.665349908134203,9.80201978013888,0.9906005578813138,54,178,165,3,-371.5135843052138,311.76685395301695,-1302.3674118343313,0,0.0,1000.0,9.39944211868617,-990.6005578813139,9.39944211868617,0.12030075187969924,17,False,0.23938471672437356,True,False
d241bfa0f436,391a05cf416c,,entry,0.5,debt,1.5,be_or_win,6,10.0,923,757,757,102,64,0,93,664,30,30,24.435311447519325,9.768885292239077,0.9679988106539416,86,438,57,0,-545.0284183331875,272.1279195873395,-1238.68899376723,0,0.0,1000.0,33.43892582010925,-966.5610741798907,33.43892582010925,0.12285336856010567,17,False,0.21969027008120554,True,False
9ddac9681a5f,391a05cf416c,,entry,0.5,debt,2.0,recovery,6,10.0,923,519,519,71,333,0,67,452,44,27,23.46509242669549,9.750918327131494,0.9867837004058175,60,192,192,0,-347.56979561746925,274.91978294852,-1261.0068699946787,0,0.0,1000.0,13.912912953840195,-986.0870870461598,13.912912953840195,0.12909441233140656,17,False,0.21801608658141577,True,False
5fcb5fe31d98,391a05cf416c,,entry,0.5,debt,2.0,net_win,6,10.0,923,541,541,76,306,0,69,472,44,33,26.10153181615965,9.78965263118569,0.9866930179652985,62,202,195,0,-363.9232191706173,286.78773935381645,-1272.7841439594574,0,0.0,1000.0,14.003595394359213,-985.9964046056408,14.003595394359213,0.12754158964879853,17,False,0.22532315531654803,True,False
d708fa9e3159,391a05cf416c,,entry,0.5,debt,2.0,be_or_win,6,10.0,923,700,700,93,130,0,88,612,30,30,29.285761402380558,9.801188227097427,0.9869134412489537,85,435,93,0,-507.93736585669154,256.0638641949814,-1242.2806920842772,0,0.0,1000.0,13.783172110704054,-986.2168278892959,13.783172110704054,0.12571428571428572,17,False,0.20612399904997467,True,False
58ee6f075b36,391a05cf416c,,entry,0.5,factorial,2.0,recovery,6,10.0,923,534,534,77,312,0,63,471,75,53,24.0,9.728519021313678,0.9837135820966953,54,213,213,0,-362.2171006464943,231.1439305396872,-1211.5542114219945,0,0.0,1000.0,19.589719117693274,-980.4102808823068,19.589719117693274,0.11797752808988764,17,False,0.19078298631672028,True,False
cf814da35eda,391a05cf416c,,entry,0.5,factorial,2.0,net_win,6,10.0,923,536,536,75,312,0,61,475,75,53,24.0,9.801709991666229,0.9850276859942411,52,219,210,0,-378.12592813702474,209.73287397801178,-1188.4191995784456,0,0.0,1000.0,21.31367439956606,-978.686325600434,21.31367439956606,0.11380597014925373,17,False,0.17648055000492077,True,False
0946fe76094d,391a05cf416c,,entry,0.5,factorial,2.0,be_or_win,6,10.0,923,766,766,103,54,0,96,670,31,31,24.0,9.760846468964886,0.97040480825762,85,433,48,0,-556.2220469661271,273.52632456122524,-1238.906027347354,0,0.0,1000.0,34.6202972138719,-965.3797027861281,34.6202972138719,0.12532637075718014,17,False,0.22078052614440646,True,False
a62edf0f9209,1d0a6965e1ac,,entry,1.0,fixed,1.0,recovery,6,10.0,923,769,769,154,0,0,135,634,30,17,1.0,2.8079342265181335,0.5776302044464341,62,93,0,93,-577.6302044464336,258.53966261090403,-836.1698670573383,0,0.0,1000.0,422.36979555356595,-577.630204446434,422.36979555356595,0.1755526657997399,17,False,0.3091951441885376,True,False
9bc9d410c807,1d0a6965e1ac,,entry,1.0,double,1.5,recovery,6,10.0,923,542,542,108,273,0,88,454,29,17,7.59375,9.792859532964549,0.989625651977287,67,120,91,29,-393.1256234421791,486.51814426561265,-1469.9925848673897,0,0.0,1000.0,16.525559398221993,-983.474440601778,16.525559398221993,0.16236162361623616,17,False,0.3309663934866054,True,False
