arm,feature,n,top_n,descriptive_auc,top_gross_bp,top_net_bp,top_win_rate,top_matched_actual_bp,top_random_bp,top_excess_bp,val_auc
v1,relative_volume,86,9,0.4585365853658537,-105.0065490060618,-125.0065490060618,0.4444444444444444,-100.836680275909,-244.60571830989224,143.76903803398332,not_applicable_no_training
v1,tr_expansion,86,9,0.5013550135501355,300.41451463203697,280.4145146320369,0.5555555555555556,299.8945131364166,247.47932621521863,52.41518692119802,not_applicable_no_training
v2,relative_volume,1414,142,0.5184674698168531,-91.46318629863268,-111.46318629863268,0.33098591549295775,-108.36871289784625,90.03925929641305,-198.4079721942592,not_applicable_no_training
v2,tr_expansion,1414,142,0.533568253679299,170.96619682441383,150.96619682441377,0.4014084507042254,151.043410172298,117.09177358182976,33.951636590468254,not_applicable_no_training
