arm,period,start,end,anchors,positive_events,negative_events,unknown_events,already_tracking,new_tracking_opportunities,signals,unique_matched,unmatched,duplicates,unknown_signals,precision_all,precision_adjudicated,eligible_asset_hours,false_alerts_per_100_asset_days,hits_0,recall_0,new_tracking_recall_0,hits_1,recall_1,new_tracking_recall_1,hits_2,recall_2,new_tracking_recall_2,hits_6,recall_6,new_tracking_recall_6,large_positive_events,large_recall_1,target_80_met
v1,full,2026-07-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,8046,1660,6240,146,63,1597,86,34,48,0,4,0.3953488372093023,0.4146341463414634,395158,0.2915289580370383,10,0.006024096385542169,0.006261740763932373,14,0.008433734939759036,0.008766437069505322,19,0.01144578313253012,0.011897307451471509,34,0.020481927710843374,0.021289918597370068,947,0.011615628299894404,False
v1,first31,2026-07-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,3972,630,3342,0,14,616,35,13,22,0,0,0.37142857142857144,0.37142857142857144,199779,0.2642920427071914,3,0.004761904761904762,0.00487012987012987,5,0.007936507936507936,0.008116883116883116,6,0.009523809523809525,0.00974025974025974,13,0.020634920634920634,0.021103896103896104,280,0.017857142857142856,False
v1,last30,2026-08-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,4074,1030,2898,146,49,981,51,21,26,0,4,0.4117647058823529,0.44680851063829785,195379,0.31937925775032117,7,0.006796116504854369,0.007135575942915392,9,0.008737864077669903,0.009174311926605505,13,0.01262135922330097,0.013251783893985729,21,0.020388349514563107,0.021406727828746176,667,0.008995502248875561,False
v1,case_night,2026-08-19 10:00:00+00:00,2026-08-19 22:00:00+00:00,186,144,42,0,7,137,13,9,4,0,0,0.6923076923076923,0.6923076923076923,3252,2.952029520295203,4,0.027777777777777776,0.029197080291970802,5,0.034722222222222224,0.0364963503649635,6,0.041666666666666664,0.043795620437956206,8,0.05555555555555555,0.058394160583941604,91,0.03296703296703297,False
v1,week_2026-07-06,2026-07-10 00:00:00+00:00,2026-07-13 00:00:00+00:00,385,51,334,0,1,50,4,2,2,0,0,0.5,0.5,19207,0.24990888738480763,1,0.0196078431372549,0.02,2,0.0392156862745098,0.04,2,0.0392156862745098,0.04,2,0.0392156862745098,0.04,30,0.06666666666666667,False
v1,week_2026-07-13,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,811,111,700,0,2,109,7,1,6,0,0,0.14285714285714285,0.14285714285714285,44996,0.32002844697306426,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.009009009009009009,0.009174311926605505,44,0.0,False
v1,week_2026-07-20,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,935,172,763,0,1,171,2,1,1,0,0,0.5,0.5,45192,0.053106744556558685,0,0.0,0.0,1,0.005813953488372093,0.005847953216374269,1,0.005813953488372093,0.005847953216374269,1,0.005813953488372093,0.005847953216374269,78,0.01282051282051282,False
v1,week_2026-07-27,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,855,98,757,0,1,97,9,4,5,0,0,0.4444444444444444,0.4444444444444444,45192,0.2655337227827934,1,0.01020408163265306,0.010309278350515464,1,0.01020408163265306,0.010309278350515464,1,0.01020408163265306,0.010309278350515464,4,0.04081632653061224,0.041237113402061855,49,0.02040816326530612,False
v1,week_2026-08-03,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,986,198,788,0,9,189,13,5,8,0,0,0.38461538461538464,0.38461538461538464,45192,0.4248539564524695,1,0.005050505050505051,0.005291005291005291,1,0.005050505050505051,0.005291005291005291,2,0.010101010101010102,0.010582010582010581,5,0.025252525252525252,0.026455026455026454,79,0.012658227848101266,False
v1,week_2026-08-10,2026-08-10 00:00:00+00:00,2026-08-17 00:00:00+00:00,807,107,700,0,3,104,7,2,5,0,0,0.2857142857142857,0.2857142857142857,45420,0.26420079260237783,1,0.009345794392523364,0.009615384615384616,1,0.009345794392523364,0.009615384615384616,2,0.018691588785046728,0.019230769230769232,2,0.018691588785046728,0.019230769230769232,53,0.018867924528301886,False
v1,week_2026-08-17,2026-08-17 00:00:00+00:00,2026-08-24 00:00:00+00:00,1155,549,606,0,38,511,20,11,9,0,0,0.55,0.55,45528,0.47443331576172904,5,0.009107468123861567,0.009784735812133072,7,0.012750455373406194,0.0136986301369863,8,0.014571948998178506,0.015655577299412915,11,0.020036429872495445,0.021526418786692758,398,0.010050251256281407,False
v1,week_2026-08-24,2026-08-24 00:00:00+00:00,2026-08-31 00:00:00+00:00,834,94,740,0,3,91,9,6,3,0,0,0.6666666666666666,0.6666666666666666,45679,0.1576216642220714,1,0.010638297872340425,0.01098901098901099,1,0.010638297872340425,0.01098901098901099,3,0.031914893617021274,0.03296703296703297,6,0.06382978723404255,0.06593406593406594,70,0.014285714285714285,False
v1,week_2026-08-31,2026-08-31 00:00:00+00:00,2026-09-07 00:00:00+00:00,1008,261,747,0,5,256,10,1,9,0,0,0.1,0.1,45696,0.4726890756302521,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.007662835249042145,0.0078125,138,0.0,False
v1,week_2026-09-07,2026-09-07 00:00:00+00:00,2026-09-09 00:00:00+00:00,270,19,105,146,0,19,5,1,0,0,4,0.2,1.0,13056,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,0.0,False
v2,full,2026-07-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,8046,1660,6240,146,548,1112,1414,338,1057,0,19,0.23903818953323905,0.24229390681003585,395158,6.419710596773949,84,0.05060240963855422,0.07553956834532374,180,0.10843373493975904,0.1618705035971223,246,0.14819277108433734,0.22122302158273383,338,0.2036144578313253,0.3039568345323741,947,0.12143611404435058,False
v2,first31,2026-07-10 00:00:00+00:00,2026-08-10 00:00:00+00:00,3972,630,3342,0,181,449,656,138,518,0,0,0.21036585365853658,0.21036585365853658,199779,6.222876278287508,36,0.05714285714285714,0.0801781737193764,76,0.12063492063492064,0.16926503340757237,102,0.1619047619047619,0.22717149220489977,138,0.21904761904761905,0.30734966592427615,280,0.16785714285714284,False
v2,last30,2026-08-10 00:00:00+00:00,2026-09-09 00:00:00+00:00,4074,1030,2898,146,367,663,758,200,539,0,19,0.2638522427440633,0.2706359945872801,195379,6.620977689516273,48,0.04660194174757282,0.07239819004524888,104,0.10097087378640776,0.1568627450980392,144,0.13980582524271845,0.2171945701357466,200,0.1941747572815534,0.30165912518853694,667,0.10194902548725637,False
v2,case_night,2026-08-19 10:00:00+00:00,2026-08-19 22:00:00+00:00,186,144,42,0,26,118,80,48,32,0,0,0.6,0.6,3252,23.616236162361623,15,0.10416666666666667,0.1271186440677966,26,0.18055555555555555,0.22033898305084745,35,0.24305555555555555,0.2966101694915254,47,0.3263888888888889,0.3983050847457627,91,0.18681318681318682,False
v2,week_2026-07-06,2026-07-10 00:00:00+00:00,2026-07-13 00:00:00+00:00,385,51,334,0,14,37,65,18,47,0,0,0.27692307692307694,0.27692307692307694,19207,5.872858853542979,5,0.09803921568627451,0.13513513513513514,8,0.1568627450980392,0.21621621621621623,12,0.23529411764705882,0.32432432432432434,18,0.35294117647058826,0.4864864864864865,30,0.23333333333333334,False
v2,week_2026-07-13,2026-07-13 00:00:00+00:00,2026-07-20 00:00:00+00:00,811,111,700,0,29,82,135,19,116,0,0,0.14074074074074075,0.14074074074074075,44996,6.187216641479242,3,0.02702702702702703,0.036585365853658534,10,0.09009009009009009,0.12195121951219512,12,0.10810810810810811,0.14634146341463414,19,0.17117117117117117,0.23170731707317074,44,0.11363636363636363,False
v2,week_2026-07-20,2026-07-20 00:00:00+00:00,2026-07-27 00:00:00+00:00,935,172,763,0,47,125,134,23,111,0,0,0.17164179104477612,0.17164179104477612,45192,5.894848645778014,8,0.046511627906976744,0.064,16,0.09302325581395349,0.128,19,0.11046511627906977,0.152,24,0.13953488372093023,0.192,78,0.14102564102564102,False
v2,week_2026-07-27,2026-07-27 00:00:00+00:00,2026-08-03 00:00:00+00:00,855,98,757,0,21,77,123,32,91,0,0,0.2601626016260163,0.2601626016260163,45192,4.83271375464684,6,0.061224489795918366,0.07792207792207792,17,0.17346938775510204,0.22077922077922077,25,0.25510204081632654,0.3246753246753247,31,0.3163265306122449,0.4025974025974026,49,0.20408163265306123,False
v2,week_2026-08-03,2026-08-03 00:00:00+00:00,2026-08-10 00:00:00+00:00,986,198,788,0,70,128,199,46,153,0,0,0.23115577889447236,0.23115577889447236,45192,8.125331917153478,14,0.0707070707070707,0.109375,25,0.12626262626262627,0.1953125,34,0.1717171717171717,0.265625,46,0.23232323232323232,0.359375,79,0.17721518987341772,False
v2,week_2026-08-10,2026-08-10 00:00:00+00:00,2026-08-17 00:00:00+00:00,807,107,700,0,22,85,111,24,87,0,0,0.21621621621621623,0.21621621621621623,45420,4.597093791281374,1,0.009345794392523364,0.011764705882352941,9,0.08411214953271028,0.10588235294117647,16,0.14953271028037382,0.18823529411764706,24,0.22429906542056074,0.2823529411764706,53,0.07547169811320754,False
v2,week_2026-08-17,2026-08-17 00:00:00+00:00,2026-08-24 00:00:00+00:00,1155,549,606,0,252,297,233,94,139,0,0,0.4034334763948498,0.4034334763948498,45528,7.327358987875593,29,0.052823315118397086,0.09764309764309764,54,0.09836065573770492,0.18181818181818182,71,0.12932604735883424,0.23905723905723905,94,0.17122040072859745,0.3164983164983165,398,0.09798994974874371,False
v2,week_2026-08-24,2026-08-24 00:00:00+00:00,2026-08-31 00:00:00+00:00,834,94,740,0,18,76,150,26,124,0,0,0.17333333333333334,0.17333333333333334,45679,6.515028787845618,9,0.09574468085106383,0.11842105263157894,14,0.14893617021276595,0.18421052631578946,21,0.22340425531914893,0.27631578947368424,26,0.2765957446808511,0.34210526315789475,70,0.12857142857142856,False
v2,week_2026-08-31,2026-08-31 00:00:00+00:00,2026-09-07 00:00:00+00:00,1008,261,747,0,65,196,223,52,171,0,0,0.23318385650224216,0.23318385650224216,45696,8.981092436974789,9,0.034482758620689655,0.04591836734693878,26,0.09961685823754789,0.1326530612244898,35,0.13409961685823754,0.17857142857142858,53,0.20306513409961685,0.27040816326530615,138,0.10869565217391304,False
v2,week_2026-09-07,2026-09-07 00:00:00+00:00,2026-09-09 00:00:00+00:00,270,19,105,146,10,9,41,4,18,0,19,0.0975609756097561,0.18181818181818182,13056,3.3088235294117645,0,0.0,0.0,1,0.05263157894736842,0.1111111111111111,1,0.05263157894736842,0.1111111111111111,3,0.15789473684210525,0.3333333333333333,8,0.125,False
