instrument,asset,symbol,venue,minutes,bar_open,confirmed_at,requested_bar_open,requested_confirmed_cutoff,open,high,low,close,atr,rv,expansion,ready,v1_burst,v1_route,v1_trend_side,v1_quiet_bars,v1_pending_side,v2_burst,v2_route,v2_trend_side,v2_quiet_bars,v2_pending_side
okx:0G-USDT-SWAP:segment0,0G,0G-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,0.1402,0.141,0.1401,0.1404,0.0016050213689858962,0.8133398400055771,0.5424125048088768,True,False,,0,18,0,False,,0,0,0
okx:0G-USDT-SWAP:segment0,0G,0G-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,0.1405,0.1441,0.1404,0.1433,0.0017546626997726185,1.9127524966449971,2.3052652578312944,True,False,,0,18,0,False,,0,0,0
okx:0G-USDT-SWAP:segment0,0G,0G-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,0.1435,0.1476,0.1433,0.1465,0.001936472506931717,3.4818928114109062,2.4506134430037307,True,False,,0,18,0,False,,0,0,0
okx:1INCH-USDT-SWAP:segment0,1INCH,1INCH-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,0.08341,0.08365,0.08328,0.08357,0.00034391456901747026,0.8990357311525194,1.082162461275858,True,False,,0,30,0,False,,1,0,0
okx:1INCH-USDT-SWAP:segment0,1INCH,1INCH-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,0.08358,0.085,0.08353,0.08479,0.00042434924265908046,4.548312081158796,4.2743173230481535,True,False,,0,30,0,False,,1,0,0
okx:1INCH-USDT-SWAP:segment0,1INCH,1INCH-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,0.08477,0.08792,0.08472,0.08605,0.0006226100110405744,18.690333125595288,7.540958433077385,True,False,,0,30,0,False,,1,0,0
okx:2Z-USDT-SWAP:segment0,2Z,2Z-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,0.0473,0.04813,0.04729,0.04809,0.000477716111521788,2.065208869759041,1.8672968997014991,True,False,,0,108,0,False,,0,0,0
okx:2Z-USDT-SWAP:segment0,2Z,2Z-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,0.04813,0.04837,0.04766,0.04829,0.0004943078178416604,2.341062693700758,1.4862383387871567,True,False,,0,108,0,False,,0,0,0
okx:2Z-USDT-SWAP:segment0,2Z,2Z-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,0.0483,0.04966,0.04801,0.04869,0.0005768572594243995,5.230509040495322,3.338001019697696,True,False,,0,108,0,False,,0,0,0
okx:A-USDT-SWAP:segment0,A,A-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,0.06096,0.06163,0.06083,0.0611,0.00040920957458067227,1.5031753786028335,2.1099896867938024,True,False,,0,12,0,False,,0,12,0
okx:A-USDT-SWAP:segment0,A,A-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,0.06113,0.06197,0.06111,0.06189,0.00044212317639633823,0.9089461814000795,2.12604996080922,True,False,,0,12,0,False,,0,12,0
okx:A-USDT-SWAP:segment0,A,A-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,0.06187,0.06401,0.06184,0.06298,0.0005655429495108853,5.894131694158228,4.9081344653479935,True,False,,0,12,0,False,,0,12,0
okx:AAVE-USDT-SWAP:segment0,AAVE,AAVE-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,89.5,89.65,89.07,89.3,0.6579481924421894,2.9076113909337464,0.8735673776058862,True,False,,0,26,0,False,,0,0,0
okx:AAVE-USDT-SWAP:segment0,AAVE,AAVE-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,89.29,91.23,89.28,91.12,0.7502376072677475,4.374095311894615,2.9637591871207087,True,False,,0,26,0,True,progressive,1,0,0
okx:AAVE-USDT-SWAP:segment0,AAVE,AAVE-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,91.11,94.73,91.1,92.86,0.9559349210343376,16.06161657785141,4.838467126727923,True,False,,0,26,0,False,,1,0,0
