instrument,asset,symbol,venue,minutes,bar_open,confirmed_at,requested_bar_open,requested_confirmed_cutoff,open,high,low,close,atr,rv,expansion,ready,v1_burst,v1_route,v1_trend_side,v1_quiet_bars,v1_pending_side,v2_burst,v2_route,v2_trend_side,v2_quiet_bars,v2_pending_side
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 06:00:00+00:00,2026-08-19 07:00:00+00:00,False,False,58.231,58.603,58.023,58.477,0.45871440085119003,1.5957745500034748,1.2906535295402342,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 07:00:00+00:00,2026-08-19 08:00:00+00:00,False,False,58.477,58.542,58.16,58.16,0.4532348007903911,1.0359641617773834,0.8327621702984823,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 08:00:00+00:00,2026-08-19 09:00:00+00:00,False,False,58.161,58.499,58.087,58.295,0.45028945787679164,1.1439127159081397,0.9090211062379078,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 09:00:00+00:00,2026-08-19 10:00:00+00:00,False,False,58.294,58.469,58.217,58.25,0.4361259251713067,0.4439657337388732,0.5596400173084993,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 10:00:00+00:00,2026-08-19 11:00:00+00:00,False,False,58.252,58.524,58.144,58.524,0.4321169305162136,0.7272702158759718,0.871307982552841,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 11:00:00+00:00,2026-08-19 12:00:00+00:00,False,False,58.523,58.955,58.5,58.73,0.4337514354793411,1.4955923766460415,1.0529557345888954,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 12:00:00+00:00,2026-08-19 13:00:00+00:00,False,False,58.731,59.369,58.651,59.279,0.4540549043736736,2.33323176949396,1.6553259338647046,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 13:00:00+00:00,2026-08-19 14:00:00+00:00,False,True,59.28,59.414,58.583,58.637,0.4809795540612685,3.4446619264791556,1.830175144008829,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 14:00:00+00:00,2026-08-19 15:00:00+00:00,True,True,58.637,59.935,58.621,59.879,0.5404810144854636,4.490046337486076,2.7319248581460887,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 15:00:00+00:00,2026-08-19 16:00:00+00:00,True,False,59.88,61.88,59.643,61.851,0.6616609420222164,15.313485264630728,4.138905789557881,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 16:00:00+00:00,2026-08-19 17:00:00+00:00,False,False,61.85,62.645,61.534,61.959,0.6937565890206299,6.828720516305973,1.6791077263900225,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 17:00:00+00:00,2026-08-19 18:00:00+00:00,False,False,61.958,62.423,61.577,62.182,0.7046311183762993,3.635074683387879,1.2194478775247302,True,False,,0,23,0,False,,1,0,0
okx:HYPE-USDT-SWAP:segment0,HYPE,HYPE-USDT-SWAP,okx,60,2026-08-19 18:00:00+00:00,2026-08-19 19:00:00+00:00,False,False,62.181,62.497,61.755,62.235,0.7073003242065635,1.5897967676783102,1.0530332547756451,True,False,,0,23,0,False,,1,0,0
