arm,period,candidates,valid,matched,invalid,natural_exits,censored,mean_net_bp,mean_gross_bp,wins,win_rate,natural_wins,natural_win_rate,median_peak_r,median_net_r,max_peak_r,max_net_r,paired_actual_net_bp,paired_random_net_bp,mean_excess_bp,asset_balanced_excess_bp,permutation_assets,permutation_p,account_return_not_computed,holm_p
v1,full,86,86,80,0,78,8,643.9492051333505,663.9492051333505,41,0.47674418604651164,37,0.47435897435897434,1.5531223162802115,-0.6014295588235312,44.34215167548499,26.149044091710756,683.994736114565,279.7954353480858,404.19930076647915,484.2109539736383,69,0.08299170082991701,True,0.16598340165983402
v1,first31,35,35,33,0,35,0,-122.81504516455074,-102.81504516455071,11,0.3142857142857143,11,0.3142857142857143,0.7910447761194044,-1.032607843137254,16.32500000000003,7.28905000000002,-94.58789413418606,120.63774503646135,-215.2256391706474,-193.72423778613967,29,0.9497050294970503,True,
v1,last30,51,51,47,0,43,8,1170.159965141714,1190.159965141714,30,0.5882352941176471,26,0.6046511627906976,2.6252723311546866,0.7109311163895505,44.34215167548499,26.149044091710756,1230.6591360764542,391.5444519498646,839.1146841265893,904.8863631650228,42,0.034996500349965,True,
v1,case_night,13,13,12,0,13,0,2431.828483672508,2451.828483672508,12,0.9230769230769231,12,0.9230769230769231,12.00000000000003,7.704137931034503,40.166666666666636,20.098083333333317,2477.148212074491,1153.5125862253844,1323.635625849106,1323.635625849106,12,0.028497150284971504,True,
v1,week_2026-07-06,4,4,3,0,4,0,-199.45954331308303,-179.45954331308303,1,0.25,1,0.25,1.7813157894736835,-1.0443228744939268,2.7981651376146806,0.9343669724770666,-84.68715584404652,-11.491982413775654,-73.19517343027086,-73.19517343027086,3,,True,
v1,week_2026-07-13,7,7,7,0,7,0,-127.6461991398576,-107.6461991398576,2,0.2857142857142857,2,0.2857142857142857,0.7234042553191491,-1.0340473372781074,2.83003952569171,1.2107004608294918,-127.6461991398576,293.555613864854,-421.20181300471165,-421.20181300471165,7,1.0,True,
v1,week_2026-07-20,2,2,1,0,2,0,-280.09083337379394,-260.09083337379394,1,0.5,1,0.5,2.5330065359477176,-0.41159281045751467,4.311111111111121,0.20942222222222476,73.16770186335476,-195.29910157912755,268.46680344248233,268.46680344248233,1,,True,
v1,week_2026-07-27,9,9,9,0,9,0,-14.001764762198743,5.998235237801263,2,0.2222222222222222,2,0.2222222222222222,1.2293577981651438,-1.0439062500000005,16.32500000000003,7.28905000000002,-14.001764762198743,107.87682010137763,-121.8785848635764,-121.8785848635764,9,0.657034296570343,True,
v1,week_2026-08-03,13,13,13,0,13,0,-147.76672799388945,-127.76672799388945,5,0.38461538461538464,5,0.38461538461538464,0.5298507462686545,-1.0154064303380048,6.371428571428562,3.320857142857136,-147.76672799388945,91.15691977363858,-238.92364776752808,-238.92364776752808,13,0.936006399360064,True,
v1,week_2026-08-10,7,7,7,0,7,0,-531.6509300437552,-511.6509300437551,1,0.14285714285714285,1,0.14285714285714285,0.3055555555555534,-1.0497729729729746,2.7194767441860415,0.4196831395348818,-531.6509300437552,-253.9220691127253,-277.72886093102994,-277.72886093102994,7,0.837916208379162,True,
