venue,symbol,asset,exclude_reason,tick,tick_origin,tick_error,instrument,minutes,source_features_path,status,bars,burst_candidates,focus_candidates
okx,0G-USDT-SWAP,0G,,0.0001,raw.tickSz,,okx:0G-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/0G-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,6.0
okx,1INCH-USDT-SWAP,1INCH,,1e-05,raw.tickSz,,okx:1INCH-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/1INCH-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,6.0
okx,2Z-USDT-SWAP,2Z,,1e-05,raw.tickSz,,okx:2Z-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/2Z-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,A-USDT-SWAP,A,,1e-05,raw.tickSz,,okx:A-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/A-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,AAVE-USDT-SWAP,AAVE,,0.01,raw.tickSz,,okx:AAVE-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AAVE-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,ACH-USDT-SWAP,ACH,,1e-06,raw.tickSz,,okx:ACH-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ACH-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,7.0
okx,ACT-USDT-SWAP,ACT,,1e-06,raw.tickSz,,okx:ACT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ACT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,8.0
okx,ACU-USDT-SWAP,ACU,,1e-05,raw.tickSz,,okx:ACU-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ACU-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,3.0
okx,ADA-USDT-SWAP,ADA,,0.0001,raw.tickSz,,okx:ADA-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ADA-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,1.0
okx,AEON-USDT-SWAP,AEON,,1e-05,raw.tickSz,,okx:AEON-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AEON-USDT-SWAP/segment0_60_features.pkl.gz,included,1045.0,0.0,2.0
okx,AERO-USDT-SWAP,AERO,,0.0001,raw.tickSz,,okx:AERO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AERO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,0.0
okx,AEVO-USDT-SWAP,AEVO,,1e-05,raw.tickSz,,okx:AEVO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AEVO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,AGLD-USDT-SWAP,AGLD,,0.0001,raw.tickSz,,okx:AGLD-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AGLD-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,AI-USDT-SWAP,AI,,1e-05,raw.tickSz,,okx:AI-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AI-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,AIXBT-USDT-SWAP,AIXBT,,1e-05,raw.tickSz,,okx:AIXBT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AIXBT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,ALGO-USDT-SWAP,ALGO,,1e-05,raw.tickSz,,okx:ALGO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ALGO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,ALLO-USDT-SWAP,ALLO,,1e-05,raw.tickSz,,okx:ALLO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ALLO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,ANIME-USDT-SWAP,ANIME,,1e-06,raw.tickSz,,okx:ANIME-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ANIME-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,APE-USDT-SWAP,APE,,1e-05,raw.tickSz,,okx:APE-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/APE-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,API3-USDT-SWAP,API3,,0.0001,raw.tickSz,,okx:API3-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/API3-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,4.0
okx,APR-USDT-SWAP,APR,,0.0001,raw.tickSz,,okx:APR-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/APR-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,3.0
okx,APT-USDT-SWAP,APT,,0.0001,raw.tickSz,,okx:APT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/APT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,AR-USDT-SWAP,AR,,0.001,raw.tickSz,,okx:AR-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AR-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,ARB-USDT-SWAP,ARB,,1e-05,raw.tickSz,,okx:ARB-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ARB-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,ARKM-USDT-SWAP,ARKM,,1e-05,raw.tickSz,,okx:ARKM-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ARKM-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,6.0
okx,ARX-USDT-SWAP,ARX,,0.0001,raw.tickSz,,okx:ARX-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ARX-USDT-SWAP/segment0_60_features.pkl.gz,included,1884.0,0.0,4.0
okx,ASTER-USDT-SWAP,ASTER,,0.0001,raw.tickSz,,okx:ASTER-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ASTER-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,2.0,7.0
okx,AT-USDT-SWAP,AT,,0.0001,raw.tickSz,,okx:AT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,2.0,4.0
okx,ATH-USDT-SWAP,ATH,,1e-06,raw.tickSz,,okx:ATH-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ATH-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,ATOM-USDT-SWAP,ATOM,,0.001,raw.tickSz,,okx:ATOM-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/ATOM-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,0.0
okx,AUCTION-USDT-SWAP,AUCTION,,0.001,raw.tickSz,,okx:AUCTION-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AUCTION-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,1.0
okx,AVAX-USDT-SWAP,AVAX,,0.001,raw.tickSz,,okx:AVAX-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AVAX-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,AVNT-USDT-SWAP,AVNT,,1e-05,raw.tickSz,,okx:AVNT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AVNT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,6.0
okx,AXS-USDT-SWAP,AXS,,0.0001,raw.tickSz,,okx:AXS-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AXS-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,AZTEC-USDT-SWAP,AZTEC,,1e-05,raw.tickSz,,okx:AZTEC-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/AZTEC-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,BABY-USDT-SWAP,BABY,,1e-06,raw.tickSz,,okx:BABY-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BABY-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,BAND-USDT-SWAP,BAND,,0.0001,raw.tickSz,,okx:BAND-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BAND-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,BARD-USDT-SWAP,BARD,,0.0001,raw.tickSz,,okx:BARD-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BARD-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,3.0
okx,BASED-USDT-SWAP,BASED,,1e-05,raw.tickSz,,okx:BASED-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BASED-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,BAT-USDT-SWAP,BAT,,1e-05,raw.tickSz,,okx:BAT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BAT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,3.0
okx,BCH-USDT-SWAP,BCH,,0.1,raw.tickSz,,okx:BCH-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BCH-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,3.0
okx,BEAT-USDT-SWAP,BEAT,,0.0001,raw.tickSz,,okx:BEAT-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BEAT-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,2.0
okx,BERA-USDT-SWAP,BERA,,0.0001,raw.tickSz,,okx:BERA-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BERA-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,BICO-USDT-SWAP,BICO,,1e-05,raw.tickSz,,okx:BICO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BICO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,4.0
okx,BIGTIME-USDT-SWAP,BIGTIME,,1e-06,raw.tickSz,,okx:BIGTIME-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BIGTIME-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,0.0,4.0
okx,BILL-USDT-SWAP,BILL,,1e-05,raw.tickSz,,okx:BILL-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BILL-USDT-SWAP/segment0_60_features.pkl.gz,included,3016.0,0.0,7.0
okx,BIO-USDT-SWAP,BIO,,1e-05,raw.tickSz,,okx:BIO-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BIO-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,4.0
okx,BLEND-USDT-SWAP,BLEND,,1e-05,raw.tickSz,,okx:BLEND-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BLEND-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,5.0
okx,BLUR-USDT-SWAP,BLUR,,1e-05,raw.tickSz,,okx:BLUR-USDT-SWAP:segment0,60.0,/Users/zhangzc/fable-trading/experiments/active/exp-altseason-multivenue-20260910-v1/results/markets/okx/BLUR-USDT-SWAP/segment0_60_features.pkl.gz,included,3144.0,1.0,2.0
