id,bb_length,bb_mult,stop_fraction,stoch_length,k_smooth,d_smooth,oversold,partial_fraction,be_cost_fraction,eligible,neighborhood_median_usdt,worst_net_mark,tv_stats_total_entries,tv_stats_natural,tv_stats_censored,tv_stats_wins,tv_stats_losses,tv_stats_win_rate,tv_stats_gross_r,tv_stats_net_r,tv_stats_mean_net_r,tv_stats_profit_factor,tv_stats_avg_win_r,tv_stats_avg_loss_r,tv_stats_max_realized_drawdown_r,tv_stats_max_realized_drawdown_usdt,tv_stats_max_loss_streak,tv_stats_gross_pnl,tv_stats_fees,tv_stats_net_pnl,tv_stats_partial,tv_stats_mean_hold_hours,tv_stats_boundary_mark_net_r,tv_stats_boundary_mark_net_pnl,tv_stats_ambiguous_bar_count,tv_stats_entries_open_beyond_target,tv_stats_same_open_be_approximations,tv_stats_marketable_be_approximations,tv_stats_cash_profit_factor,tv_equity_net_liquidation_mark_usdt,tv_equity_gross_mark_usdt,tv_equity_close_mtm_drawdown_usdt,tv_equity_close_mtm_drawdown_percent,tv_equity_ending_equity,tv_control_paired_n,tv_control_unpaired_n,tv_control_drawn,tv_control_censored,tv_control_paired_actual_mean_bp,tv_control_random_mean_bp,tv_control_excess_mean_bp,tv_control_month_blocks,tv_control_p,tv_control_all_boundary_mark_excess_bp,adverse_first_stats_total_entries,adverse_first_stats_natural,adverse_first_stats_censored,adverse_first_stats_wins,adverse_first_stats_losses,adverse_first_stats_win_rate,adverse_first_stats_gross_r,adverse_first_stats_net_r,adverse_first_stats_mean_net_r,adverse_first_stats_profit_factor,adverse_first_stats_avg_win_r,adverse_first_stats_avg_loss_r,adverse_first_stats_max_realized_drawdown_r,adverse_first_stats_max_realized_drawdown_usdt,adverse_first_stats_max_loss_streak,adverse_first_stats_gross_pnl,adverse_first_stats_fees,adverse_first_stats_net_pnl,adverse_first_stats_partial,adverse_first_stats_mean_hold_hours,adverse_first_stats_boundary_mark_net_r,adverse_first_stats_boundary_mark_net_pnl,adverse_first_stats_ambiguous_bar_count,adverse_first_stats_entries_open_beyond_target,adverse_first_stats_same_open_be_approximations,adverse_first_stats_marketable_be_approximations,adverse_first_stats_cash_profit_factor,adverse_first_equity_net_liquidation_mark_usdt,adverse_first_equity_gross_mark_usdt,adverse_first_equity_close_mtm_drawdown_usdt,adverse_first_equity_close_mtm_drawdown_percent,adverse_first_equity_ending_equity,adverse_first_control_paired_n,adverse_first_control_unpaired_n,adverse_first_control_drawn,adverse_first_control_censored,adverse_first_control_paired_actual_mean_bp,adverse_first_control_random_mean_bp,adverse_first_control_excess_mean_bp,adverse_first_control_month_blocks,adverse_first_control_p,adverse_first_control_all_boundary_mark_excess_bp
bb20_m1_sl0.3,20,1.0,0.003,5,3,3,20.0,0.5,0.0,True,-582612.3931806495,-647295.3047428983,4038,4037,1,943,3094,0.23358929898439434,80.90963850023704,-2610.5008982135387,-0.6466437696838094,0.32140988387596453,1.3111846382043877,-1.2433574699548402,2610.500898213601,646474.4567829026,26,18735.067699999894,665209.5244828999,-646474.4567829001,1961,1.5393650400462389,-0.3567451857068356,-115.80730000000582,354,0,3,79,0.3126237761143189,-646698.4637828985,18727.467699999892,646722.1400828985,646.7221400828986,-546698.4637828985,4037,1,0,0,-19.399313090514283,,,20,1.0,,4038,4037,1,943,3094,0.23358929898439434,77.47421144801956,-2613.940402738799,-0.6474957648597471,0.3211227723202318,1.3111846382043877,-1.2444691391614535,2613.9404027388628,647071.2977429025,26,18139.007699999904,665210.3054428999,-647071.2977429,1958,1.5399636693914625,-0.3567451857068356,-115.80730000000582,354,0,3,79,0.312425510114741,-647295.3047428983,18131.407699999894,647318.9810428984,647.3189810428984,-547295.3047428983,4037,1,0,0,-19.424872945792416,,,20,1.0,
bb20_m1_sl0.5,20,1.0,0.005,5,3,3,20.0,0.5,0.0,True,-600120.7019429981,-629614.0564809986,3802,3801,1,1024,2777,0.26940278873980533,-30.828775937891844,-1551.3020973612686,-0.40812999141311984,0.34080704006246737,0.7832356016416313,-0.8474380098819946,1551.467924690718,628130.7748794998,25,-3398.901499999949,624691.3545914993,-628090.2560914999,2400,1.8431553100061386,-0.21404711142410135,-115.80730000000582,670,0,7,252,0.33696295522132236,-628314.2630914989,-3406.501499999955,628623.862529499,626.8316059318428,-528314.2630914989,3801,1,0,0,-20.406499570655996,,,20,1.0,,3802,3801,1,1024,2777,0.26940278873980533,-34.14481475060925,-1554.6194949381593,-0.40900276109922634,0.340327295030705,0.7832356016416313,-0.8486326074970075,1554.7853222676085,629430.5682689998,25,-4698.520999999953,624691.5284809993,-629390.0494809999,2397,1.8438788038235554,-0.21404711142410135,-115.80730000000582,670,0,7,252,0.3365012373050286,-629614.0564809986,-4706.1209999999555,629923.6559189986,628.1276935070762,-529614.0564809986,3801,1,0,0,-20.450138054961318,,,20,1.0,
bb20_m1_sl0.75,20,1.0,0.0075,5,3,3,20.0,0.5,0.0,True,-587768.3527409984,-600120.7019429981,3621,3620,1,1065,2555,0.2941988950276243,-12.405982556904858,-977.7839112890334,-0.2701060528422744,0.36770727925387203,0.5339213956847265,-0.6052486096646839,978.5269362277546,598235.8343355,17,-3113.148999999874,594867.6802755002,-597980.8292754999,2697,2.084507366482505,-0.14269807428273426,-115.80730000000582,939,0,15,455,0.3604453255388763,-598204.8362754981,-3120.7489999998797,598728.9219854982,595.7477442135906,-498204.83627549815,3620,1,0,0,-20.25795396317058,,,20,1.0,,3621,3620,1,1066,2554,0.29447513812154696,-15.268713828176407,-980.6458997667353,-0.2708966573941258,0.3670576531057507,0.5334885988441904,-0.6066345912821622,981.3889247054564,600151.7000030002,17,-5029.852999999872,594866.8419430001,-599896.6949429999,2694,2.087177716390424,-0.14269807428273426,-115.80730000000582,939,0,15,455,0.35974465054349086,-600120.7019429981,-5037.452999999878,600644.7876529981,597.6540704452422,-500120.7019429981,3620,1,0,0,-20.317249304559432,,,20,1.0,
bb20_m1_sl1,20,1.0,0.01,5,3,3,20.0,0.5,0.0,True,-550534.9351209988,-587768.3527409984,3486,3485,1,1028,2457,0.2949784791965567,-24.784770438725623,-721.8171052181735,-0.20712112057910287,0.361758410587566,0.3979858131921142,-0.46029569441581886,722.456149870845,587842.2437790002,20,-15579.851000000253,571964.4947410006,-587544.3457410003,2857,2.195408895265423,-0.10702355571205067,-115.80730000000582,1146,0,25,614,0.3547803371538224,-587768.3527409984,-15587.451000000263,588292.4384509984,585.3632257864833,-487768.3527409984,3485,1,0,0,-20.71211205791029,,,20,1.0,,3486,3485,1,1029,2456,0.29526542324246774,-24.466854032657153,-721.4995067285113,-0.20702998758350397,0.36189074384930825,0.39765192996525583,-0.460375953852915,722.1385513811825,587533.2530790003,20,-15270.55100000025,571964.8040410007,-587235.3550410003,2857,2.19818268770923,-0.10702355571205067,-115.80730000000582,1146,0,25,614,0.3549384979228207,-587459.3620409984,-15278.15100000026,587983.4477509984,585.0557736061252,-487459.3620409984,3485,1,0,0,-20.702998758350393,,,20,1.0,
bb20_m1_sl1.5,20,1.0,0.015,5,3,3,20.0,0.5,0.0,True,-546487.0577749987,-550534.9351209988,3327,3326,1,978,2348,0.29404690318701143,-5.499092673379239,-448.99084862910524,-0.13499424192095769,0.3642871786522249,0.26307619396778026,-0.3008004115543417,449.3623610984686,550565.9331810015,19,-3856.633000000096,546454.2951210006,-550310.9281210001,3013,2.3403988775305673,-0.07134903714136713,-115.80730000000582,1372,0,35,803,0.3565732607396395,-550534.9351209988,-3864.2330000000948,551059.0208309988,548.3151999738692,-450534.93512099877,3326,1,0,0,-20.24913628814365,,,20,1.0,,3327,3326,1,979,2347,0.29434756464221284,-5.287148402666917,-448.7791163026636,-0.13493058217157655,0.3644290770604566,0.2628445328726513,-0.3008538193374475,449.1506287720271,550256.9424810015,19,-3547.3330000000933,546454.6044210007,-550001.9374210001,3013,2.3433052715975147,-0.07134903714136713,-115.80730000000582,1372,0,35,803,0.3567421925850294,-550225.9444209988,-3554.9330000001064,550750.0301309988,548.007747793511,-450225.9444209988,3326,1,0,0,-20.239587325736483,,,20,1.0,
bb20_m1_sl2,20,1.0,0.02,5,3,3,20.0,0.5,0.0,True,-529861.9244919993,-546487.0577749987,3257,3256,1,949,2307,0.29146191646191644,-11.594319474329483,-337.2165356373925,-0.10356773207536625,0.3523302805902621,0.19330319253276498,-0.22568758792847268,337.495169989414,546518.0558350012,22,-11487.687000000231,534775.363775,-546263.0507750002,3073,2.405226248976249,-0.05351177785602534,-115.80730000000582,1468,0,40,899,0.3470787197217893,-546487.0577749987,-11495.287000000244,547011.1434849987,544.2874777289912,-446487.0577749987,3256,1,0,0,-20.71354641507325,,,20,1.0,,3257,3256,1,950,2306,0.2917690417690418,-11.43536127129523,-337.0577363925613,-0.1035189608085262,0.3524716229000482,0.19312835757891728,-0.22572839379554754,337.3363707445828,546209.0651350012,22,-11178.387000000228,534775.673075,-545954.0600750003,3073,2.408169533169533,-0.05351177785602534,-115.80730000000582,1468,0,40,899,0.34724851267930074,-546178.0670749987,-11185.987000000227,546702.1527849988,543.9800255486331,-446178.06707499875,3256,1,0,0,-20.70379216170524,,,20,1.0,
bb20_m1_sl3,20,1.0,0.03,5,3,3,20.0,0.5,0.0,True,-523850.3127179998,-529861.9244919993,3211,3210,1,934,2276,0.2909657320872274,-3.7943537808484478,-217.80625940456807,-0.06785241725999006,0.35309137698229903,0.12728219369837587,-0.14792962579914376,217.9920156392491,529892.9225520003,22,-2082.416000000245,527555.5014919996,-529637.9174920003,3131,2.4620456905503634,-0.035674518570683565,-115.80730000000582,1544,0,46,967,0.34763892144713093,-529861.9244919993,-2090.0160000002506,530386.0102019993,527.7451239409826,-429861.9244919993,3210,1,0,0,-20.355725177997016,,,20,1.0,,3211,3210,1,935,2275,0.29127725856697817,-3.6883816454922767,-217.70039324134726,-0.06781943714683715,0.3532372929983097,0.12716546406973406,-0.14795608885562575,217.88614947602832,529583.9318520001,22,-1773.116000000242,527555.8107919997,-529328.9267920002,3131,2.465031152647975,-0.035674518570683565,-115.80730000000582,1544,0,46,967,0.34781407203681136,-529552.9337919994,-1780.7160000002477,530077.0195019994,527.4376717606243,-429552.93379199936,3210,1,0,0,-20.345831144051147,,,20,1.0,
bb20_m1_sl4,20,1.0,0.04,5,3,3,20.0,0.5,0.0,True,-521309.68713499943,-523850.3127179998,3187,3186,1,928,2258,0.29127432517263024,-2.210270526617637,-161.51957370412543,-0.0506966646905604,0.3520562788402043,0.0945696957935671,-0.11039869415436479,161.65889088013645,523881.31077800033,22,141.41599999983373,523767.72171799984,-523626.3057180002,3148,2.4843848085373508,-0.02675588892801267,-115.80730000000582,1568,0,47,995,0.3467765084794239,-523850.3127179998,133.81599999983155,524374.3984279997,521.7634450510242,-423850.3127179998,3186,1,0,0,-20.278665876224157,,,20,1.0,,3187,3186,1,929,2257,0.2915881983678594,-2.1307914251005178,-161.4401740817098,-0.050671743277372824,0.352203816049716,0.09448254326116144,-0.11041845669974693,161.5794912577209,523572.32007800037,22,450.71599999983664,523768.0310179999,-523317.31501800014,3148,2.4873927599916295,-0.02675588892801267,-115.80730000000582,1568,0,47,995,0.3469536296195974,-523541.3220179997,443.11599999983446,524065.4077279996,521.4559928706659,-423541.3220179997,3186,1,0,0,-20.26869731094913,,,20,1.0,
bb20_m1_sl5,20,1.0,0.05,5,3,3,20.0,0.5,0.0,True,-433252.02529749967,-521309.68713499943,3180,3179,1,927,2252,0.29160113243158226,-1.3220640802478423,-128.48959059266423,-0.04041824177183524,0.35313887378225073,0.07566981745299266,-0.0882040459021263,128.6010443334728,521340.6851950006,22,1765.2249999998457,522850.9051349998,-521085.68013500015,3162,2.4957009541784627,-0.021404711142410136,-115.80730000000582,1582,0,49,1012,0.3478534597738102,-521309.68713499943,1757.62499999984,521833.77284499933,519.2354696945899,-421309.68713499943,3179,1,0,0,-20.209120885917624,,,20,1.0,,3180,3179,1,928,2251,0.2919156967599874,-1.2584807990341402,-128.42607089473174,-0.040398260740714606,0.3532872838980005,0.07560000514383099,-0.08821984703163346,128.53752463554036,521031.6944950005,22,2074.5249999998487,522851.21443499986,-520776.6894350002,3162,2.4987155289923453,-0.021404711142410136,-115.80730000000582,1582,0,49,1012,0.34803149603816075,-521000.6964349996,2066.924999999843,521524.7821449995,518.9280175142319,-421000.6964349996,3179,1,0,0,-20.199130370357306,,,20,1.0,
bb20_m1.5_sl0.3,20,1.5,0.003,5,3,3,20.0,0.5,0.0,True,-255496.04293500006,-254172.47150799952,1696,1695,1,405,1290,0.23893805309734514,138.83597696595103,-991.1763025475889,-0.5847647802640642,0.4131253990649886,1.722790503050141,-1.3092298110720124,1019.9085499705371,257874.83518929998,30,26047.0658999999,279747.31013569963,-253700.2442357001,756,2.5118977384464105,-0.3567451857068356,-115.80730000000582,105,0,1,20,0.39068613269654473,-253924.2512356996,26039.465899999894,258153.5374392996,247.73477903743944,-153924.2512356996,1695,1,0,0,-17.54294340792193,,,20,1.0,,1696,1695,1,405,1290,0.23893805309734514,137.61727397787848,-992.3962242386494,-0.5854844980758994,0.4128272079699229,1.722790503050141,-1.3101754868015167,1021.1284716615979,258123.0554616,30,25799.093599999906,279747.5581079996,-253948.46450800012,755,2.513126843657817,-0.3567451857068356,-115.80730000000582,105,0,1,20,0.39045336291854804,-254172.47150799952,25791.4935999999,258401.75771159955,247.97298144566832,-154172.47150799952,1695,1,0,0,-17.564534942276982,,,20,1.0,
