stream_key,venue,symbol,asset,timeframe_min,arm,events,closed,censored,net_r,gross_r,realized_ge10,admitted
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v10,2,2,0,-0.30794481867205026,-0.2637362637362609,0,2
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v9,7,7,0,-0.6749534994541493,-0.5259445783718157,0,7
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v9_long,4,4,0,-2.370190863876574,-2.2637362637362592,0,4
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v10,2,2,0,3.3501442252984903,3.4339327599687155,0,2
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v9,10,10,0,1.470488420908165,1.7442495950140005,0,11
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v9_long,4,4,0,1.824413381069235,1.943632529021832,0,4
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v10,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v9,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v9_long,0,0,0,0.0,0.0,0,0
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v10,2,2,0,1.914893096792003,1.9841897233201766,0,2
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v9,10,10,0,3.679872822623345,3.9933547924148867,0,10
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v9_long,5,5,0,0.12972847711950153,0.3050276505528109,0,5
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v10,1,1,0,-1.0125178571428575,-1.0000000000000004,0,1
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v9,11,10,1,7.086821153517403,7.2852729907906815,0,11
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v9_long,4,3,1,3.885721755376427,3.9407158836689113,0,4
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v10,1,1,0,-1.0147659574468086,-1.0000000000000002,0,2
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v9,6,6,0,0.0409705051825251,0.24248847437868482,0,7
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v9_long,2,2,0,-1.4729960459423852,-1.3982300884955767,0,3
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v10,2,2,0,-0.22471386949430883,-0.17927556166895864,0,2
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v9,7,7,0,1.5783887903256473,1.7036134107745111,0,12
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v9_long,2,2,0,-0.22471386949430883,-0.17927556166895864,0,3
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v10,0,0,0,0.0,0.0,0,0
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v9,0,0,0,0.0,0.0,0,0
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v9_long,0,0,0,0.0,0.0,0,0
binance_240m_04a1e0fcf568a486,binance,CAKEUSDT,CAKE,240,v10,4,4,0,-1.777831779049286,-1.6610169491525426,0,4
binance_240m_04a1e0fcf568a486,binance,CAKEUSDT,CAKE,240,v9,11,11,0,-4.1507974324566135,-3.8082931465618897,0,11
binance_240m_04a1e0fcf568a486,binance,CAKEUSDT,CAKE,240,v9_long,8,8,0,-3.619137299624183,-3.3746299566724276,0,8
binance_240m_04f2c1a5462e3b5a,binance,VANAUSDT,VANA,240,v10,0,0,0,0.0,0.0,0,0
binance_240m_04f2c1a5462e3b5a,binance,VANAUSDT,VANA,240,v9,7,7,0,-2.847537065845282,-2.6244779763663852,0,8
binance_240m_04f2c1a5462e3b5a,binance,VANAUSDT,VANA,240,v9_long,3,3,0,-1.5659282919069073,-1.4947662247034195,0,3
binance_240m_04f5b000218350b3,binance,SKRUSDT,SKR,240,v10,0,0,0,0.0,0.0,0,0
binance_240m_04f5b000218350b3,binance,SKRUSDT,SKR,240,v9,0,0,0,0.0,0.0,0,0
binance_240m_04f5b000218350b3,binance,SKRUSDT,SKR,240,v9_long,0,0,0,0.0,0.0,0,0
binance_240m_05302eb4febd65c7,binance,ORCAUSDT,ORCA,240,v10,2,2,0,2.2080840867992793,2.2653061224489823,0,2
binance_240m_05302eb4febd65c7,binance,ORCAUSDT,ORCA,240,v9,6,6,0,6.278895815361672,6.466732147404419,0,8
binance_240m_05302eb4febd65c7,binance,ORCAUSDT,ORCA,240,v9_long,4,4,0,0.1225820898714769,0.26530612244898366,0,5
binance_240m_05bbbfcbff24a4f8,binance,AIXBTUSDT,AIXBT,240,v10,0,0,0,0.0,0.0,0,0
binance_240m_05bbbfcbff24a4f8,binance,AIXBTUSDT,AIXBT,240,v9,4,3,1,1.021033266822657,1.0796460176991118,0,4
