source,symbol,signal_time,detected_at,status,score,threshold,model_path,dataset_sha256,signal_i,entry_time,entry_price,maker_filled,outcome,label,exit_offset,exit_time,realized_ret,atr_pct,dense_run_len
okx,THETA_USDT_SWAP,2026-07-15 00:00:00+00:00,2026-07-16T16:56:04.848049+00:00,closed,0.0219126984072289,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,39002,2026-07-15 00:15:00+00:00,0.1457,True,sl,0,4,2026-07-15 01:15:00+00:00,-0.0086814125815095,0.0043377291259463,0
okx,PUMP_USDT_SWAP,2026-07-15 00:30:00+00:00,2026-07-18T01:09:00.509872+00:00,closed,0.0549099114919309,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,35068,2026-07-15 00:45:00+00:00,0.001499,True,tp,1,4,2026-07-15 01:45:00+00:00,0.0618502316860134,0.0123783040450379,0
okx,PUMP_USDT_SWAP,2026-07-15 00:45:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0513646156395673,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,35069,2026-07-15 01:00:00+00:00,0.001511,True,tp,1,3,2026-07-15 01:45:00+00:00,0.0621762061484987,0.0124352412296997,0
okx,RAVE_USDT_SWAP,2026-07-15 06:30:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0287162020471193,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,20346,2026-07-15 06:45:00+00:00,0.2625,True,tp,1,5,2026-07-15 08:00:00+00:00,0.0662631787040646,0.0132576862879702,0
okx,RAVE_USDT_SWAP,2026-07-15 06:45:00+00:00,2026-07-18T01:09:00.509872+00:00,closed,0.0335313010565265,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,20347,2026-07-15 07:00:00+00:00,0.2604,False,tp,1,4,2026-07-15 08:00:00+00:00,0.065592247456556,0.0131234892337204,0
okx,UB_USDT_SWAP,2026-07-15 09:00:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0273449117329706,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,7470,2026-07-15 09:15:00+00:00,0.07979,True,tp,1,8,2026-07-15 11:15:00+00:00,0.0699592462566016,0.013995357299271,0
okx,2Z_USDT_SWAP,2026-07-15 09:15:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0353605156896487,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,27441,2026-07-15 09:30:00+00:00,0.07136,True,timeout,0,72,2026-07-16 03:30:00+00:00,-0.024103139013453,0.012573118396676,0
okx,UB_USDT_SWAP,2026-07-15 09:15:00+00:00,2026-07-18T01:09:00.509872+00:00,closed,0.0234881186535548,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,7471,2026-07-15 09:30:00+00:00,0.08071,True,tp,1,8,2026-07-15 11:30:00+00:00,0.0701511826863241,0.0140337141023998,0
okx,RESOLV_USDT_SWAP,2026-07-15 12:15:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0230047956781768,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,38391,2026-07-15 12:30:00+00:00,0.01935,True,tp,1,11,2026-07-15 15:15:00+00:00,0.0423973559744124,0.0084794711948824,0
okx,HOME_USDT_SWAP,2026-07-15 13:00:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0379495793635349,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,38123,2026-07-15 13:15:00+00:00,0.01387,True,tp,1,15,2026-07-15 17:00:00+00:00,0.057208225309,0.0114499002169672,0
okx,UNI_USDT_SWAP,2026-07-15 15:15:00+00:00,2026-07-16T16:56:04.848049+00:00,closed,0.0253937425784832,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,39166,2026-07-15 15:30:00+00:00,3.649,True,sl,0,16,2026-07-15 19:30:00+00:00,-0.013854257393597,0.0069290275807614,2
okx,ALLO_USDT_SWAP,2026-07-15 16:00:00+00:00,2026-07-18T01:09:00.509872+00:00,closed,0.0369843383466652,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,23613,2026-07-15 16:15:00+00:00,0.40897,True,sl,0,1,2026-07-15 16:30:00+00:00,-0.0417669415311519,0.0208947107987708,0
okx,ALLO_USDT_SWAP,2026-07-15 16:30:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0499175110292738,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,23615,2026-07-15 16:45:00+00:00,0.40282,True,timeout,0,72,2026-07-16 10:45:00+00:00,-0.0143984906409811,0.0256342579954348,0
okx,EDGE_USDT_SWAP,2026-07-15 16:30:00+00:00,2026-07-18T00:53:26.052438+00:00,closed,0.0312087022659384,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,10092,2026-07-15 16:45:00+00:00,0.4247,True,timeout,0,72,2026-07-16 10:45:00+00:00,0.0021191429244171,0.0161661247565198,0
okx,ORDI_USDT_SWAP,2026-07-15 16:30:00+00:00,2026-07-18T01:09:00.509872+00:00,closed,0.0353683316961123,0.0217142166715183,models/frozen_tp5_sl2_swap_yolo_v8_reg_20260716.txt,c5252c4b4bb47d53ff5577ba18f78c059f869e1a790503ad90108da71e0b0e8d,39172,2026-07-15 16:45:00+00:00,3.501,False,tp,1,6,2026-07-15 18:15:00+00:00,0.0442942974202853,0.008858859484057,0
