symbol,timeframe_min,arm,raw_signal_candidates,status_rows,skipped_in_position,trades_taken,closed_trades,censored_unclosed_trades,censored_mfe_known_n,censored_mfe_known_mean_r,censored_mfe_known_median_r,wins_net,losses_net,breakeven_net,fee_only_losses,win_rate_net,gross_win_rate,mean_net_r,median_net_r,sum_net_r_trade_units_nonportfolio,mean_gross_r,median_gross_r,sum_gross_r_trade_units_nonportfolio,mean_net_bp,median_net_bp,mean_gross_bp,median_gross_bp,profit_factor_net_r,profit_factor_gross_r,mean_cost_r,median_cost_r,sum_cost_r_trade_units_nonportfolio,fixed_round_trip_cost_bp,mfe_known_n,mfe_known_mean_r,mfe_known_median_r,mfe_known_q25_r,mfe_known_q75_r,mfe_known_q90_r,mfe_known_max_r,mfe_upper_mean_r,stop_bar_excursion_ambiguous_n,net_floating_profit_then_loss_n,net_floating_profit_n,mean_holding_hours,median_holding_hours,mfe_ge_0p5r_n,mfe_ge_0p5r_then_net_loss_n,mfe_ge_1r_n,mfe_ge_1r_then_net_loss_n,mfe_ge_2r_n,mfe_ge_2r_then_net_loss_n,mfe_ge_3r_n,mfe_ge_3r_then_net_loss_n,mfe_ge_5r_n,mfe_ge_5r_then_net_loss_n,mfe_ge_10r_n,mfe_ge_10r_then_net_loss_n,best_net_return_bp,mean_net_bp_ex_best_price_return,mean_net_r_ex_best_price_return,sum_net_r_ex_best_price_return,top_1pct_price_return_removed_n,mean_net_bp_ex_top_1pct_price_returns,mean_net_r_ex_top_1pct_price_returns,sum_net_r_ex_top_1pct_price_returns,closed_trade_drawdown_r_single_symbol,max_loss_streak_single_symbol
0GUSDT,5,v9_both,46,46,8,38,37,1,1,1.0571428571428834,1.0571428571428834,13,24,0,1,0.35135135135135137,0.3783783783783784,0.015733470159757807,-0.9183999999999968,0.5821383959110389,0.1913660147194277,-0.7333333333333302,7.080542544618825,10.806264441754355,-90.028011204481,30.806264441754315,-70.028011204481,1.0235651336151037,1.3460341393621418,0.17563254455967076,0.15895999999999832,6.4984041487078175,20.0,37,2.018018396692496,1.1379310344827631,0.3571428571428543,2.874999999999963,4.487529411764687,13.909090909090857,2.018018396692496,0,20,33,4.75,2.25,25,12,19,6,15,2,7,0,4,0,1,0,1074.264996704021,-18.734255898864166,-0.11697164586521686,-4.210979251147807,1,-18.734255898864166,-0.11697164586521686,-4.210979251147807,12.13029889723992,5
0GUSDT,5,joint,18,18,0,18,17,1,1,1.0571428571428834,1.0571428571428834,7,10,0,0,0.4117647058823529,0.4117647058823529,0.2381933220476216,-0.7915882352941196,4.049286474809567,0.41712581408083793,-0.588235294117642,7.091138839374245,47.16197547949735,-63.103448275861005,67.16197547949734,-43.103448275861,1.3971421852277237,1.8428933645663044,0.17893249203321734,0.15200000000000008,3.041852364564695,20.0,17,2.4896170464384397,1.5925925925926037,0.529411764705879,2.4666666666666517,6.10802139037437,11.36000000000012,2.4896170464384397,0,8,15,4.71078431372549,2.25,14,7,11,4,8,1,4,0,3,0,1,0,1074.264996704021,-17.031963347035376,-0.04648944826557991,-0.7438311722492785,1,-17.031963347035376,-0.04648944826557991,-0.7438311722492785,6.835985206711624,4
0GUSDT,15,v9_both,15,15,2,13,13,0,0,,,1,12,0,0,0.07692307692307693,0.07692307692307693,-0.9262326609890325,-1.0928780487804866,-12.041024592857422,-0.8234222919937199,-0.9999999999999994,-10.704489795918358,-210.41488305179985,-202.196772514315,-190.41488305179976,-182.196772514315,0.031497774027937464,0.046327272727272856,0.10281036899531297,0.09502857142857153,1.3365347969390686,20.0,13,0.8324450952665062,0.6716417910447756,0.3617021276595774,1.085714285714284,1.3962894248608526,2.359999999999993,0.8324450952665062,0,11,12,9.173076923076923,7.5,8,7,6,5,1,0,0,0,0,0,0,0,60.996884735202,-233.03253036738332,-1.0360520494047851,-12.432624592857422,1,-233.03253036738332,-1.0360520494047851,-12.432624592857422,12.041024592857422,7
0GUSDT,15,joint,6,6,0,6,6,0,0,,,1,5,0,0,0.16666666666666666,0.16666666666666666,-0.8489530537227855,-1.092089024390243,-5.093718322336713,-0.7466666666666658,-0.999999999999999,-4.479999999999995,-185.42428293240496,-232.899576547395,-165.42428293240485,-212.899576547395,0.07139056969681604,0.1040000000000003,0.10228638705611993,0.09395331010452979,0.6137183223367196,20.0,6,0.9141764482994356,0.8013211382113798,0.41152049818370745,1.0747023809523786,1.7228571428571386,2.359999999999993,0.9141764482994356,0,4,5,9.666666666666666,8.875,4,3,3,2,1,0,0,0,0,0,0,0,60.996884735202,-234.70851646592638,-1.0970636644673426,-5.485318322336713,1,-234.70851646592638,-1.0970636644673426,-5.485318322336713,5.093718322336713,4
0GUSDT,60,v9_both,4,4,0,4,4,0,0,,,2,2,0,0,0.5,0.5,0.35838659544332163,0.4438358636977047,1.4335463817732865,0.40157605552342246,0.48736263736263546,1.6063042220936898,296.1204312375547,122.34655288713452,316.1204312375547,142.3465528871345,1.8191510673170133,1.9712537156845553,0.04318946008010098,0.04503053306342782,0.17275784032040392,20.0,4,1.874454475207868,1.6778846153846154,0.9744882133995045,2.577850877192979,3.167982456140344,3.5614035087719205,1.874454475207868,0,2,4,88.75,100.5,4,2,3,1,2,0,1,0,0,0,0,0,1304.041811846689,-39.85336229882332,-0.05680834893271317,-0.17042504679813952,1,-39.85336229882332,-0.05680834893271317,-0.17042504679813952,1.058096774193549,1
0GUSDT,60,joint,3,3,0,3,3,0,0,,,1,2,0,0,0.3333333333333333,0.3333333333333333,-0.05680834893271317,-0.6919423076923089,-0.17042504679813952,-0.0074224021592453155,-0.653846153846155,-0.022267206477735946,-39.85336229882332,-363.260979303382,-19.85336229882334,-343.26097930338204,0.9026164337915883,0.9865361077111363,0.04938594677346798,0.05196491228070172,0.14815784032040394,20.0,3,1.7492726336104913,1.1057692307692326,0.8432071960297765,2.3335863697705763,3.070276653171383,3.5614035087719205,1.7492726336104913,0,2,3,82.66666666666667,94.0,3,2,2,1,1,0,1,0,0,0,0,0,607.954085077651,-363.75708598706046,-0.8750195409429289,-1.7500390818858578,1,-363.75708598706046,-0.8750195409429289,-1.7500390818858578,1.058096774193549,1
1000000BOBUSDT,5,v9_both,22,22,3,19,19,0,0,,,7,12,0,0,0.3684210526315789,0.3684210526315789,-0.04980966749770722,-1.1267857142857198,-0.9463836824564371,0.16417201804675335,-0.9999999999999944,3.1192683428883137,8.424025769605525,-88.965517241381,28.424025769605525,-68.96551724138101,0.9339163838553401,1.2701327159690863,0.21398168554446223,0.20255555555555238,4.065652025344782,20.0,19,1.7995709217845928,0.9999999999999752,0.5000000000000072,2.7352941176470473,3.895789473684202,6.941176470588237,1.7995709217845928,0,9,16,7.969298245614034,3.75,15,8,9,2,7,1,5,0,1,0,0,0,545.457897971728,-21.41118935273461,-0.34259647909071783,-6.166736623632921,1,-21.41118935273461,-0.34259647909071783,-6.166736623632921,6.770078524743235,5
1000000BOBUSDT,5,joint,9,9,0,9,9,0,0,,,4,5,0,0,0.4444444444444444,0.4444444444444444,0.9385505382359872,-1.1541000000000006,8.446954844123885,1.1698314413484703,-0.9999999999999952,10.528482972136233,77.95764836183466,-85.62342251388,97.95764836183466,-65.62342251388,2.3627054994655783,3.1056965944272523,0.23128090311248467,0.20810526315789718,2.081528128012362,20.0,9,2.990581752269058,0.9999999999999752,0.5000000000000144,3.724999999999986,6.263157894736848,12.999999999999956,2.990581752269058,0,3,7,6.888888888888889,4.25,7,3,4,0,4,0,4,0,1,0,1,0,455.319926873856,30.78736354783201,-0.11159939448450806,-0.8927951558760645,1,30.78736354783201,-0.11159939448450806,-0.8927951558760645,2.512874493927124,2
1000000BOBUSDT,15,v9_both,13,13,0,13,13,0,0,,,6,7,0,0,0.46153846153846156,0.46153846153846156,1.20186810328769,-0.7033647058823493,15.624285342739968,1.3190987880749447,-0.6588235294117613,17.14828424497428,206.7839963847444,-118.25327510916999,226.7839963847444,-98.25327510916999,3.0825980313380743,3.575272368944903,0.11723068478725526,0.11800000000000126,1.5239989022343183,20.0,13,2.9731387822401434,1.7777777777777863,0.5647058823529363,3.4399999999999955,6.900879765395915,10.818181818181804,2.9731387822401434,0,6,12,22.5,14.5,11,5,8,2,6,0,5,0,3,0,1,0,1726.804625684723,80.11561060974616,0.5855742836121697,7.026891403346036,1,80.11561060974616,0.5855742836121697,7.026891403346036,2.961559150326794,3
1000000BOBUSDT,15,joint,4,4,0,4,4,0,0,,,2,2,0,0,0.5,0.5,0.8279917673008069,0.2429476923076922,3.3119670692032277,0.9461290322580727,0.3600000000000001,3.7845161290322906,126.19326851007476,26.57031199606749,146.19326851007474,46.57031199606749,2.490648911333457,2.892258064516145,0.1181372649572658,0.11922222222222328,0.4725490598290632,20.0,4,2.723408694053868,2.0162962962962956,0.5790598290598331,4.16064516129033,5.457806451612933,6.322580645161335,2.723408694053868,0,2,4,15.375,13.75,4,2,2,0,2,0,2,0,1,0,0,0,668.901038819027,-54.70932159290934,-0.2115163532763542,-0.6345490598290626,1,-54.70932159290934,-0.2115163532763542,-0.6345490598290626,1.120444444444447,1
