candidates,chart_bars_total,chart_gaps,first,higher_bars,joint_candidates,last,minutes,partial_chart_buckets,partial_higher_buckets,symbol,v9_candidates,valid_ready_window_bars,window_bars_actual,window_bars_expected,window_gap_count,zero_activity,timeframe_min,stream_key,asset,current_status,delivery_ms,inherited,onboard_ms,tick,tail_status,recent_rows,recent_positive_volume_rows,window_missing_5m,gap_count,ready_signal_bars,coverage_status
16,30144,0,2025-11-15 00:00:00+00:00,7536,5,2026-09-24 23:45:00+00:00,15,0,0,KERNELUSDT,11,5952,5952,5952,0,False,15,KERNELUSDT_15m,KERNEL,TRADING,4133404800000,True,1744632000000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
8,7536,0,2025-11-15 00:00:00+00:00,1884,4,2026-09-24 23:00:00+00:00,60,0,0,KERNELUSDT,4,1488,1488,1488,0,False,60,KERNELUSDT_60m,KERNEL,TRADING,4133404800000,True,1744632000000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,KEYUSDT,0,0,17856,17856,0,True,5,KEYUSDT_5m,KEY,SETTLING,1733216400000,True,1684800000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,KEYUSDT,0,0,5952,5952,0,True,15,KEYUSDT_15m,KEY,SETTLING,1733216400000,True,1684800000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,KEYUSDT,0,0,1488,1488,0,True,60,KEYUSDT_60m,KEY,SETTLING,1733216400000,True,1684800000000,1e-07,ok,17856,0,0,0,0,complete_raw_window_bars
50,90432,0,2025-11-15 00:00:00+00:00,30144,12,2026-09-24 23:55:00+00:00,5,0,0,KGENUSDT,38,17856,17856,17856,0,False,5,KGENUSDT_5m,KGEN,TRADING,4133404800000,True,1759847400000,0.0001,ok,17856,17854,0,0,17856,complete_raw_window_bars
19,30144,0,2025-11-15 00:00:00+00:00,7536,7,2026-09-24 23:45:00+00:00,15,0,0,KGENUSDT,12,5952,5952,5952,0,False,15,KGENUSDT_15m,KGEN,TRADING,4133404800000,True,1759847400000,0.0001,ok,17856,17854,0,0,5952,complete_raw_window_bars
4,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,KGENUSDT,3,1488,1488,1488,0,False,60,KGENUSDT_60m,KGEN,TRADING,4133404800000,True,1759847400000,0.0001,ok,17856,17854,0,0,1488,complete_raw_window_bars
48,90432,0,2025-11-15 00:00:00+00:00,30144,10,2026-09-24 23:55:00+00:00,5,0,0,KITEUSDT,38,17856,17856,17856,0,False,5,KITEUSDT_5m,KITE,TRADING,4133404800000,True,1761733800000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
22,30144,0,2025-11-15 00:00:00+00:00,7536,5,2026-09-24 23:45:00+00:00,15,0,0,KITEUSDT,17,5952,5952,5952,0,False,15,KITEUSDT_15m,KITE,TRADING,4133404800000,True,1761733800000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
3,7536,0,2025-11-15 00:00:00+00:00,1884,1,2026-09-24 23:00:00+00:00,60,0,0,KITEUSDT,2,1488,1488,1488,0,False,60,KITEUSDT_60m,KITE,TRADING,4133404800000,True,1761733800000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,KLAYUSDT,0,0,17856,17856,0,True,5,KLAYUSDT_5m,KLAY,SETTLING,1729587600000,True,1633935600000,0.0001,ok,17856,0,0,0,0,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,KLAYUSDT,0,0,5952,5952,0,True,15,KLAYUSDT_15m,KLAY,SETTLING,1729587600000,True,1633935600000,0.0001,ok,17856,0,0,0,0,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,KLAYUSDT,0,0,1488,1488,0,True,60,KLAYUSDT_60m,KLAY,SETTLING,1729587600000,True,1633935600000,0.0001,ok,17856,0,0,0,0,complete_raw_window_bars
66,90432,0,2025-11-15 00:00:00+00:00,30144,18,2026-09-24 23:55:00+00:00,5,0,0,KMNOUSDT,48,17856,17856,17856,0,False,5,KMNOUSDT_5m,KMNO,TRADING,4133404800000,True,1734721200000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
24,30144,0,2025-11-15 00:00:00+00:00,7536,7,2026-09-24 23:45:00+00:00,15,0,0,KMNOUSDT,17,5952,5952,5952,0,False,15,KMNOUSDT_15m,KMNO,TRADING,4133404800000,True,1734721200000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
5,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,KMNOUSDT,3,1488,1488,1488,0,False,60,KMNOUSDT_60m,KMNO,TRADING,4133404800000,True,1734721200000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
57,90432,0,2025-11-15 00:00:00+00:00,30144,9,2026-09-24 23:55:00+00:00,5,0,0,KNCUSDT,48,17856,17856,17856,0,False,5,KNCUSDT_5m,KNC,TRADING,4133404800000,True,1592815800000,0.0001,ok,17856,17853,0,0,17856,complete_raw_window_bars
26,30144,0,2025-11-15 00:00:00+00:00,7536,7,2026-09-24 23:45:00+00:00,15,0,0,KNCUSDT,19,5952,5952,5952,0,False,15,KNCUSDT_15m,KNC,TRADING,4133404800000,True,1592815800000,0.0001,ok,17856,17853,0,0,5952,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,KNCUSDT,0,1488,1488,1488,0,False,60,KNCUSDT_60m,KNC,TRADING,4133404800000,True,1592815800000,0.0001,ok,17856,17853,0,0,1488,complete_raw_window_bars
45,90432,0,2025-11-15 00:00:00+00:00,30144,13,2026-09-24 23:55:00+00:00,5,0,0,KOMAUSDT,32,17856,17856,17856,0,False,5,KOMAUSDT_5m,KOMA,TRADING,4133404800000,True,1733832900000,1e-06,ok,17856,17856,0,0,17856,complete_raw_window_bars
24,30144,0,2025-11-15 00:00:00+00:00,7536,7,2026-09-24 23:45:00+00:00,15,0,0,KOMAUSDT,17,5952,5952,5952,0,False,15,KOMAUSDT_15m,KOMA,TRADING,4133404800000,True,1733832900000,1e-06,ok,17856,17856,0,0,5952,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,KOMAUSDT,0,1488,1488,1488,0,False,60,KOMAUSDT_60m,KOMA,TRADING,4133404800000,True,1733832900000,1e-06,ok,17856,17856,0,0,1488,complete_raw_window_bars
58,90432,0,2025-11-15 00:00:00+00:00,30144,16,2026-09-24 23:55:00+00:00,5,0,0,KSMUSDT,42,17856,17856,17856,0,False,5,KSMUSDT_5m,KSM,TRADING,4133404800000,True,1602658800000,0.001,ok,17856,17855,0,0,17856,complete_raw_window_bars
21,30144,0,2025-11-15 00:00:00+00:00,7536,6,2026-09-24 23:45:00+00:00,15,0,0,KSMUSDT,15,5952,5952,5952,0,False,15,KSMUSDT_15m,KSM,TRADING,4133404800000,True,1602658800000,0.001,ok,17856,17855,0,0,5952,complete_raw_window_bars
6,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,KSMUSDT,4,1488,1488,1488,0,False,60,KSMUSDT_60m,KSM,TRADING,4133404800000,True,1602658800000,0.001,ok,17856,17855,0,0,1488,complete_raw_window_bars
37,90432,0,2025-11-15 00:00:00+00:00,30144,12,2026-09-24 23:55:00+00:00,5,0,0,LABUSDT,25,17856,17856,17856,0,False,5,LABUSDT_5m,LAB,TRADING,4133404800000,True,1760711400000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
24,30144,0,2025-11-15 00:00:00+00:00,7536,8,2026-09-24 23:45:00+00:00,15,0,0,LABUSDT,16,5952,5952,5952,0,False,15,LABUSDT_15m,LAB,TRADING,4133404800000,True,1760711400000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
7,7536,0,2025-11-15 00:00:00+00:00,1884,2,2026-09-24 23:00:00+00:00,60,0,0,LABUSDT,5,1488,1488,1488,0,False,60,LABUSDT_60m,LAB,TRADING,4133404800000,True,1760711400000,1e-05,ok,17856,17856,0,0,1488,complete_raw_window_bars
47,90432,0,2025-11-15 00:00:00+00:00,30144,11,2026-09-24 23:55:00+00:00,5,0,0,LAUSDT,36,17856,17856,17856,0,False,5,LAUSDT_5m,LA,TRADING,4133404800000,True,1749114000000,1e-05,ok,17856,17856,0,0,17856,complete_raw_window_bars
15,30144,0,2025-11-15 00:00:00+00:00,7536,4,2026-09-24 23:45:00+00:00,15,0,0,LAUSDT,11,5952,5952,5952,0,False,15,LAUSDT_15m,LA,TRADING,4133404800000,True,1749114000000,1e-05,ok,17856,17856,0,0,5952,complete_raw_window_bars
