period,cohort,gate,missed_events,fail_at_anchor,fail_at_plus1,fail_both,fail_both_fraction,mutually_exclusive
full,all,ready,1480,0,0,0,0.0,False
full,all,recent_density,1480,574,592,568,0.3837837837837838,False
full,all,break_prior12,1480,0,847,0,0.0,False
full,all,above_six_ma,1480,581,540,492,0.3324324324324324,False
full,all,green_candle,1480,0,605,0,0.0,False
full,all,zlema_rising,1480,12,12,2,0.0013513513513513514,False
full,all,md_ge_signal,1480,252,127,126,0.08513513513513514,False
full,all,advance_3bar,1480,698,647,436,0.2945945945945946,False
full,all,volume_3bar,1480,820,580,544,0.3675675675675676,False
full,all,efficiency_3bar,1480,1082,1061,843,0.5695945945945946,False
full,all,close_position,1480,273,908,167,0.11283783783783784,False
full,all,no_existing_hold,1480,548,548,548,0.37027027027027026,False
full,all,not_exit_bar,1480,0,0,0,0.0,False
full,all,no_v1_priority,1480,0,0,0,0.0,False
full,already_tracking,ready,548,0,0,0,0.0,False
full,already_tracking,recent_density,548,191,204,190,0.3467153284671533,False
full,already_tracking,break_prior12,548,0,289,0,0.0,False
full,already_tracking,above_six_ma,548,57,55,43,0.07846715328467153,False
full,already_tracking,green_candle,548,0,212,0,0.0,False
full,already_tracking,zlema_rising,548,2,2,0,0.0,False
full,already_tracking,md_ge_signal,548,116,64,64,0.11678832116788321,False
full,already_tracking,advance_3bar,548,246,218,143,0.26094890510948904,False
full,already_tracking,volume_3bar,548,295,203,190,0.3467153284671533,False
full,already_tracking,efficiency_3bar,548,385,369,277,0.5054744525547445,False
full,already_tracking,close_position,548,83,307,48,0.08759124087591241,False
full,already_tracking,no_existing_hold,548,548,548,548,1.0,False
full,already_tracking,not_exit_bar,548,0,0,0,0.0,False
full,already_tracking,no_v1_priority,548,0,0,0,0.0,False
full,not_already_tracking,ready,932,0,0,0,0.0,False
full,not_already_tracking,recent_density,932,383,388,378,0.4055793991416309,False
full,not_already_tracking,break_prior12,932,0,558,0,0.0,False
full,not_already_tracking,above_six_ma,932,524,485,449,0.48175965665236054,False
full,not_already_tracking,green_candle,932,0,393,0,0.0,False
full,not_already_tracking,zlema_rising,932,10,10,2,0.002145922746781116,False
full,not_already_tracking,md_ge_signal,932,136,63,62,0.06652360515021459,False
full,not_already_tracking,advance_3bar,932,452,429,293,0.3143776824034335,False
full,not_already_tracking,volume_3bar,932,525,377,354,0.3798283261802575,False
full,not_already_tracking,efficiency_3bar,932,697,692,566,0.6072961373390557,False
full,not_already_tracking,close_position,932,190,601,119,0.1276824034334764,False
full,not_already_tracking,no_existing_hold,932,0,0,0,0.0,False
full,not_already_tracking,not_exit_bar,932,0,0,0,0.0,False
full,not_already_tracking,no_v1_priority,932,0,0,0,0.0,False
case_night,all,ready,118,0,0,0,0.0,False
case_night,all,recent_density,118,43,44,43,0.3644067796610169,False
case_night,all,break_prior12,118,0,53,0,0.0,False
case_night,all,above_six_ma,118,58,47,41,0.3474576271186441,False
case_night,all,green_candle,118,0,31,0,0.0,False
case_night,all,zlema_rising,118,0,1,0,0.0,False
case_night,all,md_ge_signal,118,15,6,6,0.05084745762711865,False
case_night,all,advance_3bar,118,26,22,10,0.0847457627118644,False
case_night,all,volume_3bar,118,33,12,12,0.1016949152542373,False
case_night,all,efficiency_3bar,118,82,93,74,0.6271186440677966,False
case_night,all,close_position,118,30,93,23,0.19491525423728814,False
case_night,all,no_existing_hold,118,26,26,26,0.22033898305084745,False
case_night,all,not_exit_bar,118,0,0,0,0.0,False
case_night,all,no_v1_priority,118,0,0,0,0.0,False
case_night,already_tracking,ready,26,0,0,0,0.0,False
case_night,already_tracking,recent_density,26,4,4,4,0.15384615384615385,False
case_night,already_tracking,break_prior12,26,0,10,0,0.0,False
case_night,already_tracking,above_six_ma,26,2,2,1,0.038461538461538464,False
case_night,already_tracking,green_candle,26,0,7,0,0.0,False
case_night,already_tracking,zlema_rising,26,0,0,0,0.0,False
case_night,already_tracking,md_ge_signal,26,10,4,4,0.15384615384615385,False
case_night,already_tracking,advance_3bar,26,2,3,0,0.0,False
case_night,already_tracking,volume_3bar,26,5,2,2,0.07692307692307693,False
case_night,already_tracking,efficiency_3bar,26,13,19,12,0.46153846153846156,False
case_night,already_tracking,close_position,26,4,19,3,0.11538461538461539,False
case_night,already_tracking,no_existing_hold,26,26,26,26,1.0,False
case_night,already_tracking,not_exit_bar,26,0,0,0,0.0,False
case_night,already_tracking,no_v1_priority,26,0,0,0,0.0,False
case_night,not_already_tracking,ready,92,0,0,0,0.0,False
case_night,not_already_tracking,recent_density,92,39,40,39,0.42391304347826086,False
case_night,not_already_tracking,break_prior12,92,0,43,0,0.0,False
case_night,not_already_tracking,above_six_ma,92,56,45,40,0.43478260869565216,False
case_night,not_already_tracking,green_candle,92,0,24,0,0.0,False
case_night,not_already_tracking,zlema_rising,92,0,1,0,0.0,False
case_night,not_already_tracking,md_ge_signal,92,5,2,2,0.021739130434782608,False
case_night,not_already_tracking,advance_3bar,92,24,19,10,0.10869565217391304,False
case_night,not_already_tracking,volume_3bar,92,28,10,10,0.10869565217391304,False
case_night,not_already_tracking,efficiency_3bar,92,69,74,62,0.6739130434782609,False
case_night,not_already_tracking,close_position,92,26,74,20,0.21739130434782608,False
case_night,not_already_tracking,no_existing_hold,92,0,0,0,0.0,False
case_night,not_already_tracking,not_exit_bar,92,0,0,0,0.0,False
case_night,not_already_tracking,no_v1_priority,92,0,0,0,0.0,False
