instrument,asset,positive_events,hits_1,misses_1,already_tracking
okx:0G-USDT-SWAP:segment0,0G,7,1,6,2
okx:1INCH-USDT-SWAP:segment0,1INCH,9,1,8,4
okx:2Z-USDT-SWAP:segment0,2Z,3,0,3,0
okx:A-USDT-SWAP:segment0,A,5,1,4,2
okx:AAVE-USDT-SWAP:segment0,AAVE,4,0,4,3
okx:ACH-USDT-SWAP:segment0,ACH,8,1,7,3
okx:ACT-USDT-SWAP:segment0,ACT,7,0,7,3
okx:ACU-USDT-SWAP:segment0,ACU,15,1,14,10
okx:ADA-USDT-SWAP:segment0,ADA,9,0,9,4
okx:AEON-USDT-SWAP:segment0,AEON,3,0,3,2
okx:AERO-USDT-SWAP:segment0,AERO,5,3,2,0
okx:AEVO-USDT-SWAP:segment0,AEVO,4,0,4,3
okx:AGLD-USDT-SWAP:segment0,AGLD,6,0,6,6
okx:AI-USDT-SWAP:segment0,AI,5,1,4,0
okx:AIXBT-USDT-SWAP:segment0,AIXBT,7,1,6,3
okx:ALGO-USDT-SWAP:segment0,ALGO,7,1,6,0
okx:ALLO-USDT-SWAP:segment0,ALLO,8,0,8,2
okx:ANIME-USDT-SWAP:segment0,ANIME,5,0,5,3
okx:APE-USDT-SWAP:segment0,APE,4,0,4,0
okx:API3-USDT-SWAP:segment0,API3,5,0,5,3
okx:APR-USDT-SWAP:segment0,APR,5,2,3,2
okx:APT-USDT-SWAP:segment0,APT,9,0,9,3
okx:AR-USDT-SWAP:segment0,AR,8,0,8,4
okx:ARB-USDT-SWAP:segment0,ARB,6,0,6,3
okx:ARKM-USDT-SWAP:segment0,ARKM,5,0,5,1
okx:ARX-USDT-SWAP:segment0,ARX,5,1,4,0
okx:ASTER-USDT-SWAP:segment0,ASTER,2,1,1,0
okx:AT-USDT-SWAP:segment0,AT,6,1,5,2
okx:ATH-USDT-SWAP:segment0,ATH,7,1,6,0
okx:ATOM-USDT-SWAP:segment0,ATOM,5,0,5,0
okx:AUCTION-USDT-SWAP:segment0,AUCTION,7,1,6,2
okx:AVAX-USDT-SWAP:segment0,AVAX,8,0,8,4
okx:AVNT-USDT-SWAP:segment0,AVNT,4,1,3,2
okx:AXS-USDT-SWAP:segment0,AXS,6,1,5,3
okx:AZTEC-USDT-SWAP:segment0,AZTEC,6,1,5,1
okx:BABY-USDT-SWAP:segment0,BABY,4,1,3,2
okx:BAND-USDT-SWAP:segment0,BAND,11,2,9,4
okx:BARD-USDT-SWAP:segment0,BARD,8,1,7,3
okx:BASED-USDT-SWAP:segment0,BASED,3,0,3,1
okx:BAT-USDT-SWAP:segment0,BAT,5,2,3,2
okx:BCH-USDT-SWAP:segment0,BCH,5,0,5,1
okx:BEAT-USDT-SWAP:segment0,BEAT,7,0,7,1
okx:BERA-USDT-SWAP:segment0,BERA,5,0,5,1
okx:BICO-USDT-SWAP:segment0,BICO,4,0,4,0
okx:BIGTIME-USDT-SWAP:segment0,BIGTIME,4,0,4,2
okx:BILL-USDT-SWAP:segment0,BILL,4,0,4,0
okx:BIO-USDT-SWAP:segment0,BIO,5,0,5,2
okx:BLEND-USDT-SWAP:segment0,BLEND,8,0,8,2
okx:BLUR-USDT-SWAP:segment0,BLUR,7,1,6,3
okx:BNB-USDT-SWAP:segment0,BNB,9,2,7,3
okx:BOME-USDT-SWAP:segment0,BOME,6,2,4,1
okx:BONK-USDT-SWAP:segment0,BONK,5,0,5,1
okx:BRETT-USDT-SWAP:segment0,BRETT,7,1,6,2
okx:BREV-USDT-SWAP:segment0,BREV,4,0,4,0
okx:BSB-USDT-SWAP:segment0,BSB,8,0,8,2
okx:CAP-USDT-SWAP:segment0,CAP,7,0,7,2
okx:CASHCAT-USDT-SWAP:segment0,CASHCAT,0,0,0,0
okx:CC-USDT-SWAP:segment0,CC,5,0,5,0
okx:CELO-USDT-SWAP:segment0,CELO,6,2,4,1
okx:CFX-USDT-SWAP:segment0,CFX,6,2,4,0
