arm,entries,closed,censored,wins,win_rate,win_ci_low,win_ci_high,mean_net_r,mean_net_bp,sum_net_r,pf_r,gt5r,gt10r,median_risk_bp,symbols,pairs,weeks,control_net_r,control_net_bp,excess_r,excess_r_ci_low,excess_r_ci_high,excess_r_p,excess_bp,excess_bp_ci_low,excess_bp_ci_high,excess_bp_p,criterion_a,criterion_b
original,96,92,4,29,0.31521739130434784,0.2293143685922034,0.4159331015854935,0.06769091693067515,11.698435013573183,6.227564357622114,1.1014978090399303,6,0,337.06516819344404,62,92,21,0.08740716165757466,7.7801449650627905,-0.01971624472689957,-0.5921723794559007,0.6315275452381302,0.524,3.9182900485103884,-198.89043355663298,216.14006734193518,0.4856,False,False
tp_0.3r,99,99,0,79,0.797979797979798,0.7084558880529249,0.8652427023968695,-0.012902985789405873,11.622128719685646,-1.2773955931511813,0.9378558297382519,0,0,344.253192670739,62,99,22,-0.042596810674060216,-10.035586165289871,0.02969382488465436,-0.08496412568144823,0.14535538238828316,0.3159,21.657714884975526,-19.13583109908284,64.69588228465355,0.1536,False,False
tp_0.5r,99,99,0,73,0.7373737373737373,0.6429956276844908,0.8140185036907692,0.058356685875200584,41.2317144649166,5.7773119016448575,1.2175366243179313,0,0,344.253192670739,62,99,22,-0.038609385478343375,0.04299613080892287,0.09696607135354399,-0.09293331429012772,0.31287520149602416,0.2127,41.18871833410766,-40.3055697389649,129.50711161673138,0.1987,False,False
tp_1.0r,98,98,0,52,0.5306122448979592,0.4325246712911884,0.6263904313193651,0.0280580938148867,20.44683349243274,2.7496931938588967,1.0597108349393438,0,0,343.5740081388635,62,98,22,-0.0286754123380328,6.807394061058686,0.056733506152919506,-0.32340201217939557,0.4145407504836689,0.39,13.639439431374042,-146.78744775217297,162.11199008803206,0.4235,False,False
