arm,month,closed,win_rate,mean_net_r,sum_net_r,mean_net_bp
original,2026-05,13,0.15384615384615385,-0.24109396526744722,-3.134221548476814,-134.20407878185856
original,2026-06,19,0.3157894736842105,-0.30107375214337423,-5.72040129072411,-144.35772976867685
original,2026-07,34,0.14705882352941177,-0.7228206216419789,-24.575901135827284,-199.13957346078791
original,2026-08,20,0.55,1.6155256570104473,32.31051314020895,536.3427512155807
original,2026-09,6,0.8333333333333334,1.2245958654068965,7.347575192441379,267.9327307288215
tp_0.3r,2026-05,13,0.6923076923076923,-0.16321836271983317,-2.121838715357831,-46.33029388051831
tp_0.3r,2026-06,19,0.8421052631578947,0.05082498736847821,0.965674760001086,1.378004199100836
tp_0.3r,2026-07,36,0.7222222222222222,-0.11612762565565198,-4.180594523603471,-4.433071264103719
tp_0.3r,2026-08,21,0.8571428571428571,0.0740586354354088,1.555231344143585,36.498665971206286
tp_0.3r,2026-09,10,1.0,0.2504131541665451,2.504131541665451,111.9821064025103
tp_0.5r,2026-05,13,0.6153846153846154,-0.1138954507521433,-1.4806408597778629,-27.722347926262383
tp_0.5r,2026-06,19,0.7368421052631579,0.05961377468829285,1.132661719077564,-3.0774844177498406
tp_0.5r,2026-07,36,0.6388888888888888,-0.09734640433988827,-3.5044705562359777,7.290160136623748
tp_0.5r,2026-08,21,0.8571428571428571,0.2437189005275099,5.118096911077708,107.10441065251786
tp_0.5r,2026-09,10,1.0,0.45116646875034244,4.5116646875034245,198.91640703840704
tp_1.0r,2026-05,13,0.3076923076923077,-0.4000044946332689,-5.200058430232496,-144.71919809432094
tp_1.0r,2026-06,19,0.5263157894736842,0.037568681695234515,0.7138049522094558,-56.26197681571252
tp_1.0r,2026-07,35,0.45714285714285713,-0.12753760256285274,-4.463816089699845,7.011072821709992
tp_1.0r,2026-08,21,0.6190476190476191,0.2018030944475957,4.2378649833995095,98.7201184948441
tp_1.0r,2026-09,10,0.9,0.7461897778182276,7.461897778182276,263.56067798315433
