section,policy,candidates,candidates_with_next_open,entry_time_mismatch,mismatch_entry_filled,missing_next_open,missing_next_open_unknown_untested,rejected_candidates,rejected_entry_attempted,rejected_entry_unattempted,rejected_attempted_entry_filled
entry_time_alignment,rv_gt50,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,risk_gt30pct,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,usdc_base,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,stock_linked_all,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,h00_utc,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,sunday_utc,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,joint_rv_gt50_tratr_gt10,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,h00_asia_shanghai,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
entry_time_alignment,sunday_asia_shanghai,113295.0,113295.0,0.0,0.0,0.0,0.0,,,,
risk_gate_rejected_lifecycle,risk_gt30pct,,,,,,,84.0,81.0,3.0,0.0
