subset,events,gross_return,net_return,return_cost,gross_r,net_r,cost_r,expected_cost_r_from_0_002_over_initial_risk_frac,cost_r_formula_abs_error_max,cost_r_formula_mismatch_events
all,168,-0.03470209530924111,-0.3707020953092377,0.33599999999999663,-82.53145529666655,-2150.290112526523,2067.758657229856,2067.7586572301743,1.2704504115390591e-11,0
closed,168,-0.03470209530924111,-0.3707020953092377,0.33599999999999663,-82.53145529666655,-2150.290112526523,2067.758657229856,2067.7586572301743,1.2704504115390591e-11,0
censored,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
