trade_key,arm,matched,reason,control_signal_i,control_signal_bar_open,control_net_r,control_net_return,control_exit_time,month,vol_bin,fold
binance_um:ENAUSDT:4h:v9_long:1258,v9_long,True,matched,1210,2024-10-21 04:00:00+00:00,-1.0212809699525562,-0.09598067872182303,2024-10-23 12:00:00+00:00,2024-10,3,earlier
binance_um:ENAUSDT:4h:v9_long:1306,v9_long,True,matched,1296,2024-11-04 12:00:00+00:00,16.10122584541064,1.5293163177516491,2024-12-09 20:00:00+00:00,2024-11,3,earlier
binance_um:ENAUSDT:4h:v9_long:1650,v9_long,True,matched,1665,2025-01-05 00:00:00+00:00,-1.0265612995280438,-0.07729752066115692,2025-01-07 12:00:00+00:00,2025-01,3,earlier
binance_um:ENAUSDT:4h:v9_long:3106,v9_long,True,matched,3120,2025-09-04 12:00:00+00:00,-0.6915470494417874,-0.04489940828402372,2025-09-05 00:00:00+00:00,2025-09,3,earlier
binance_um:ENAUSDT:4h:v9_long:3129,v9_long,True,matched,3109,2025-09-02 16:00:00+00:00,-0.5361966257029777,-0.0383419719988084,2025-09-05 00:00:00+00:00,2025-09,3,earlier
binance_um:ENAUSDT:4h:v9_long:3909,v9_long,True,matched,4003,2026-01-29 16:00:00+00:00,-1.0320992761116856,-0.06430670103092773,2026-01-31 08:00:00+00:00,2026-01,3,later
binance_um:ENAUSDT:4h:v9_long:4276,v9_long,True,matched,4332,2026-03-25 12:00:00+00:00,-1.0265060240963853,-0.07745454545454533,2026-03-27 16:00:00+00:00,2026-03,3,later
binance_um:ENAUSDT:4h:joint:4277,v10_4,True,matched,4369,2026-03-31 16:00:00+00:00,-1.030952380952382,-0.06661538461538463,2026-04-02 00:00:00+00:00,2026-03,3,later
binance_um:ENAUSDT:4h:box_chart:4277,box_chart,True,matched,4359,2026-03-30 00:00:00+00:00,-1.0305333333333337,-0.06750218340611347,2026-04-02 00:00:00+00:00,2026-03,3,later
binance_um:ENAUSDT:4h:box_any:4277,box_any,True,matched,4210,2026-03-05 04:00:00+00:00,-1.0279760479041917,-0.07348972602739723,2026-03-06 12:00:00+00:00,2026-03,3,later
